# Compound nouns, and the words they are made of.
#
# One line per compound: the word, a tab, then its parts. A sentence saying a
# compound listed ABOVE THE MARKER counts as saying its parts instead, so a
# reader who knows `krank` and `haus` can read `Krankenhaus` without it being
# taught as a word of its own.
#
# ONLY LINES ABOVE THE MARKER COUNT. Below it these are guesses, made by
# cutting wherever both halves are words the corpus says at least thirty
# times. Check each one; delete what is wrong; move the marker down. Nothing
# unverified ever reaches the corpus.
#
# Nouns only, decided by capitalisation -- German writes its nouns with a
# capital, so a lemma whose surfaces are 80% capitalised is one. That test
# removes the family that made the earlier version unusable: separable verb
# prefixes split cleanly and mean something else entirely (ueberleben is not
# ueber + leben, uebernehmen is not ueber + nehmen), and adverbs like
# vielleicht and teilweise merely look compound.
#
# Two filters came before it, each fixing the version above:
#   parts must be words the corpus says 30+ times, or `politisch` comes out
#   as `polit` + `isch` and a hundred rejections sit at the top;
#   parts must not be suffixes, or every `-lich` and `-ung` word decomposes.
#
# Ordered by how often the corpus says each word, most frequent first, so the
# checking pays earliest. The number after each line is that count.








jahrhundert	jahr hundert	# 534
wissenschaftskommunikation	wissenschaft kommunikation	# 15
änderungsantrag	änderung antrag	# 15
arbeitsalltag	arbeit alltag	# 14
lebensqualität	leben qualität	# 14
mittagsschlaf	mittag schlaf	# 14
wirkungsgrad	wirkung grad	# 14
wohnungsmarkt	wohnung markt	# 14
bevölkerungszahl	bevölkerung zahl	# 13
geburtstagsparty	geburtstag party	# 13
kleidungsstück	kleidung stück	# 13
leistungssport	leistung sport	# 13
oppositionspartei	opposition partei	# 13
teufelskreis	teufel kreis	# 13

# ===================== CHECKED TO HERE =====================
# Everything above has been read one word at a time and kept on the
# grounds that a reader who knows the parts can get the word. Seven were
# deleted rather than kept, and they are worth knowing as a shape:
#
#     hochzeit     = hoch + zeit     "wedding", not "high time"
#     fruehstueck  = frueh + stueck  "breakfast"
#     unterlage    = unter + lage    "documents"
#     nachteil     = nach + teil     "disadvantage"
#     lebensmittel = leben + mittel  "groceries"
#     gegensatz    = gegen + satz    Satz is "setting" here, not "sentence"
#     wasserstoff  = wasser + stoff  "hydrogen" -- chemistry, not German
#
# `hochzeit` is the one to remember: it splits perfectly, both parts are
# common words, and the answer is completely wrong. Nothing automatic
# catches that -- only knowing what the word means.
#
# Lines marked "the meaning is a stretch" are kept but unsettled: they
# decompose correctly and land near the sense without giving it, like the
# -zeug family. Whether they belong is a question about teaching rather
# than about German.
#
# Move this line down as you go. Nothing below it is trusted.#
# The unchecked lines are ordered with the linking-s compounds first.
# German only inserts that s at a real seam -- Arbeit+s+Platz -- so it
# is good evidence the split is genuine, and those are the cheapest to
# judge. Not proof, though: `schriftsteller` is schrift + steller, and
# the s belongs to the second half rather than the join.
# After them, the rest by frequency as before.#
# The unchecked lines now start with compounds that are currently
# standing in front of a goal -- checking one of those can free a
# word on the list outright, where checking any other only makes some
# sentence easier. After them, linking-s first, then by frequency.

verhaltensweise	verhalten weise	# 13
wirtschaftswachstum	wirtschaft wachstum	# 13
wohnungssuche	wohnung suche	# 13
anfangszeit	anfang zeit	# 12
arbeitskollege	arbeit kollege	# 12
erfolgsgeschichte	erfolg geschichte	# 12
freiheitsstrafe	freiheit strafe	# 12
kriegsbeginn	krieg beginn	# 12
kriegsverbrecher	krieg verbrecher	# 12
lebensjahr	leben jahr	# 12
lieblingsland	liebling land	# 12
qualitätskontrolle	qualität kontrolle	# 12
rechnungswesen	rechnung wesen	# 12
verkehrsminister	verkehr minister	# 12
wirtschaftsminister	wirtschaft minister	# 12
arbeitszimmer	arbeit zimmer	# 11
ausgangspunkt	ausgang punkt	# 11
geschäftspartner	geschäft partner	# 11
koalitionsverhandlung	koalition verhandlung	# 11
landsleute	land leute	# 11
leistungsdruck	leistung druck	# 11
leistungsfähigkeit	leistung fähigkeit	# 11
leistungssportler	leistung sportler	# 11
lösungsansatz	lösung ansatz	# 11
staatshaushalt	staat haushalt	# 11
verkehrsunfall	verkehr unfall	# 11
vermögensgegenstand	vermögen gegenstand	# 11
verteidigungsminister	verteidigung minister	# 11
arbeitserlaubnis	arbeit erlaubnis	# 10
ausgangslage	ausgang lage	# 10
bezugspunkt	bezug punkt	# 10
erfahrungsbericht	erfahrung bericht	# 10
gerichtsurteil	gericht urteil	# 10
handelspartner	handel partner	# 10
lebenserfahrung	leben erfahrung	# 10
lebenshaltungskosten	leben haltung kosten	# 10
lebenssituation	leben situation	# 10
unabhängigkeitserklärung	unabhängigkeit erklärung	# 10
verfassungsgericht	verfassung gericht	# 10
wirtschaftsleistung	wirtschaft leistung	# 10
zeitungsartikel	zeitung artikel	# 10
angriffsziel	angriff ziel	# 9
arbeitsstelle	arbeit stelle	# 9
auslandssemester	ausland semester	# 9
berufsbezeichnung	beruf bezeichnung	# 9
berufserfahrung	beruf erfahrung	# 9
emissionshandel	emission handel	# 9
genehmigungsverfahren	genehmigung verfahren	# 9
gesellschaftsjahr	gesellschaft jahr	# 9
gesundheitsministerium	gesundheit ministerium	# 9
infektionszahl	infektion zahl	# 9
kindheitserinnerung	kindheit erinnerung	# 9
kriegserklärung	krieg erklärung	# 9
kriegsherr	krieg herr	# 9
lebensgrundlage	leben grundlage	# 9
leistungsrechnung	leistung rechnung	# 9
lieblingsgericht	liebling gericht	# 9
lieblingslehrer	liebling lehrer	# 9
lieblingstier	liebling tier	# 9
meinungsvideo	meinung video	# 9
parlamentswahl	parlament wahl	# 9
regierungsverantwortung	regierung verantwortung	# 9
versuchsteilnehmer	versuch teilnehmer	# 9
verteidigungslinie	verteidigung linie	# 9
verteidigungssystem	verteidigung system	# 9
volksgemeinschaft	volk gemeinschaft	# 9
wirtschaftssystem	wirtschaft system	# 9
abschiedsformel	abschied formel	# 8
arbeitsverhältnis	arbeit verhältnis	# 8
belastungsgrenze	belastung grenze	# 8
berufssoldat	beruf soldat	# 8
bevölkerungsmehrheit	bevölkerung mehrheit	# 8
bezugssystem	bezug system	# 8
entwicklungszusammenarbeit	entwicklung zusammenarbeit	# 8
führungsfigur	führung figur	# 8
führungskraft	führung kraft	# 8
geburtsdatum	geburt datum	# 8
gerichtsverhandlung	gericht verhandlung	# 8
geschäftsleute	geschäft leute	# 8
gesundheitsministerin	gesundheit ministerin	# 8
handlungsempfehlung	handlung empfehlung	# 8
kriegsdienst	krieg dienst	# 8
lieblingsband	liebling band	# 8
lieblingsschauspieler	liebling schauspieler	# 8
rechtssystem	recht system	# 8
regierungserklärung	regierung erklärung	# 8
reichsbürger	reich bürger	# 8
reichstagswahl	reichstag wahl	# 8
religionsfreiheit	religion freiheit	# 8
schicksalsschlag	schicksal schlag	# 8
staatsfernsehen	staat fernsehen	# 8
unabhängigkeitskrieg	unabhängigkeit krieg	# 8
unterrichtsstunde	unterricht stunde	# 8
verdachtsfall	verdacht fall	# 8
verkaufszahl	verkauf zahl	# 8
verkehrsregel	verkehr regel	# 8
versammlungsfreiheit	versammlung freiheit	# 8
vorgehensweise	vorgehen weise	# 8
wohnungsnummer	wohnung nummer	# 8
altersarmut	alter armut	# 7
arbeitsbereich	arbeit bereich	# 7
berufsalltag	beruf alltag	# 7
berufsausbildung	beruf ausbildung	# 7
berufsfeld	beruf feld	# 7
bildungswesen	bildung wesen	# 7
forschungsergebnis	forschung ergebnis	# 7
forschungsprojekt	forschung projekt	# 7
fraktionschef	fraktion chef	# 7
gerichtsverfahren	gericht verfahren	# 7
geschlechtsidentität	geschlecht identität	# 7
gesundheitsminister	gesundheit minister	# 7
gesundheitsschaden	gesundheit schaden	# 7
gewichtsverlust	gewicht verlust	# 7
handelspolitik	handel politik	# 7
herrschaftsgebiet	herrschaft gebiet	# 7
kriegsmaterial	krieg material	# 7
kriegszustand	krieg zustand	# 7
lebensgefahr	leben gefahr	# 7
lebensversicherung	leben versicherung	# 7
lieblingsgetränk	liebling getränk	# 7
lieblingsobst	liebling obst	# 7
oppositionsführer	opposition führer	# 7
persönlichkeitsrecht	persönlichkeit recht	# 7
produktionskosten	produktion kosten	# 7
prüfungsphase	prüfung phase	# 7
rechtslage	recht lage	# 7
regierungsbildung	regierung bildung	# 7
regierungschefin	regierung chefin	# 7
religionsgemeinschaft	religion gemeinschaft	# 7
staatsgewalt	staat gewalt	# 7
unabhängigkeitsbewegung	unabhängigkeit bewegung	# 7
verbotsantrag	verbot antrag	# 7
verhandlungstisch	verhandlung tisch	# 7
verteidigungspolitik	verteidigung politik	# 7
widerspruchslösung	widerspruch lösung	# 7
zeitungsbericht	zeitung bericht	# 7
übungsblatt	übung blatt	# 7
adelsfamilie	adel familie	# 6
attentatsversuch	attentat versuch	# 6
berufsschule	beruf schule	# 6
bildungsministerium	bildung ministerium	# 6
bildungspolitik	bildung politik	# 6
entscheidungsgewalt	entscheidung gewalt	# 6
erfolgskonto	erfolg konto	# 6
flüchtlingspolitik	flüchtling politik	# 6
friedhofspflicht	friedhof pflicht	# 6
geburtshilfe	geburt hilfe	# 6
geburtsstunde	geburt stunde	# 6
geschlechtsorgan	geschlecht organ	# 6
gesellschaftsschicht	gesellschaft schicht	# 6
glaubensrichtung	glauben richtung	# 6
herkunftsland	herkunft land	# 6
herrschaftsbereich	herrschaft bereich	# 6
himmelsrichtung	himmel richtung	# 6
kriegsfall	krieg fall	# 6
kriegsgegner	krieg gegner	# 6
kriegspartei	krieg partei	# 6
kriegsschaden	krieg schaden	# 6
lebensbedingung	leben bedingung	# 6
lebensdauer	leben dauer	# 6
lebensfreude	leben freude	# 6
lebensgeschichte	leben geschichte	# 6
lebenswelt	leben welt	# 6
leidensdruck	leiden druck	# 6
lieblingsrestaurant	liebling restaurant	# 6
lieblingssong	liebling song	# 6
linksterror	link terror	# 6
meinungsforschungsinstitut	meinung forschung institut	# 6
mittagszeit	mittag zeit	# 6
museumsinsel	museum insel	# 6
nahrungskette	nahrung kette	# 6
reaktionszeit	reaktion zeit	# 6
rechtswissenschaft	recht wissenschaft	# 6
regierungserfahrung	regierung erfahrung	# 6
regierungspolitik	regierung politik	# 6
reichsflagge	reich flagge	# 6
sicherheitsdienst	sicherheit dienst	# 6
sitzungswoche	sitzung woche	# 6
staatsgründung	staat gründung	# 6
staatsmann	staat mann	# 6
staatspräsident	staat präsident	# 6
verwaltungsgericht	verwaltung gericht	# 6
volksvertreter	volk vertreter	# 6
wirtschaftswunder	wirtschaft wunder	# 6
zahlungsmittel	zahlung mittel	# 6
alltagsleben	alltag leben	# 5
altersgrenze	alter grenze	# 5
angriffspunkt	angriff punkt	# 5
anwendungsbereich	anwendung bereich	# 5
arbeitsleben	arbeit leben	# 5
arbeitsminister	arbeit minister	# 5
arbeitsrecht	arbeit recht	# 5
arbeitswoche	arbeit woche	# 5
ausbildungsplatz	ausbildung platz	# 5
ausdrucksweise	ausdruck weise	# 5
ausgangssignal	ausgang signal	# 5
ausgangstext	ausgang text	# 5
auslandsjahr	ausland jahr	# 5
bedeutungsunterschied	bedeutung unterschied	# 5
berufsordnung	beruf ordnung	# 5
bewegungsenergie	bewegung energie	# 5
bundestagswahlkampf	bundestag wahlkampf	# 5
diskussionskultur	diskussion kultur	# 5
eingangssignal	eingang signal	# 5
einkommenssteuer	einkommen steuer	# 5
entscheidungsfreiheit	entscheidung freiheit	# 5
erfolgsgrund	erfolg grund	# 5
ewigkeitschemikalie	ewigkeit chemikalie	# 5
forschungsinstitut	forschung institut	# 5
freiheitskämpfer	freiheit kämpfer	# 5
freiheitsrecht	freiheit recht	# 5
friedensbewegung	frieden bewegung	# 5
friedensverhandlung	frieden verhandlung	# 5
friedenszeit	frieden zeit	# 5
führungsrolle	führung rolle	# 5
geburtstagsfeier	geburtstag feier	# 5
geburtstagskind	geburtstag kind	# 5
geschmacksrichtung	geschmack richtung	# 5
geschäftsjahr	geschäft jahr	# 5
gesellschaftsordnung	gesellschaft ordnung	# 5
gesichtspunkt	gesicht punkt	# 5
gesundheitsschutz	gesundheit schutz	# 5
glaubensgemeinschaft	glauben gemeinschaft	# 5
gründungsprogramm	gründung programm	# 5
handelsabkommen	handel abkommen	# 5
handlungsbedarf	handlung bedarf	# 5
heizungsgesetz	heizung gesetz	# 5
jugendamtsleiter	jugendamt leiter	# 5
kindheitstraum	kindheit traum	# 5
krankheitsverlauf	krankheit verlauf	# 5
kriegsgebiet	krieg gebiet	# 5
kriegsglück	krieg glück	# 5
kriegsziel	krieg ziel	# 5
landsmannschaft	land mannschaft	# 5
lebensbereich	leben bereich	# 5
lebensphase	leben phase	# 5
lebensrealität	leben realität	# 5
lebenszeichen	leben zeichen	# 5
lieblingslied	liebling lied	# 5
lieblingsplatz	liebling platz	# 5
lösungsmittel	lösung mittel	# 5
migrationspolitik	migration politik	# 5
mitgliedsland	mitglied land	# 5
nahrungsergänzungsmittel	nahrung ergänzung mittel	# 5
produktionsmittel	produktion mittel	# 5
prüfungsangst	prüfung angst	# 5
regierungsbeteiligung	regierung beteiligung	# 5
regierungsgeschäft	regierung geschäft	# 5
reichsmark	reich mark	# 5
reichstagsgebäude	reichstag gebäude	# 5
sicherheitsgrund	sicherheit grund	# 5
sicherheitslage	sicherheit lage	# 5
solidaritätsbeitrag	solidarität beitrag	# 5
sonntagsfrage	sonntag frage	# 5
staatsdienst	staat dienst	# 5
staatsfeind	staat feind	# 5
staatsform	staat form	# 5
staatskasse	staat kasse	# 5
staatsreligion	staat religion	# 5
urlaubsplanung	urlaub planung	# 5
vergleichsstudie	vergleich studie	# 5
versorgungslage	versorgung lage	# 5
versuchstier	versuch tier	# 5
verteidigungsministerium	verteidigung ministerium	# 5
volksfest	volk fest	# 5
volksschule	volk schule	# 5
widerstandsbewegung	widerstand bewegung	# 5
widerstandsgruppe	widerstand gruppe	# 5
widerstandskämpfer	widerstand kämpfer	# 5
wirtschaftsforschung	wirtschaft forschung	# 5
wirtschaftssanktion	wirtschaft sanktion	# 5
wirtschaftswissenschaftler	wirtschaft wissenschaftler	# 5
wohnungsanzeige	wohnung anzeige	# 5
zeitstempel	zeit tempel	# 5
zentrumspartei	zentrum partei	# 5
zerstörungskraft	zerstörung kraft	# 5
zukunftsthema	zukunft thema	# 5
öffentlichkeitsarbeit	öffentlichkeit arbeit	# 5
abteilungsleiter	abteilung leiter	# 4
adelsgeschlecht	adel geschlecht	# 4
alltagsrassismus	alltag rassismus	# 4
ansichtssache	ansicht sache	# 4
anwendungsbeobachtung	anwendung beobachtung	# 4
arbeitsgedächtnis	arbeit gedächtnis	# 4
arbeitsgemeinschaft	arbeit gemeinschaft	# 4
arbeitsgericht	arbeit gericht	# 4
arbeitsplatte	arbeit platte	# 4
arbeitssuche	arbeit suche	# 4
armutsbericht	armut bericht	# 4
ausdrucksform	ausdruck form	# 4
ausflugsziel	ausflug ziel	# 4
ausgangssituation	ausgang situation	# 4
bahnhofsmission	bahnhof mission	# 4
beobachtungsstudie	beobachtung studie	# 4
berufsrevolutionär	beruf revolutionär	# 4
berufswahl	beruf wahl	# 4
berufswelt	beruf welt	# 4
betriebserlaubnis	betrieb erlaubnis	# 4
betriebswirtschaftslehre	betrieb wirtschaft lehre	# 4
betriebsübergang	betrieb übergang	# 4
bevölkerungsgrösse	bevölkerung grösse	# 4
bevölkerungsschutz	bevölkerung schutz	# 4
bewerbungstraining	bewerbung training	# 4
bezugsperson	bezug person	# 4
bildungsgerechtigkeit	bildung gerechtigkeit	# 4
bildungsministerin	bildung ministerin	# 4
bundestagsfraktion	bundestag fraktion	# 4
bundestagspräsidentin	bundestag präsidentin	# 4
eingangsbereich	eingang bereich	# 4
entfernungsleiter	entfernung leiter	# 4
erfahrungswelt	erfahrung welt	# 4
erklärungsansatz	erklärung ansatz	# 4
ermittlungsarbeit	ermittlung arbeit	# 4
ermittlungsbehörde	ermittlung behörde	# 4
flüchtlingsschutz	flüchtling schutz	# 4
forschungsbereich	forschung bereich	# 4
forschungsgruppe	forschung gruppe	# 4
friedhofsfläche	friedhof fläche	# 4
führungspersonal	führung personal	# 4
gerechtigkeitspartei	gerechtigkeit partei	# 4
geruchssinn	geruch sinn	# 4
geschäftsbedingung	geschäft bedingung	# 4
gesellschaftsbild	gesellschaft bild	# 4
gesprächsthema	gespräch thema	# 4
gesundheitszustand	gesundheit zustand	# 4
glücksfall	glück fall	# 4
himmelskörper	himmel körper	# 4
integrationskurs	integration kurs	# 4
investitionsprogramm	investition programm	# 4
kooperationspartner	kooperation partner	# 4
krankheitsbild	krankheit bild	# 4
kriegsverlauf	krieg verlauf	# 4
kriegszeit	krieg zeit	# 4
königsfamilie	könig familie	# 4
landtagsabgeordneter	landtag abgeordneter	# 4
landtagsfraktion	landtag fraktion	# 4
lebenswandel	leben wandel	# 4
lieblingskategorie	liebling kategorie	# 4
lieblingspark	liebling park	# 4
lieblingspolitiker	liebling politiker	# 4
lieblingsserie	liebling serie	# 4
linksfraktion	link fraktion	# 4
linkspartei	link partei	# 4
linksterrorismus	link terrorismus	# 4
mehrheitsgesellschaft	mehrheit gesellschaft	# 4
migrationsbewegung	migration bewegung	# 4
migrationswende	migration wende	# 4
mitgliedsbeitrag	mitglied beitrag	# 4
nahrungsquelle	nahrung quelle	# 4
planungssicherheit	planung sicherheit	# 4
produktionsanlage	produktion anlage	# 4
prüfungsleistung	prüfung leistung	# 4
rechtsanspruch	recht anspruch	# 4
regierungsform	regierung form	# 4
regierungskreis	regierung kreis	# 4
regierungssitz	regierung sitz	# 4
reichskriegsflagge	reich krieg flagge	# 4
schlafenszeit	schlafen zeit	# 4
sicherheitskonzept	sicherheit konzept	# 4
sicherheitsorgan	sicherheit organ	# 4
staatsbahn	staat bahn	# 4
staatsbesuch	staat besuch	# 4
staatsgast	staat gast	# 4
staatspartei	staat partei	# 4
staatsregierung	staat regierung	# 4
staatsschuld	staat schuld	# 4
staatswesen	staat wesen	# 4
vereinsmitglied	verein mitglied	# 4
verhaltenstherapie	verhalten therapie	# 4
verkaufsargument	verkauf argument	# 4
verkehrsbetrieb	verkehr betrieb	# 4
verletzungsgefahr	verletzung gefahr	# 4
vermögenssteuer	vermögen steuer	# 4
vermögensverhältnis	vermögen verhältnis	# 4
vermögenswert	vermögen wert	# 4
versammlungsleiter	versammlung leiter	# 4
verteidigungsstellung	verteidigung stellung	# 4
vertragspartner	vertrag partner	# 4
verwaltungseinheit	verwaltung einheit	# 4
vielfaltsfest	vielfalt fest	# 4
volksarmee	volk armee	# 4
volksjäger	volk jäger	# 4
volksversammlung	volk versammlung	# 4
vorstellungskraft	vorstellung kraft	# 4
wachstumsfaktor	wachstum faktor	# 4
wirtschaftspartner	wirtschaft partner	# 4
wirtschaftsraum	wirtschaft raum	# 4
wirtschaftswissenschaft	wirtschaft wissenschaft	# 4
wissenschaftsjournalist	wissenschaft journalist	# 4
wissenschaftssenator	wissenschaft senator	# 4
zukunftsszenario	zukunft szenario	# 4
zukunftstechnologie	zukunft technologie	# 4
abschiedsbrief	abschied brief	# 3
absichtserklärung	absicht erklärung	# 3
abstimmungsverhalten	abstimmung verhalten	# 3
aktionswoche	aktion woche	# 3
alltagssituation	alltag situation	# 3
altersdurchschnitt	alter durchschnitt	# 3
altersschwäche	alter schwäche	# 3
anfangsbuchstabe	anfang buchstabe	# 3
anschlagsvorbereitung	anschlag vorbereitung	# 3
antragsteller	antrag teller	# 3
anwaltsschreiben	anwalt schreiben	# 3
arbeitsatmosphäre	arbeit atmosphäre	# 3
arbeitsaufwand	arbeit aufwand	# 3
arbeitsfläche	arbeit fläche	# 3
arbeitskleidung	arbeit kleidung	# 3
arbeitskreis	arbeit kreis	# 3
arbeitskultur	arbeit kultur	# 3
arbeitsmigrant	arbeit migrant	# 3
arbeitsmoral	arbeit moral	# 3
arbeitsschritt	arbeit schritt	# 3
ausbildungsbetrieb	ausbildung betrieb	# 3
ausbildungssystem	ausbildung system	# 3
ausgleichszahlung	ausgleich zahlung	# 3
