text,stored_top,stored_expected,stored,n,a_top,a_expected,a,a_tokens,b_top,b_expected,b,b_tokens,model
Dort wurde so etwas schon eingeführt.,A2,1.97,"{""A1"": 0.0, ""C1"": 0.0, ""B1"": 0.13, ""B2"": 0.42, ""A2"": 0.45}",17,B2,2.16,"{""A1"": 0.0, ""A2"": 0.34, ""B1"": 0.16, ""B2"": 0.5, ""C1"": 0.0}",490,A2,1.29,"{""A1"": 0.02, ""C1"": 0.0, ""A2"": 0.73, ""B2"": 0.06, ""B1"": 0.19}",156.2,jev-1.13.0
Hab also den vollen Schutz.,A2,0.62,"{""C1"": 0.0, ""B1"": 0.06, ""A1"": 0.44, ""A2"": 0.5, ""B2"": 0.0}",18,A1,0.6,"{""B1"": 0.06, ""C1"": 0.0, ""B2"": 0.01, ""A2"": 0.45, ""A1"": 0.48}",486,A1,0.5,"{""A1"": 0.56, ""C1"": 0.0, ""B1"": 0.04, ""A2"": 0.39, ""B2"": 0.01}",156.2,jev-1.13.0
"Es war so schön, mit dir zu fahren.",A2,1.06,"{""A1"": 0.02, ""B1"": 0.08, ""A2"": 0.9, ""C1"": 0.0, ""B2"": 0.0}",19,A2,1.09,"{""C1"": 0.0, ""B2"": 0.01, ""B1"": 0.09, ""A2"": 0.88, ""A1"": 0.02}",489,A2,0.95,"{""A1"": 0.06, ""C1"": 0.0, ""B2"": 0.0, ""B1"": 0.01, ""A2"": 0.93}",156.2,jev-1.13.0
"Ja, du bist zur Tür gegangen und hast sie abgeschlossen.",A2,1.18,"{""C1"": 0.0, ""A2"": 0.8099999999999999, ""B1"": 0.17, ""B2"": 0.01, ""A1"": 0.01}",20,A2,1.3,"{""B1"": 0.31, ""B2"": 0.0, ""A2"": 0.68, ""A1"": 0.01, ""C1"": 0.0}",491,A2,0.91,"{""A1"": 0.09, ""C1"": 0.0, ""B1"": 0.0, ""A2"": 0.91, ""B2"": 0.0}",156.2,jev-1.13.0
Nach fünf Jahren ist dann alles abgeschlossen.,A2,1.2,"{""A1"": 0.05, ""B1"": 0.21, ""A2"": 0.72, ""C1"": 0.0, ""B2"": 0.02}",21,A2,1.27,"{""B1"": 0.32, ""A2"": 0.6, ""C1"": 0.0, ""A1"": 0.07, ""B2"": 0.01}",487,A2,0.79,"{""B2"": 0.0, ""A2"": 0.77, ""C1"": 0.0, ""A1"": 0.22, ""B1"": 0.01}",156.5,jev-1.13.0
Ich habe keine Angst um diese Juden.,A2,0.91,"{""C1"": 0.0, ""A2"": 0.66, ""B2"": 0.01, ""A1"": 0.22, ""B1"": 0.11}",22,A2,1.03,"{""C1"": 0.0, ""B1"": 0.07, ""A2"": 0.89, ""A1"": 0.04, ""B2"": 0.0}",488,A2,0.64,"{""B2"": 0.0, ""A2"": 0.62, ""C1"": 0.0, ""A1"": 0.37, ""B1"": 0.01}",156.5,jev-1.13.0
Und es wird weiter gegen Hunter Biden ermittelt.,B2,2.67,"{""C1"": 0.01, ""B1"": 0.24, ""A1"": 0.0, ""B2"": 0.7, ""A2"": 0.05}",23,B2,2.55,"{""B2"": 0.65, ""C1"": 0.0, ""A2"": 0.1, ""B1"": 0.25, ""A1"": 0.0}",490,A2,1.65,"{""B2"": 0.17, ""A2"": 0.5, ""C1"": 0.0, ""A1"": 0.01, ""B1"": 0.32}",156.5,jev-1.13.0
"Und plötzlich ertrug ich den Gedanken, nicht mir, dich ebenfalls in der Galerie meiner Erinnerungen zu sehen.",C1,3.7,"{""A2"": 0.0, ""C1"": 0.71, ""A1"": 0.0, ""B1"": 0.01, ""B2"": 0.28}",24,C1,3.74,"{""A2"": 0.0, ""C1"": 0.74, ""A1"": 0.0, ""B1"": 0.0, ""B2"": 0.26}",504,B2,3.09,"{""B2"": 0.65, ""A2"": 0.0, ""C1"": 0.22, ""A1"": 0.0, ""B1"": 0.13}",156.5,jev-1.13.0
"Ich freue mich, ich bin schon sehr sehr gespannt.",A1,0.21,"{""B2"": 0.0, ""B1"": 0.02, ""A2"": 0.17, ""A1"": 0.81, ""C1"": 0.0}",25,A1,0.28,"{""A2"": 0.2, ""C1"": 0.0, ""A1"": 0.76, ""B2"": 0.0, ""B1"": 0.04}",490,A1,0.27,"{""B2"": 0.0, ""A2"": 0.25, ""C1"": 0.0, ""A1"": 0.74, ""B1"": 0.01}",156.5,jev-1.13.0
Komplett unwahrscheinlich wäre das zumindest nicht.,B2,2.54,"{""B2"": 0.51, ""A2"": 0.07, ""C1"": 0.05, ""A1"": 0.0, ""B1"": 0.37}",26,B2,2.68,"{""A2"": 0.06, ""C1"": 0.05, ""A1"": 0.0, ""B1"": 0.25, ""B2"": 0.64}",493,A2,1.71,"{""B2"": 0.19, ""A1"": 0.01, ""C1"": 0.0, ""A2"": 0.46, ""B1"": 0.34}",156.5,jev-1.13.0
"Und da fühlt sich der Iran massiv gestört von den USA, die wiederum keinen neuen Krieg beginnen wollten.",B2,2.82,"{""A1"": 0.0, ""B1"": 0.19, ""A2"": 0.0, ""C1"": 0.01, ""B2"": 0.8}",27,B2,2.78,"{""A1"": 0.0, ""B1"": 0.24, ""A2"": 0.0, ""C1"": 0.02, ""B2"": 0.74}",501,B2,2.5,"{""B2"": 0.51, ""A2"": 0.01, ""C1"": 0.0, ""A1"": 0.0, ""B1"": 0.48}",156.5,jev-1.13.0
Zu einem Heiligen der Revolution.,C1,2.96,"{""B2"": 0.17, ""B1"": 0.25, ""A1"": 0.01, ""C1"": 0.46, ""A2"": 0.11}",28,C1,2.77,"{""B2"": 0.13, ""B1"": 0.27, ""A2"": 0.16, ""A1"": 0.02, ""C1"": 0.42}",486,A2,1.5,"{""B2"": 0.09, ""A2"": 0.53, ""C1"": 0.04, ""A1"": 0.07, ""B1"": 0.27}",156.5,jev-1.13.0
"Einmal überschritten, bedeutet zum Zentrum zu fallen, in die Zukunft zu fallen.",C1,3.46,"{""C1"": 0.61, ""A1"": 0.0, ""B1"": 0.15, ""A2"": 0.0, ""B2"": 0.24}",29,C1,3.61,"{""C1"": 0.72, ""A1"": 0.0, ""B2"": 0.17, ""B1"": 0.11, ""A2"": 0.0}",499,C1,3.13,"{""B2"": 0.3, ""A2"": 0.01, ""C1"": 0.42, ""A1"": 0.0, ""B1"": 0.27}",156.5,jev-1.13.0
"Er hat die Hantel in seiner Hand und merkt, dass er sie nicht richtig gegriffen hat.",B1,1.89,"{""B1"": 0.84, ""A1"": 0.01, ""B2"": 0.03, ""C1"": 0.0, ""A2"": 0.12}",30,B1,1.8,"{""B2"": 0.01, ""A1"": 0.01, ""A2"": 0.19, ""B1"": 0.79, ""C1"": 0.0}",500,A2,1.16,"{""B2"": 0.01, ""A2"": 0.73, ""C1"": 0.0, ""A1"": 0.06, ""B1"": 0.2}",156.5,jev-1.13.0
"Sprich, der Körper bekämpft sich selbst.",B1,1.87,"{""C1"": 0.05, ""A1"": 0.08, ""B1"": 0.64, ""A2"": 0.15, ""B2"": 0.08}",31,B1,1.88,"{""A2"": 0.13, ""B1"": 0.73, ""A1"": 0.06, ""C1"": 0.05, ""B2"": 0.03}",491,A2,1.31,"{""B2"": 0.03, ""A2"": 0.54, ""C1"": 0.01, ""A1"": 0.1, ""B1"": 0.32}",156.5,jev-1.13.0
"Paul steht immer da, wo man ihn braucht.",B1,1.96,"{""C1"": 0.0, ""B1"": 0.95, ""A1"": 0.01, ""B2"": 0.01, ""A2"": 0.03}",32,B1,1.86,"{""C1"": 0.0, ""B2"": 0.0, ""A2"": 0.1, ""A1"": 0.02, ""B1"": 0.88}",489,A2,0.72,"{""B2"": 0.0, ""A2"": 0.46, ""C1"": 0.0, ""A1"": 0.41, ""B1"": 0.13}",156.5,jev-1.13.0
Kann ich mich damit hier behaupten?,A2,1.61,"{""A1"": 0.01, ""B2"": 0.18, ""C1"": 0.0, ""B1"": 0.26, ""A2"": 0.55}",33,A2,1.68,"{""B2"": 0.15, ""A2"": 0.45, ""C1"": 0.0, ""A1"": 0.01, ""B1"": 0.39}",488,A2,1.19,"{""B2"": 0.02, ""A2"": 0.69, ""C1"": 0.0, ""A1"": 0.07, ""B1"": 0.22}",156.5,jev-1.13.0
Also von wegen wieder Abgrenzung zum Deutschen.,C1,3.37,"{""B2"": 0.42, ""C1"": 0.48, ""A1"": 0.0, ""A2"": 0.01, ""B1"": 0.09}",34,C1,3.39,"{""A2"": 0.01, ""A1"": 0.0, ""B1"": 0.1, ""C1"": 0.51, ""B2"": 0.38}",490,B1,2.14,"{""B2"": 0.3, ""A2"": 0.2, ""C1"": 0.02, ""A1"": 0.0, ""B1"": 0.48}",156.5,jev-1.13.0
Ich bin im Gefängnis jenseits der fünf Welten.,C1,2.81,"{""A2"": 0.09, ""A1"": 0.01, ""C1"": 0.37, ""B1"": 0.35, ""B2"": 0.18}",35,B1,2.14,"{""A2"": 0.23, ""A1"": 0.02, ""B1"": 0.48, ""C1"": 0.14, ""B2"": 0.13}",494,B1,2.75,"{""B2"": 0.25, ""A1"": 0.0, ""C1"": 0.3, ""A2"": 0.1, ""B1"": 0.35000000000000003}",156.5,jev-1.13.0
"Aber das produzierte Bisschen, das wir zu sehen bekommen, halten wir für ein vollständiges Bild.",B2,2.54,"{""B2"": 0.5, ""A1"": 0.0, ""A2"": 0.0, ""C1"": 0.02, ""B1"": 0.48}",36,B1,2.61,"{""B1"": 0.46, ""A2"": 0.0, ""A1"": 0.0, ""B2"": 0.47000000000000003, ""C1"": 0.07}",505,B2,2.43,"{""B2"": 0.49, ""A2"": 0.08, ""C1"": 0.01, ""A1"": 0.0, ""B1"": 0.42}",156.5,jev-1.13.0
"Wenn der Pilot recht hat, hält die Deutschen nichts mehr auf.",B1,2.1,"{""C1"": 0.0, ""A1"": 0.0, ""B1"": 0.9, ""A2"": 0.0, ""B2"": 0.1}",37,B1,2.11,"{""A1"": 0.0, ""C1"": 0.0, ""A2"": 0.01, ""B1"": 0.87, ""B2"": 0.12}",492,B1,1.75,"{""B2"": 0.11, ""A2"": 0.34, ""C1"": 0.0, ""A1"": 0.0, ""B1"": 0.54}",156.5,jev-1.13.0
Dann wird der Wind wieder stark.,A1,0.37,"{""A1"": 0.67, ""C1"": 0.0, ""B1"": 0.04, ""B2"": 0.0, ""A2"": 0.29}",38,A1,0.39,"{""B2"": 0.0, ""A2"": 0.31, ""B1"": 0.04, ""C1"": 0.0, ""A1"": 0.65}",486,A1,0.38,"{""B2"": 0.0, ""A2"": 0.36, ""C1"": 0.0, ""A1"": 0.63, ""B1"": 0.01}",156.5,jev-1.13.0
"Ja, das klingt leider sehr realistisch.",A2,0.84,"{""A2"": 0.45, ""A1"": 0.36, ""B2"": 0.01, ""C1"": 0.0, ""B1"": 0.18}",39,A2,1.04,"{""A2"": 0.47000000000000003, ""A1"": 0.25, ""B1"": 0.27, ""C1"": 0.0, ""B2"": 0.01}",489,A1,0.53,"{""B2"": 0.0, ""A1"": 0.5, ""C1"": 0.0, ""A2"": 0.47, ""B1"": 0.03}",156.5,jev-1.13.0
Da werden also viele neue Arbeitsplätze frei.,A2,1.39,"{""B2"": 0.07, ""A2"": 0.5, ""C1"": 0.0, ""B1"": 0.34, ""A1"": 0.09}",40,B1,1.53,"{""B2"": 0.03, ""C1"": 0.0, ""A2"": 0.36, ""A1"": 0.07, ""B1"": 0.54}",492,A2,0.95,"{""B2"": 0.01, ""A2"": 0.74, ""C1"": 0.0, ""A1"": 0.16, ""B1"": 0.09}",156.5,jev-1.13.0
Ordentlich arbeiten und zu den Kunden immer ehrlich sein.,A1,0.58,"{""C1"": 0.0, ""B1"": 0.1, ""A2"": 0.38, ""A1"": 0.52, ""B2"": 0.0}",41,A1,0.63,"{""B1"": 0.11, ""A2"": 0.41, ""A1"": 0.48, ""C1"": 0.0, ""B2"": 0.0}",492,A1,0.15,"{""A1"": 0.85, ""B1"": 0.0, ""A2"": 0.15, ""B2"": 0.0, ""C1"": 0.0}",156.6,jev-1.13.0
Ich habe vielleicht zu fest gedrückt oder gezogen.,A2,1.14,"{""A2"": 0.87, ""A1"": 0.0, ""C1"": 0.0, ""B1"": 0.12, ""B2"": 0.01}",42,A2,1.25,"{""B2"": 0.02, ""B1"": 0.21, ""A2"": 0.77, ""A1"": 0.0, ""C1"": 0.0}",490,A2,0.99,"{""A1"": 0.01, ""B1"": 0.0, ""A2"": 0.99, ""B2"": 0.0, ""C1"": 0.0}",156.6,jev-1.13.0
Da könnte ich irgendwann noch ein ganz langes Video dazu machen!,B2,2.18,"{""A1"": 0.0, ""C1"": 0.0, ""B2"": 0.47, ""A2"": 0.29, ""B1"": 0.24}",43,B1,2.32,"{""C1"": 0.0, ""A2"": 0.1, ""B1"": 0.48, ""A1"": 0.0, ""B2"": 0.42}",492,A2,1.16,"{""A1"": 0.07, ""B1"": 0.19, ""A2"": 0.72, ""B2"": 0.02, ""C1"": 0.0}",156.6,jev-1.13.0
"Wir sind uns sicher, nicht wahr, Jim?",A1,0.77,"{""B2"": 0.04, ""C1"": 0.0, ""A2"": 0.27, ""A1"": 0.5, ""B1"": 0.19}",44,A2,1.08,"{""C1"": 0.0, ""B2"": 0.04, ""A2"": 0.38, ""A1"": 0.29, ""B1"": 0.29}",489,A1,0.57,"{""C1"": 0.0, ""B1"": 0.07, ""A2"": 0.4, ""B2"": 0.01, ""A1"": 0.52}",156.6,jev-1.13.0
"Ich sage dir, ich akzeptiere das nicht länger.",B1,1.3,"{""B1"": 0.49, ""B2"": 0.02, ""A1"": 0.23, ""A2"": 0.26, ""C1"": 0.0}",45,B1,1.56,"{""C1"": 0.0, ""B2"": 0.02, ""A1"": 0.08, ""B1"": 0.6, ""A2"": 0.3}",491,A2,0.89,"{""A1"": 0.17, ""B1"": 0.06, ""A2"": 0.77, ""B2"": 0.0, ""C1"": 0.0}",156.6,jev-1.13.0
"Die Dame, die wir jetzt suchen, hat einen Hund.",B1,1.59,"{""A2"": 0.13, ""C1"": 0.0, ""B1"": 0.73, ""A1"": 0.14, ""B2"": 0.0}",46,B1,1.72,"{""A1"": 0.08, ""A2"": 0.12, ""C1"": 0.0, ""B1"": 0.8, ""B2"": 0.0}",491,A2,1.17,"{""C1"": 0.0, ""B1"": 0.29, ""A2"": 0.59, ""B2"": 0.0, ""A1"": 0.12}",156.6,jev-1.13.0
"Erst in diesem Jahr, 2021, zieht sich Deutschland, wie die USA, komplett aus Afghanistan zurück.",B2,2.59,"{""A2"": 0.01, ""A1"": 0.0, ""C1"": 0.01, ""B1"": 0.4, ""B2"": 0.58}",47,B1,2.37,"{""B1"": 0.64, ""C1"": 0.01, ""A2"": 0.0, ""A1"": 0.0, ""B2"": 0.35}",504,B2,2.5,"{""A1"": 0.0, ""B1"": 0.47, ""A2"": 0.02, ""B2"": 0.5, ""C1"": 0.01}",156.6,jev-1.13.0
"Denn den Weg in die Katastrophe, den geht es Stück für Stück.",C1,3.04,"{""A1"": 0.0, ""B2"": 0.34, ""A2"": 0.0, ""C1"": 0.35000000000000003, ""B1"": 0.31}",48,B1,2.78,"{""C1"": 0.26, ""B2"": 0.26, ""A1"": 0.0, ""A2"": 0.0, ""B1"": 0.48}",495,B2,2.92,"{""A1"": 0.0, ""B1"": 0.26, ""A2"": 0.03, ""B2"": 0.47, ""C1"": 0.24}",156.6,jev-1.13.0
Etwa 90 Gramm pro Stunde.,A1,0.32,"{""A2"": 0.28, ""C1"": 0.0, ""A1"": 0.7, ""B1"": 0.02, ""B2"": 0.0}",49,A1,0.34,"{""B1"": 0.01, ""A2"": 0.32, ""A1"": 0.67, ""C1"": 0.0, ""B2"": 0.0}",488,A1,0.32,"{""A1"": 0.69, ""B1"": 0.01, ""A2"": 0.3, ""B2"": 0.0, ""C1"": 0.0}",156.6,jev-1.13.0
Ohne das BSW wird mutmaßlich keine Regierung gebildet werden können.,B2,2.98,"{""B2"": 0.94, ""A2"": 0.0, ""B1"": 0.04, ""A1"": 0.0, ""C1"": 0.02}",50,B2,2.95,"{""B1"": 0.08, ""C1"": 0.03, ""B2"": 0.89, ""A2"": 0.0, ""A1"": 0.0}",497,B2,2.91,"{""A1"": 0.0, ""B1"": 0.12, ""A2"": 0.0, ""B2"": 0.85, ""C1"": 0.03}",156.6,jev-1.13.0
Es gab auch schon einige Aktionen.,A2,1.02,"{""A1"": 0.01, ""B1"": 0.03, ""A2"": 0.96, ""C1"": 0.0, ""B2"": 0.0}",51,A2,1.05,"{""C1"": 0.0, ""B2"": 0.0, ""B1"": 0.06, ""A2"": 0.93, ""A1"": 0.01}",486,A2,0.94,"{""A1"": 0.08, ""B1"": 0.02, ""A2"": 0.9, ""B2"": 0.0, ""C1"": 0.0}",156.6,jev-1.13.0
"Finde ich sehr spannend, schreibt es unten in die Kommentare.",A1,0.8,"{""A2"": 0.31, ""A1"": 0.45, ""C1"": 0.0, ""B1"": 0.23, ""B2"": 0.01}",52,A2,1.08,"{""A2"": 0.47, ""B1"": 0.29, ""C1"": 0.0, ""A1"": 0.23, ""B2"": 0.01}",492,A2,0.92,"{""A1"": 0.2, ""B1"": 0.11, ""A2"": 0.67, ""B2"": 0.01, ""C1"": 0.0}",156.6,jev-1.13.0
Ich verrate euch jetzt mal ein Geheimnis.,A1,0.37,"{""A2"": 0.27, ""A1"": 0.68, ""B2"": 0.0, ""B1"": 0.05, ""C1"": 0.0}",53,A1,0.4,"{""C1"": 0.0, ""B1"": 0.05, ""B2"": 0.0, ""A2"": 0.3, ""A1"": 0.65}",490,A1,0.45,"{""A1"": 0.56, ""B1"": 0.01, ""A2"": 0.43, ""B2"": 0.0, ""C1"": 0.0}",156.6,jev-1.13.0
In Sachsen-Anhalt liegt die AfD momentan bei 40 Prozent und in Mecklenburg-Vorpommern bei 38 Prozent.,B1,2.12,"{""C1"": 0.0, ""B1"": 0.7, ""B2"": 0.21, ""A1"": 0.0, ""A2"": 0.09}",54,B1,2.01,"{""C1"": 0.0, ""A2"": 0.12, ""B1"": 0.75, ""B2"": 0.13, ""A1"": 0.0}",509,B1,1.82,"{""A1"": 0.0, ""B1"": 0.58, ""A2"": 0.3, ""B2"": 0.12, ""C1"": 0.0}",156.6,jev-1.13.0
Da finde ich die französische Lösung nicht gut.,A2,0.78,"{""B1"": 0.12, ""C1"": 0.0, ""A1"": 0.34, ""B2"": 0.0, ""A2"": 0.54}",55,A2,0.78,"{""B1"": 0.16, ""A2"": 0.43, ""C1"": 0.0, ""A1"": 0.4, ""B2"": 0.01}",490,A2,1.04,"{""A1"": 0.17, ""B1"": 0.19, ""A2"": 0.63, ""B2"": 0.01, ""C1"": 0.0}",156.6,jev-1.13.0
"Der Vogel ist wie gesagt aus Holz, es ist zum Glück kein echter Vogel.",A1,0.81,"{""A2"": 0.31, ""B2"": 0.0, ""C1"": 0.0, ""B1"": 0.25, ""A1"": 0.44}",56,B1,1.23,"{""B2"": 0.0, ""B1"": 0.42, ""A1"": 0.19, ""C1"": 0.0, ""A2"": 0.39}",495,A2,0.86,"{""C1"": 0.0, ""B1"": 0.1, ""A2"": 0.63, ""B2"": 0.01, ""A1"": 0.26}",156.6,jev-1.13.0
Die Folge wäre ein Chaos.,B2,2.44,"{""B1"": 0.08, ""A2"": 0.21, ""C1"": 0.0, ""B2"": 0.69, ""A1"": 0.02}",57,B2,2.61,"{""A2"": 0.13, ""B2"": 0.74, ""B1"": 0.13, ""C1"": 0.0, ""A1"": 0.0}",485,A1,0.53,"{""A1"": 0.51, ""B1"": 0.04, ""A2"": 0.45, ""B2"": 0.0, ""C1"": 0.0}",156.6,jev-1.13.0
"Mach dir keine Sorgen um das Geld, den Großteil bezahle ich.",A2,1.11,"{""C1"": 0.0, ""B1"": 0.27, ""B2"": 0.01, ""A1"": 0.18, ""A2"": 0.54}",58,B1,1.47,"{""B1"": 0.53, ""C1"": 0.0, ""A2"": 0.38, ""B2"": 0.01, ""A1"": 0.08}",495,A2,0.82,"{""A1"": 0.27, ""B1"": 0.07, ""A2"": 0.65, ""B2"": 0.01, ""C1"": 0.0}",156.6,jev-1.13.0
