group,rule,text,n,stands_alone,complete,standard,well_formed,expression,model,input_tokens,seconds
no_verb,no finite verb,Dazu noch mal ein Zitat von der Hans-Böckler-Stiftung: Und übrigens noch eine Sache zum Schluss.,14,0.29,0.58,0.92,0.78,0.68,jev-1.13.0,1052,0.29
no_verb,no finite verb,Ja. Komm mal mit jetzt!,15,0.7,0.89,0.83,0.84,0.43,jev-1.13.0,982,0.31
no_verb,no finite verb,Sofort die Hände über den Kopf.,16,0.83,0.92,0.82,0.82,0.41,jev-1.13.0,990,0.3
no_verb,no finite verb,"Dieser ständige Tropf verbunden mit der Infusion, dem Thron Gottes.",17,0.27,0.38,0.45,0.19,0.23,jev-1.13.0,1022,0.32
no_verb,no finite verb,Oder C. 1861 bis 1865.,18,0.33,0.56,0.5,0.37,0.17,jev-1.13.0,996,0.35
no_verb,no finite verb,Auch einigen Leuten in der CDU.,19,0.16,0.4,0.76,0.6,0.11,jev-1.13.0,989,0.31
no_verb,no finite verb,"Oder auch Menschen, die sich mit Veränderungen, besonders mit schnellen, schwer tun.",20,0.49,0.56,0.74,0.65,0.52,jev-1.13.0,1030,0.38
no_verb,no finite verb,Oder auf seinem sozialen Netzwerk Truth Social.,21,0.21,0.35,0.82,0.77,0.2,jev-1.13.0,995,0.24
no_verb,no finite verb,Und zwar die Hochrechnung des ZDF.,22,0.23,0.71,0.92,0.87,0.96,jev-1.13.0,994,0.37
no_verb,no finite verb,"Vielleicht sogar Fusionsenergie, falls wir es hinkriegen, das Eis dafür zu nutzen.",23,0.5,0.81,0.87,0.77,0.5,jev-1.13.0,1039,0.28
no_verb,no finite verb,"Du nicht, aber dein Vater schon.",24,0.37,0.88,0.72,0.77,0.21,jev-1.13.0,988,0.35
no_verb,no finite verb,"Also egal, wie viel man verdient.",25,0.64,0.83,0.63,0.78,0.65,jev-1.13.0,986,0.34
no_verb,no finite verb,Noch mal die Richtung wechseln. letzten 30 Sekunden.,26,0.58,0.56,0.81,0.68,0.4,jev-1.13.0,1007,0.36
no_verb,no finite verb,Nur wenn sie dem Staat was bringen.,27,0.28,0.35,0.55,0.55,0.23,jev-1.13.0,989,0.33
no_verb,no finite verb,"Genau, mein Mann und ich, zu zweit, 28 Tage unterwegs.",28,0.72,0.89,0.87,0.88,0.46,jev-1.13.0,1018,0.36
no_verb,no finite verb,Also erst einmal herzlichen Glückwunsch zur Schwangerschaft!,29,0.91,0.95,0.88,0.9,0.84,jev-1.13.0,1009,0.36
no_verb,no finite verb,Für mich die Spaghetti Bolognese!,30,0.85,0.94,0.82,0.84,0.38,jev-1.13.0,991,0.33
no_verb,no finite verb,Wirtschaftlich auch ein großes Thema.,31,0.48,0.77,0.85,0.84,0.16,jev-1.13.0,989,0.36
no_verb,no finite verb,Zum Beispiel den eines Deutschen.,32,0.13,0.35,0.82,0.59,0.57,jev-1.13.0,983,0.36
no_verb,no finite verb,Oder aber eine Minderheitsregierung der AfD mit deutlich mehr Sitzen.,33,0.47,0.49,0.78,0.67,0.44,jev-1.13.0,1021,0.27
no_verb,no finite verb,"Direkt mit dem Ziel Irans, vom Libanon aus gegen Israel kämpfen zu können.",34,0.38,0.32,0.78,0.57,0.24,jev-1.13.0,1032,0.28
no_verb,no finite verb,Übrigens auch mit der Partei Die Linke.,35,0.16,0.64,0.89,0.81,0.37,jev-1.13.0,995,0.28
no_verb,no finite verb,"Geburtstage, Urlaube, Weihnachten und ganz viele Momente, die damals wahrscheinlich vollkommen unwichtig gewirkt haben.",36,0.58,0.49,0.9,0.81,0.16,jev-1.13.0,1059,0.27
no_verb,no finite verb,Extrem steigende Bodenpreise und weniger Sozialwohnungen zum Beispiel.,37,0.6,0.5,0.83,0.71,0.6,jev-1.13.0,1016,0.26
no_verb,no finite verb,"Okay, vielleicht bisschen Sparty, oder Kunze?",38,0.25,0.75,0.69,0.58,0.26,jev-1.13.0,995,0.3
no_verb,no finite verb,"Hinter mir Bayern in Deutschland, vor mir Tirol, Österreich.",39,0.82,0.88,0.83,0.79,0.09,jev-1.13.0,1013,0.29
no_verb,no finite verb,Letztes Mal bei Like Germans Hallo!,40,0.28,0.56,0.3,0.25,0.53,jev-1.13.0,989,0.29
no_verb,no finite verb,Was für ein Moment mit Symbolkraft.,41,0.54,0.88,0.89,0.84,0.25,jev-1.13.0,989,0.39
no_verb,no finite verb,Hallöchen! 你好 你好 Alles gut bei dir?,42,0.89,0.69,0.41,0.59,0.71,jev-1.13.0,998,0.31
no_verb,no finite verb,"Eine deutschlandweite Spielklasse, in der Profispieler auf dem Platz stehen.",43,0.79,0.45,0.91,0.73,0.22,jev-1.13.0,1025,0.3
no_verb,no finite verb,Einen halben Liter für ein Gewehr.,44,0.55,0.68,0.81,0.68,0.08,jev-1.13.0,991,0.28
no_verb,no finite verb,"Eine letzte Wortmeldung von Frau Lingermann. (Rednerwechsel) Vielen Dank, Frau Vorsitzende.",45,0.7,0.58,0.89,0.86,0.77,jev-1.13.0,1043,0.32
no_verb,no finite verb,Der beste Fallrückzieher des Tages.,46,0.69,0.79,0.9,0.88,0.19,jev-1.13.0,989,0.35
no_verb,no finite verb,"Im Iran, aber auch weltweit.",47,0.32,0.55,0.8,0.65,0.13,jev-1.13.0,981,0.29
no_verb,no finite verb,Hoffentlich auch mehr bezahlbaren Wohnraum.,48,0.67,0.68,0.87,0.83,0.21,jev-1.13.0,992,0.24
no_verb,no finite verb,"Truppen in der Luft, um bei Aufständen einzugreifen.",49,0.73,0.58,0.84,0.69,0.23,jev-1.13.0,1010,0.33
no_verb,no finite verb,Keine Mittelstrecken-Raketen aus den USA auf deutschem Boden und keine Bundeswehr in Kriegsgebieten.,50,0.9,0.89,0.93,0.9,0.13,jev-1.13.0,1051,0.3
no_verb,no finite verb,Dann noch das Fußballspiel beider deutscher Mannschaften.,51,0.27,0.58,0.82,0.7,0.23,jev-1.13.0,1006,0.26
no_verb,no finite verb,"Soweit in aller Kürze die fünf Punkte, die aus meiner Sicht gegen ein Verbot von Social-Media-Plattformen für unter 16-Jährige sprechen.",52,0.7,0.85,0.93,0.88,0.84,jev-1.13.0,1095,0.31
no_verb,no finite verb,"Abgesehen von der Kanzlerwahl, von Grundgesetzänderungen oder anderen kleineren Ausnahmen.",53,0.39,0.25,0.86,0.57,0.63,jev-1.13.0,1036,0.36
no_verb,no finite verb,"Gerade bei nationalistischen Interessen, aber auch viele Gegensätze der außenpolitischen Interessen, die immer mehr zunehmen.",54,0.36,0.31,0.56,0.27,0.4,jev-1.13.0,1066,0.29
no_verb,no finite verb,"Eine Kontroverse, eine schwierige Sache.",55,0.82,0.83,0.89,0.8,0.15,jev-1.13.0,989,0.26
no_verb,no finite verb,"Zum Beispiel: der Kapitalismus, der Sozialismus.",56,0.61,0.53,0.87,0.69,0.66,jev-1.13.0,1001,0.27
no_verb,no finite verb,Noch mal in die Flamme und wieder verdrehen.,57,0.3,0.76,0.74,0.71,0.39,jev-1.13.0,1002,0.36
no_verb,no finite verb,Genauso wenig wie Demonstrationen gegen die Regierung.,58,0.17,0.46,0.85,0.63,0.54,jev-1.13.0,1002,0.39
no_verb,no finite verb,"Von denen, die diese Werke nehmen und einfach verbreiten, ohne nachzufragen, ohne dafür etwas zu bezahlen.",59,0.29,0.19,0.8,0.64,0.2,jev-1.13.0,1057,0.32
no_verb,no finite verb,"Alles klar, bis gleich Julian!",60,0.86,0.94,0.93,0.94,0.82,jev-1.13.0,981,0.37
no_verb,no finite verb,Die Bilanz: bis zu 100.000 tote Zivilisten.,61,0.68,0.84,0.93,0.93,0.49,jev-1.13.0,1010,0.24
no_verb,no finite verb,Papala Papap so viel tugend.,62,0.41,0.77,0.15,0.14,0.17,jev-1.13.0,985,0.38
no_verb,no finite verb,Beispiel für eine Metapher: jemandem das Herz brechen.,63,0.94,0.9,0.95,0.93,0.91,jev-1.13.0,1009,0.26
no_verb,no finite verb,"Unzufrieden mit ihrer Regierung, unzufrieden mit dem System.",64,0.73,0.6,0.92,0.82,0.14,jev-1.13.0,1010,0.33
no_verb,no finite verb,Besonders bei muslimischen Jugendlichen aus dem arabischen Raum.,65,0.3,0.27,0.91,0.83,0.18,jev-1.13.0,1004,0.36
no_verb,no finite verb,Danke schön fürs Zuschauen und bis zum nächsten Mal!,66,0.95,0.96,0.96,0.96,0.67,jev-1.13.0,1012,0.36
no_verb,no finite verb,"Oh, hey Lisa, alles klar?",67,0.9,0.9,0.84,0.87,0.81,jev-1.13.0,982,0.33
no_verb,no finite verb,Entweder ganz junger Käse oder ganz altes Fleisch.,68,0.86,0.86,0.88,0.81,0.12,jev-1.13.0,1009,0.36
no_verb,no finite verb,"Nein, was? (Verzauberte Filmmusik) Wow, echt?",69,0.29,0.56,0.84,0.62,0.45,jev-1.13.0,1008,0.36
no_verb,no finite verb,"Ja, so schön warm und kuschelig.",70,0.74,0.92,0.93,0.92,0.21,jev-1.13.0,990,0.33
no_verb,no finite verb,Sehr vernünftig aber leider zu spät.,71,0.73,0.89,0.95,0.91,0.24,jev-1.13.0,993,0.36
no_verb,no finite verb,"Nein, nur noch 10 Minuten.",72,0.66,0.94,0.95,0.96,0.27,jev-1.13.0,986,0.36
no_verb,no finite verb,Die Vorherrschaft in der arabischen Welt.,73,0.67,0.33,0.94,0.74,0.11,jev-1.13.0,994,0.26
no_verb,no finite verb,Eben unter Umständen durch Enthaltung.,74,0.25,0.57,0.66,0.49,0.57,jev-1.13.0,988,0.32
no_verb,no finite verb,"Okay. -Bitte sehr. -Cool, Okay.",75,0.65,0.25,0.54,0.48,0.92,jev-1.13.0,989,0.34
no_verb,no finite verb,"Eine ganz außergewöhnliche, ungewöhnliche Persönlichkeit.",76,0.81,0.72,0.84,0.67,0.11,jev-1.13.0,1005,0.45
no_verb,no finite verb,Vielen Dank für das aufschlussreiche Hintergrundgespräch.,77,0.9,0.97,0.95,0.9,0.56,jev-1.13.0,1007,0.37
no_verb,no finite verb,"Mareel 24 aus Ulm, ba an der ETH, LM an der LSI und jetzt bei BCG mit Did Schwer.",78,0.47,0.78,0.31,0.34,0.17,jev-1.13.0,1067,0.36
no_verb,no finite verb,Eine halbe Stunde vor Abflug.,79,0.75,0.62,0.94,0.9,0.15,jev-1.13.0,983,0.3
no_verb,no finite verb,"Trotz regelmäßiger Schlafzeiten, Mahlzeiten und Aktivitäten.",80,0.27,0.08,0.72,0.31,0.13,jev-1.13.0,1009,0.27
no_verb,no finite verb,"Praktisch für die Glotze, tolle Elektrik.",81,0.63,0.83,0.71,0.69,0.25,jev-1.13.0,998,0.3
no_verb,no finite verb,Besonders auch Teile der älteren Bevölkerung.,82,0.33,0.4,0.86,0.74,0.2,jev-1.13.0,992,0.26
no_verb,no finite verb,Unter anderem durch den Bericht eines Journalisten aus den USA.,83,0.2,0.32,0.92,0.81,0.87,jev-1.13.0,1012,0.3
no_verb,no finite verb,"Genauso wie z.B. Afghanistan, Somalia oder auch Nordkorea.",84,0.16,0.25,0.8,0.59,0.52,jev-1.13.0,1011,0.28
no_verb,no finite verb,Was meinst du? Buuh! % # mich!,85,0.21,0.48,0.32,0.14,0.41,jev-1.13.0,997,0.27
no_verb,no finite verb,Vielleicht auch nur ein Running Gag.,86,0.41,0.76,0.83,0.89,0.61,jev-1.13.0,991,0.26
no_verb,no finite verb,"Danke für die Unterstützung, Tom.",87,0.94,0.96,0.96,0.96,0.34,jev-1.13.0,986,0.25
no_verb,no finite verb,"Nicht darüber nachdenken, wer das Essen bezahlt.",88,0.82,0.92,0.89,0.83,0.26,jev-1.13.0,998,0.23
no_verb,no finite verb,Du mit den Augen nicht mit ganzen schon gut.,89,0.21,0.59,0.15,0.08,0.4,jev-1.13.0,1001,0.25
no_verb,no finite verb,Aber auch so Dinge wie das deutsche Steuerrecht.,90,0.21,0.37,0.72,0.61,0.36,jev-1.13.0,1002,0.29
no_verb,no finite verb,"Hey!"" Aber warum sich nur auf eine Wellenlänge konzentrieren?",91,0.64,0.73,0.83,0.74,0.64,jev-1.13.0,1015,0.26
no_verb,no finite verb,Und nicht in der 2. Liga.,92,0.2,0.61,0.88,0.82,0.11,jev-1.13.0,986,0.28
no_verb,no finite verb,"Oh, hey Schatz, alles klar?",93,0.87,0.89,0.83,0.89,0.7,jev-1.13.0,984,0.27
no_verb,no finite verb,Das dann dafür ganz schön lang.,94,0.21,0.72,0.6,0.58,0.42,jev-1.13.0,987,0.3
no_verb,no finite verb,"Hey, alles klar bei dir?",95,0.93,0.95,0.93,0.95,0.76,jev-1.13.0,980,0.35
no_verb,no finite verb,Hoffentlich Hawaii mit viel Käse.,96,0.64,0.65,0.59,0.45,0.16,jev-1.13.0,989,0.23
no_verb,no finite verb,Genau wie ein lebender Organismus.,97,0.48,0.64,0.94,0.9,0.39,jev-1.13.0,988,0.3
no_verb,no finite verb,Neben mir das schon erwähnte Video zu Flucht und Vertreibung.,98,0.22,0.53,0.8,0.78,0.22,jev-1.13.0,1017,0.34
no_verb,no finite verb,Noch einmal der Völkerrechtler Thielbörger.,99,0.36,0.68,0.83,0.78,0.4,jev-1.13.0,997,0.35
no_verb,no finite verb,Also weniger Verbote vom Staat.,100,0.54,0.71,0.75,0.73,0.24,jev-1.13.0,982,0.36
dialect,dialect,Ich hab übrigens zu hinsichtlich auch schon mal ein eigenes Video gemacht.,101,0.31,0.89,0.42,0.12,0.59,jev-1.13.0,1022,0.33
dialect,dialect,Ich finde Schule wichtiger als Ich bleibe dieses Jahr nicht sitzen.,102,0.62,0.66,0.61,0.33,0.6,jev-1.13.0,1016,0.37
dialect,dialect,Du hast dich am Telefon sehr nervös angehört.,103,0.93,0.97,0.92,0.88,0.26,jev-1.13.0,1006,0.35
dialect,dialect,"Wir sind in % #ing Waffen, die wir verkauft haben.",104,0.21,0.66,0.23,0.1,0.25,jev-1.13.0,1010,0.33
dialect,dialect,Sie wurden über Jahrzehnte immer wieder vermehrt und retteten so unzählige Leben.,105,0.28,0.96,0.91,0.8,0.51,jev-1.13.0,1037,0.36
dialect,dialect,Und die gucken immer: Was muss man anpassen?,106,0.32,0.83,0.61,0.79,0.19,jev-1.13.0,1003,0.36
dialect,dialect,Und man konnte auf gar nicht so viele Personen zurückgreifen.,107,0.69,0.94,0.86,0.77,0.57,jev-1.13.0,1015,0.33
dialect,dialect,Jetzt kommt man wieder in 'ne kleinere Stadt rein.,108,0.79,0.95,0.87,0.92,0.21,jev-1.13.0,1004,0.36
dialect,dialect,"Ja man, wir haben gar keine Hübsche in der Klasse.",109,0.87,0.95,0.6,0.59,0.47,jev-1.13.0,1013,0.36
dialect,dialect,In Frankreich hat er es mehrere Anschläge auf De gegeben.,110,0.2,0.84,0.28,0.15,0.5,jev-1.13.0,1015,0.33
dialect,dialect,"Wir gucken uns einfach mal eine Station an, ob hier eine ist.",111,0.58,0.86,0.83,0.8,0.47,jev-1.13.0,1019,0.34
dialect,dialect,Dieses Argument zieht vor allem bei Empfehlungen oder Entscheidungen.,112,0.43,0.94,0.84,0.65,0.74,jev-1.13.0,1004,0.28
dialect,dialect,Man guckt so weit in die Ferne und ist nicht konzentriert.,113,0.9,0.96,0.85,0.83,0.33,jev-1.13.0,1017,0.24
dialect,dialect,"Die größte Zahl dieser Anlagen steht in Deutschland, circa 9000 Anlagen.",114,0.49,0.95,0.87,0.74,0.17,jev-1.13.0,1029,0.38
dialect,dialect,"Ich hab dich nur aufgezogen, ich bin gar nicht schwanger.",115,0.85,0.95,0.89,0.9,0.74,jev-1.13.0,1013,0.29
dialect,dialect,"Ich hab was in der Werkstatt, damit kommen wir da rein.",116,0.37,0.9,0.82,0.81,0.32,jev-1.13.0,1013,0.26
dialect,dialect,Inwieweit die Einfluss auf unser alltägliches Leben haben oder nicht.,117,0.14,0.15,0.37,0.11,0.48,jev-1.13.0,1017,0.29
dialect,dialect,"Wenn sind das Leute, die mit ihm auf einer Linie sind.",118,0.3,0.79,0.53,0.27,0.71,jev-1.13.0,1016,0.26
dialect,dialect,"Also, wenn man was sagt, dann Kündigung.",119,0.36,0.83,0.62,0.58,0.48,jev-1.13.0,1002,0.32
dialect,dialect,Sondern es gibt ein Gleichgewicht aus Kaiser und Kanzler.,120,0.61,0.91,0.84,0.7,0.22,jev-1.13.0,1014,0.27
dialect,dialect,"Ein Flugzeug, das den Maschinen der Gegner tatsächlich weit voraus ist.",121,0.64,0.46,0.88,0.7,0.5,jev-1.13.0,1025,0.41
dialect,dialect,"In ungefähr 12 Stunden kriegt ihr ein bisschen Bewegung, Jungs.",122,0.82,0.96,0.82,0.84,0.28,jev-1.13.0,1021,0.27
dialect,dialect,"Du musst Druck auf die Wunde machen, ansonsten komme ich nicht weiter.",123,0.79,0.96,0.88,0.83,0.49,jev-1.13.0,1024,0.26
dialect,dialect,"Kosten würde Bayern auch, dass die Bahn durchs eigene Land fährt.",124,0.62,0.91,0.67,0.52,0.34,jev-1.13.0,1020,0.25
dialect,dialect,"Zum Beispiel kann man in Königsindisch reinkommen, wenn beide Seiten das wollen.",125,0.65,0.96,0.82,0.71,0.49,jev-1.13.0,1035,0.27
dialect,dialect,"Die Vertreter der Republik China, die vorher existiert hat, verlieren.",126,0.55,0.95,0.76,0.55,0.11,jev-1.13.0,1016,0.29
dialect,dialect,Sie zerstört unsere wirtschaftliche Leistungsfähigkeit und sie zerstört unsere Kultur.,127,0.38,0.95,0.94,0.91,0.09,jev-1.13.0,1041,0.33
dialect,dialect,"Ich schwimme zum Schiff, aber finde keinen Weg hinein.",128,0.92,0.95,0.94,0.91,0.11,jev-1.13.0,1008,0.29
dialect,dialect,"Hab ich schon gehört, ein Mann hat den Präsidenten erschossen.",129,0.85,0.92,0.86,0.86,0.32,jev-1.13.0,1019,0.28
dialect,dialect,"Wir reißen die Schule ab, Alter.",130,0.68,0.95,0.6,0.68,0.57,jev-1.13.0,990,0.38
dialect,dialect,"Damit auch, wie Trump seine Politik zumindest indirekt fortsetzen kann.",131,0.14,0.3,0.53,0.28,0.37,jev-1.13.0,1020,0.3
dialect,dialect,"Da ist man äußerst kreativ, und sieht gar nicht so schlecht aus.",132,0.47,0.94,0.83,0.86,0.51,jev-1.13.0,1022,0.29
dialect,dialect,"Andere Theorien sprechen davon, dass Finkelstein und Orbán sich schon 2008 auf Vermittlung des israelischen Ministerpräsidenten haben sollen.",133,0.48,0.95,0.88,0.67,0.61,jev-1.13.0,1095,0.25
dialect,dialect,Weil da war mir klar: Du musst durchziehen.,134,0.57,0.86,0.72,0.75,0.71,jev-1.13.0,1004,0.25
dialect,dialect,"Ich hab noch kein Schloss, weil es eng ist hinten.",135,0.57,0.95,0.76,0.57,0.12,jev-1.13.0,1007,0.25
dialect,dialect,"Darunter findet ihr ein Video zum Wiener Kongress, auch wichtig in dem Zusammenhang.",136,0.3,0.95,0.89,0.91,0.36,jev-1.13.0,1034,0.39
dialect,dialect,Auch die Neue Deutsche Welle hat man in Bundesrepublik und DDR.,137,0.55,0.74,0.47,0.24,0.25,jev-1.13.0,1023,0.36
dialect,dialect,Ich mach mal was in die Ecken hier rein.,138,0.42,0.91,0.88,0.89,0.3,jev-1.13.0,1000,0.33
dialect,dialect,"Da hatte dann die ""Bild"" in ihrer Zeitung die Anträge.",139,0.33,0.94,0.84,0.69,0.19,jev-1.13.0,1018,0.36
dialect,dialect,"Nor, die haben dich ja extra für uns aufgezogen.",140,0.47,0.87,0.39,0.46,0.41,jev-1.13.0,1005,0.36
dialect,dialect,"Ein Apfel ist, sag ich mal, ein klassisches deutsches Produkt.",141,0.91,0.96,0.88,0.8,0.76,jev-1.13.0,1017,0.33
dialect,dialect,"Alter, nur weil ich ein paar polnische Verwandte hab.",142,0.41,0.67,0.63,0.66,0.28,jev-1.13.0,1009,0.36
dialect,dialect,Dieser Typ von Verfassungsschutz war heute bei mir ist ein ganz gründlicher oder?,143,0.53,0.69,0.53,0.32,0.24,jev-1.13.0,1034,0.36
dialect,dialect,"Obwohl Jesus in Johannes 10 sagt, dass du seine Stimme kennst.",144,0.4,0.13,0.8,0.4,0.24,jev-1.13.0,1025,0.33
dialect,dialect,Nach dem Motto: Wir kriegen hier reichlich.,145,0.6,0.51,0.78,0.79,0.7,jev-1.13.0,999,0.36
dialect,dialect,Hat normal die Schule durchgezogen und dann angefangen zu studieren.,146,0.49,0.92,0.68,0.48,0.5,jev-1.13.0,1017,0.36
dialect,dialect,Was war noch mein Einkommen vor 'nem Jahr?,147,0.77,0.95,0.91,0.86,0.13,jev-1.13.0,1002,0.33
dialect,dialect,"Mein Gott, wir das schon furcht dort kann ja keiner lesen.",148,0.33,0.72,0.18,0.08,0.73,jev-1.13.0,1019,0.36
dialect,dialect,Also für die Nummer hier habe ich einen bei dir gutom.,149,0.29,0.8,0.21,0.07,0.41,jev-1.13.0,1013,0.36
dialect,dialect,"Han he Alter, weißt du nicht so auf blond.",150,0.34,0.73,0.29,0.21,0.53,jev-1.13.0,1003,0.27
dialect,dialect,"Der ist noch jung, aber ich jetzt hier den dann wird das mal ein richtiger Rock.",151,0.38,0.66,0.29,0.19,0.4,jev-1.13.0,1040,0.25
dialect,dialect,An der Station wollen andere Leute was von ihm.,152,0.57,0.94,0.75,0.73,0.3,jev-1.13.0,1002,0.25
dialect,dialect,"Wir kriegen die Fusion zwar hin, stecken aktuell aber mehr Energie in die Experimente als wir daraus gewinnen.",153,0.8,0.96,0.9,0.9,0.8,jev-1.13.0,1065,0.28
dialect,dialect,"Nehmen wir mal dieses Beispiel: “Papa, ich sonn’ meine Eier.",154,0.6,0.73,0.44,0.18,0.53,jev-1.13.0,1021,0.32
dialect,dialect,"Da müsste viel passieren, dass man gezielt irgendwas beeinflussen kann.",155,0.58,0.94,0.83,0.81,0.21,jev-1.13.0,1022,0.25
dialect,dialect,"Alter, du musst einen Zahn zulegen.",156,0.71,0.95,0.65,0.79,0.82,jev-1.13.0,992,0.25
dialect,dialect,"Mal gucken, ob man das alles ein bisschen spannen kann.",157,0.31,0.9,0.64,0.6,0.4,jev-1.13.0,1013,0.26
dialect,dialect,"Damit zur Frage, wer darf sich laut AfD als deutsch bezeichnen?",158,0.5,0.47,0.65,0.31,0.44,jev-1.13.0,1025,0.25
dialect,dialect,"Und diese, ich sag mal, Persönlichkeit jeder Frau in dem Fall irgendwie nach außen kommt.",159,0.26,0.72,0.79,0.6,0.55,jev-1.13.0,1044,0.28
dialect,dialect,Was du siehst an Rang ist für den Rang 100%.,160,0.4,0.88,0.4,0.19,0.23,jev-1.13.0,1012,0.27
dialect,dialect,Hang hatte mal die ne oder?,161,0.23,0.84,0.74,0.57,0.45,jev-1.13.0,984,0.29
dialect,dialect,Das waren weitaus nicht alle und schon gar keine Frauen.,162,0.26,0.96,0.91,0.87,0.67,jev-1.13.0,1010,0.46
dialect,dialect,Hes an den sich ihre Töchter sicherlich erinnern werden.,163,0.32,0.8,0.54,0.29,0.27,jev-1.13.0,1010,0.27
dialect,dialect,"Ob da eine gute Integration möglich wäre, damit das dann auch, sag ich mal, aus unserer pädagogischen Sicht, Hand in Hand laufen kann.",164,0.24,0.46,0.8,0.71,0.85,jev-1.13.0,1096,0.31
dialect,dialect,"Sei vorsichtig, du hast noch keine großen Fall verloren.",165,0.71,0.92,0.62,0.31,0.21,jev-1.13.0,1012,0.26
dialect,dialect,Und das ist im Grunde genommen auch was Platon ausbilden will.,166,0.22,0.95,0.87,0.68,0.85,jev-1.13.0,1015,0.29
dialect,dialect,Ist wieder fröhlich auf die kleinen Kinder los.,167,0.33,0.62,0.57,0.43,0.82,jev-1.13.0,999,0.25
dialect,dialect,"Ich hau einfach ab, sobald Mama mich abgesetzt hat.",168,0.83,0.96,0.71,0.88,0.71,jev-1.13.0,1009,0.31
dialect,dialect,"Sind pro Monat immer zwei, drei, vier Euro, aber immerhin.",169,0.38,0.77,0.66,0.68,0.6,jev-1.13.0,1016,0.28
dialect,dialect,"Die Dinge sieht aus wie ein Apfel, aber schmeckt wie die Himmel.",170,0.67,0.91,0.2,0.1,0.31,jev-1.13.0,1025,0.29
dialect,dialect,"Wir entdecken auch die Stadt, verschiedene Museen, sprechen über Kunst.",171,0.85,0.87,0.85,0.72,0.08,jev-1.13.0,1017,0.37
dialect,dialect,Bin da bloß ein Maler.,172,0.75,0.94,0.34,0.65,0.24,jev-1.13.0,982,0.25
dialect,dialect,"Die Zeit überstehen, fast einen ganzen Tag lang warten.",173,0.74,0.65,0.82,0.61,0.58,jev-1.13.0,1009,0.27
dialect,dialect,Fast alle erstellt von dem örtlichen Pfarrer.,174,0.29,0.53,0.65,0.5,0.14,jev-1.13.0,997,0.28
dialect,dialect,"Sind ja immer auch ein Spiegel der Zeit, Spiegel von Kultur.",175,0.28,0.58,0.59,0.44,0.5,jev-1.13.0,1016,0.26
dialect,dialect,Was ist von dieser Leistungsfähigkeit politisch sinnvoll?,176,0.26,0.96,0.9,0.74,0.18,jev-1.13.0,1009,0.51
dialect,dialect,Vallah so eine Party lass ich mir doch nicht entgehen.,177,0.88,0.96,0.39,0.76,0.78,jev-1.13.0,1009,0.24
dialect,dialect,Das Klang es hätte etwas gegen mich in der Hand.,178,0.35,0.87,0.31,0.12,0.65,jev-1.13.0,1008,0.29
dialect,dialect,Also muss ich mit einem Mädchen ausgehen und mit demselben Mädchen abhängen?,179,0.68,0.9,0.72,0.72,0.42,jev-1.13.0,1034,0.33
dialect,dialect,"Vor allem vergeben im arabischen, israelischen und indischen Raum.",180,0.21,0.53,0.75,0.6,0.75,jev-1.13.0,1014,0.36
dialect,dialect,"Oder man geht zum Nachbarn, sofern der eines hat.",181,0.55,0.88,0.71,0.63,0.17,jev-1.13.0,1008,0.36
dialect,dialect,"Etwa 2000 sind nötig, um eine Zeitung vernünftig lesen zu können.",182,0.72,0.96,0.87,0.74,0.17,jev-1.13.0,1032,0.33
