n,stratum,pattern,gloss,surface,text,video,start
37,uniform,das Jahr,das Jahr means year.,5 Jahren,Ich habe vor 5 Jahren eine Ausbildung gemacht und arbeite jetzt als Angestellter in einer Bank.,uplNqv7NHrM,39.682
38,uniform,der Gott,der Gott means God.,mein Gott,"Oh mein Gott, mein Aschkem.",sYUiXe_Qu3Q,597.0110000000001
39,uniform,etw. (Akk) vermeiden,etwas vermeiden means to avoid something.,vermeiden,Aber die Forschung zeigt: Sie sind kaum zu vermeiden.,1nnKydcqmDI,599.64
40,uniform,etw./jdn. (Akk) haben,,hat,Sie hat bestimmt nur Hunger.,PQueNUkAZJ4,446.471
41,uniform,etw. (Akk) errichten,etwas errichten means to construct or build (a physical structure).,errichten einen eigenen Staat,"Dort errichten sie einen eigenen Staat, eigentlich setzen sie ihren alten Staat fort, nur eben viel kleiner.",US3fwfUaTPM,160.12
42,uniform,für/gegen jdn./etw. stimmen,für jemanden stimmen means to be wrong or incorrect.,stimmt,"Und der konnte uns auch ganz genau sagen, was nicht stimmt.",u-9EvVPrDE0,952.64
43,uniform,das Ensemble,das Ensemble means all the performers in a theater or opera company.,Ensemble,"Ensemble war bei der letzten Wahl zweitstärkste Kraft, hat aber ebenfalls keine absolute Mehrheit im Parlament.",iF8crBezySA,218.72
44,uniform,jdm. (Dat) etw. (Akk) aufschreiben,jemandem etwas aufschreiben means to write something down for someone (to record or list).,falsche Dinge aufschreibt in Brandenburg,"Bei der Auszählung wird genau darauf geachtet, dass nicht jemand falsche Dinge aufschreibt wie in Brandenburg, oder Stimmzettel verschwinden lässt.",pyXS4ytSIGY,449.8
45,uniform,die Veränderung,die Veränderung means change.,eine Veränderung,Konnten Sie eine Veränderung feststellen bei ihm?,LhIV_MhdhuE,534.28
46,uniform,der Geschäftsführer,,den Geschäftsführer,"In ganz großen Firmen kann es sein, dass man als Angestellter den Geschäftsführer niemals trifft.",IAWGZlRouds,798.1509433962264
47,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,sagen,Wir können sagen: Es läuft wie am Schnürchen. “Schnürchen” ist die Verniedlichungsform von “Schnur”.,gJbNr0rpPa8,453.88363636363636
48,uniform,etw. (Akk) wissen,etwas wissen means to know something.,wissen wenig über sie,"Leider wissen wir insgesamt wenig über sie, weil ihr kulturelles Erbe weitgehend zerstört wurde.",lXNS_pLFkdk,870.88
49,uniform,vor jdm./etw. (Dat) fliehen,vor jemandem fliehen means to flee from someone/something.,fliehen in die Keller,Die überraschten Einwohner fliehen in die Keller ihrer Häuser.,htPOnvQZSBU,286.0
50,uniform,das Jahr,das Jahr means year.,zehn Jahre,Schiedsrichter gab es nämlich erst rund zehn Jahre später.,-jPx81Y10oE,798.96
51,uniform,mit jdm. / über etw. reden,mit jemandem reden means to talk with someone.,mit uns reden,Er darf nicht so mit uns reden.,PFsFOWjW33A,334.3707894736842
52,uniform,jdm. (Dat) etw. (Akk) erzählen,jemandem etwas erzählen means to tell someone something.,Das erzähle,Das warst du. Das erzähle ich Opa Krasnachi.,hD2dmcEwhSM,281.066
53,uniform,die Frau,die Frau means wife.,Frauen,"Männer werden zum Kriegsdienst gezwungen, Frauen als sogenannte „Trostfrauen“ zur Prostitution missbraucht.",A5K_hGOVs6M,87.12
54,uniform,der Bundestag,der Bundestag means the German federal parliament.,des Bundestags,"Wie gesagt, das sind die ersten Worte, die Friedrich Merz am Mikrofon des Bundestags im Rahmen einer Rede gesprochen hat.",2cIoqnF___g,281.36
55,uniform,jdm. (Dat) vertrauen,jemandem vertrauen means to trust someone.,den EU-Einrichtungen vertrauen,"Mehr Transparenz und Verantwortung sind dringend nötig, wenn die Bürger den EU-Einrichtungen vertrauen sollen.",8o2yaqECGc0,178.36
56,uniform,die Macht,die Macht means power.,die Macht,Klar ist: die Macht von Amazon ist die Macht von Jeff Bezos.,REc4p2B40a4,354.84
57,uniform,etw./jdn. (Akk) haben,,keine 22 Minuten Zeit hat,"Und wer keine 22 Minuten Zeit hat, es gibt einen deutlich kürzeren Tagesthemen-Kommentar von mir.",u439pm8uYSk,1043.72
58,uniform,etw./jdn. (Akk) halten,etwas halten means to think or consider something/someone in a certain way.,Kurs halten,Jetzt ist also die Frage: Wer von beiden muss Kurs halten und wer muss ausweichen?,45aaYCbJnW0,59.35
59,uniform,auf etw. / an etw. ankommen,auf etwas ankommen means to depend on something.,ankommt,"Sondern sie macht das erstens, weil es der eigenen Überzeugung entspricht, aber zweitens, weil sie damit auch ankommt.",T3F2RD7ZVtw,2324.867
60,uniform,etw. (Akk) können,,kann,"So kann man ein teures, luxuriöseres Auto nennen, oft einen Sportwagen.",clPqclHEDh4,263.6095999999999
61,uniform,etw./jdn. (Akk) haben,,haben,"Und auch in den USA gab es v.a. Deutschstämmige, die gesagt haben: Was die Nazis machen, ist gut.",j2Gqj84sm60,159.28
62,uniform,die Verhandlung,die Verhandlung means negotiation.,langen Verhandlungen,"Weil alle wissen, dass sie ihre jeweiligen Ziele allein nicht durchsetzen können, suchen sie Verbündete in langen und natürlich geheimen Verhandlungen.",9-c1z6ra8Lk,245.52
63,uniform,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,was machen,"Das ist alles interessant, aber war gar nicht das, was ich machen sollte.",JC2IG6tnnfs,248.96328767123288
64,uniform,etw./jdn. (Akk) halten,etwas halten means to think or consider something/someone in a certain way.,seine Kolonien halten,Großbritannien hätte seine Kolonien auf Dauer nicht halten können.,uxxMMuHFlVM,258.2
65,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,gesagt auf meiner Website,"Schaut wie gesagt gerne auf meiner Website vorbei, wenn ihr die Verben mit ""lassen"" üben möchtet.",WTrtXWBjGNI,1236.94
66,uniform,der Junge,der Junge means boy.,mein Junge,"Sag mal, mein Junge, was weißt du eigentlich über die Ritzlertagebücher?",Vb9df_r0pZo,2443.3489999999997
67,uniform,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,gibt das drittelraster,"Dort gibt es das drittelraster, welches hier leitfaden für Dritte heißt.",hG74y-GbtRA,2044.820290322581
68,uniform,etw. (Akk) / jdm. (Dat) etw. (Akk) brechen,etwas brechen means to break something (physically or figuratively).,durch Krieg gebrochen,Widerstand wird durch Krieg gebrochen.,rVLYaU1mNjY,625.64
69,uniform,der Bundestag,der Bundestag means the German federal parliament.,Bundestag,Zugleich sind 21 Lobbyisten der Bahn im Bundestag registriert.,uNyDB90V_GY,1877.16
70,uniform,etw. (Akk) wissen,etwas wissen means to know something.,was weiß 150,Du bist was weiß ich 120 150 vielleicht bist du auch schon bei 2 300 400%.,k1-aP3hZEHs,302.791
71,uniform,der König,der König means king.,König,Mit jeder Hilfeleistung erhält der Adel vom König über die Jahrhunderte ein neues Zugeständnis.,VjKdtZiRSXg,377.84
72,uniform,auf jdn./etw. wirken,auf jemanden wirken means to have an effect on someone / to work upon someone.,wirkt,Sie wirkt bodenständig und sympathisch.,ZJ9UjV9p6IE,298.03552777777765
73,uniform,jdn. (Akk) um etw. bitten,jemanden um etwas bitten means to ask someone for something.,bittet seinen Vater,"Er bittet seinen Vater darum, dass Odysseus nie mehr in seine Heimat zurückkehrt.",UbYOutzCqyw,438.0
74,uniform,das Bild,das Bild means image.,das Bild,Oder das Bild geht viral.,Lc1P714o6uk,160.791
75,uniform,etw./jdn. (Akk) haben,,hätte,"Tu so, als hätte Travis etwas komisches gesagt.",3TwY5jtZJvM,2056.967671232877
76,uniform,etw. (Akk) mitmachen,etwas mitmachen means to participate in something.,mitmachen,Rund 110 Millionen Menschen können dabei mitmachen.,Pd-YCV0g6Cs,7.84
77,uniform,der Vater,der Vater means father.,mein Vater,"„Hallo, Lisa, mein Vater und ich brauchen deine Hilfe.",Lg5P2w_Ro1c,4459.96
78,uniform,etw./jdn. (Akk) haben,,hat,"Die OECD hat in verschiedenen Vergleichsstudien immer wieder ermittelt, dass Deutschland, was Bildungsgerechtigkeit angeht, nicht wirklich gut dasteht.",3PPd4lYvP0s,442.6
79,uniform,jdm. (Dat) / etw. (Dat) zustimmen,jemandem zustimmen means to agree with someone.,dem zuzustimmen,"Noch mehr in der Kritik steht Art. 13. Gerade wegen Art. 13 gibt es eine Petition, die das EU-Parlament dazu aufruft, dem nicht zuzustimmen.",2Ow9PXtJ6VI,247.48
80,uniform,mit etw. / etw. (Akk) beginnen,mit etwas beginnen means to start something.,begann vor 300 Jahren,Dann begann vor etwa 300 Jahren die Industrialisierung.,WhbGobY3hUg,123.4
81,uniform,jdn. (Akk) + Name (Akk) nennen,jemanden Name nennen means to give someone a name or to refer to someone by a name.,genannt,"Wie zum Beispiel beim Kompaniefeldwebel, der auch Spieß genannt wird.",9U-G-o2UBOE,299.8
82,uniform,die Lösung,die Lösung means solution.,die Lösung,"Und die Lösung: ""Die Hütte liegt etwas versteckt auf einem Hügel und kann nur zu Fuß erreicht werden."" Das ist eine ""Passiversatzform"".",dKH1-TgByIw,294.404
83,uniform,auf etw./jdn. schauen,auf etwas schauen means to look at something or to wait and see.,auf das Phänomen schauen,"Wir gehen jetzt zum Hamburger Verfassungsschutz und hören mal, wie die Sicherheitsbehörden auf das Phänomen schauen.",iYtJLOBEXa0,1654.92
84,uniform,etw. (Akk) umsetzen,etwas umsetzen means to implement or carry out something.,BVT-Merkblätter umsetzen,Neue Anlagen müssen BVT-Merkblätter sofort umsetzen.,ca4CuIj_U9w,6807.48537037037
85,uniform,mit etw. / von etw. handeln,mit etwas handeln means to act in relation to something or to deal with something.,sich sich bei Ramses II um den Pharao handelt,"Manche glauben sogar, dass es sich bei Ramses II um den Pharao der Bibel mit den zehn Plagen und dem Auszug aus Ägypten handelt.",UXKvwL8Ox6k,713.12
86,uniform,jdm. (Dat) etw. (Akk) gewähren,jemandem etwas gewähren means to grant someone something.,sich sich gewährt,Aber der Bock hat sich gewährt.,xDmA0wqCdoI,1577.72
87,uniform,die Menge,die Menge means a large amount or quantity.,Eine Menge,Allein der #Fitness bei Instagram kommt auf 290 Mio.Treffer. Eine Menge.,1e8sRPB7kAo,15.52
88,uniform,gegen jdn./etw. sich wehren,sich gegen jemanden wehren means to defend oneself against someone or something.,sich sich wehrt,"Wir haben damit den sogenannten inneren Schweinehund erklärt, der sich einfach immer wehrt, wenn man sich ändern will.",eaMxWzTZLbM,1206.84
89,uniform,das Mitglied,das Mitglied means member.,Mitglied,"In aktuellen Umfragen sagen mehr als 90 Prozent der Albaner, dass sie gerne Mitglied der Europäischen Union wären.",8v55eFkxZrQ,102.44
90,uniform,die Kosten,die Kosten means costs.,Die Kosten,"Die Kosten rühren im wesentlichen daher, dass sie in kleinen Stückzahlen produziert werden.",V6lo6yQ9_34,579.28
91,uniform,der Wunsch,der Wunsch means wish or desire.,ihr Wünsche,Und wenn ihr Wünsche habt für das nächste Video.,ipoJ0RUlYMA,281.72
92,uniform,die Information,die Information means information or notice.,weitere Informationen,"Wenn ihr mehr über sportpsychologische Interventions- und Präventionsprogramme erfahren wollt, ist natürlich unten in der Infobox verlinkt, wie weitere Informationen rund um dieses Thema.",hv0Hz2XMGXA,775.76
93,uniform,das Blut,das Blut means blood.,Königliches Blut,Königliches Blut müsste man haben.,11ofQQOKrPY,0.24
94,uniform,das Gesetz,das Gesetz means law.,Die Gesetze,Die Gesetze müssen sich mit der Technologie mitentwickeln.,x6C2oyDLjw4,1087.52
95,uniform,die Nation,die Nation means nation.,die Vereinten Nationen,Taiwan muss die Vereinten Nationen verlassen.,B4STPXDtl3M,363.48
96,uniform,jdn./etw. (Akk) / sich (Dat) etw. (Akk) anschauen,jemanden anschauen means to look at someone or something closely.,Schauen uns uns das an an,"Schauen wir uns das mal etwas genauer an und starten nicht mit einer, sondern gleich mit zwei Parteien.",qGxHMjai01g,109.0
97,uniform,an etw. (Dat) sterben,an etwas sterben means to die from or of something (often used metaphorically for emotional loss).,sterben,Ich will nicht sterben. 30 Minuten später.,OY_KzayzfR4,721.541
98,uniform,jdm. (Dat) etw. (Akk) schreiben,jemandem etwas schreiben means to write something to someone (or to write a letter/message).,mehr schreiben,Diese WM wird mehr schreiben als nur Fußballgeschichte.,EprQ9qtTafg,38.16
99,uniform,der Freund,der Freund means friend.,Freunde,"Ach, aber Freunde, Hallo, ich kann es beweisen.",xDmA0wqCdoI,3410.6
100,uniform,"all, alle",,alle,"Eine lokale Anpassung, die alle betrifft, die über mehrere Generationen unter bestimmten Umweltbedingungen leben, egal, ob sie sich im Übrigen genetisch ähnlicher sind oder nicht.",FGAyYl3ZICw,407.84
101,uniform,etw./jdn. (Akk) haben,,hätten,"Zweitens gab es ja auch kommunistische, sozialdemokratische, liberale und religiös motivierte Widerstandsbewegungen, die nach dem Fall des Hitlerregimes am Wiederaufbau hätten mitwirken wollen.",MjvUoR4UjeY,405.64
102,uniform,der Fall,auf jeden Fall means definitely/absolutely.,jeden Fall,"""Diverse"" bedeutet einige, mehrere, aber auch unterschiedliche, diverse Vorteile, also auf jeden Fall ist es in unserem Kontext eher ein Synonym von ""einige"".",G5zMNermDzw,280.94756756756766
103,uniform,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,auf jeden Fall mehr Sport machen,Ich will jedes Jahr auf jeden Fall mehr Sport machen.,psGJjpp9ZO0,442.0680701754386
104,uniform,jdm. (Dat) etw. (Akk) / sich (Dat) beschaffen,jemandem etwas beschaffen means to obtain or procure something for someone.,Teile für Brandsätze beschaffen,"Quasi unter den Augen der Polizei versucht er offenbar weiter, Teile für Brandsätze zu beschaffen.",LhIV_MhdhuE,256.24
105,uniform,die Politik,die Politik means politics (the field of government and public affairs).,Politik,Hier sind Politik und Liebesleben untrennbar miteinander verbunden.,pZoCCbeje_g,519.72
106,uniform,der Zeitraum,,diesem Zeitraum,Und der Knackpunkt ist: Genau in diesem Zeitraum ist Prüfungsphase an der Uni.,znUg17W526o,594.0
107,uniform,der Krieg,der Krieg means war.,diesen Krieg,Allerdings ohne diesen Krieg auch als solchen zu bezeichnen.,NcPJVH-9s-o,171.48
108,uniform,die Region,die Region means a geographical area or district.,der Region,Für Iran sind die Huthis ein wichtiger Partner in der Region.,yjoQx5WpNVU,259.16
109,uniform,jdm. (Dat) vorkommen,jemandem vorkommen means to seem or appear to someone.,Mir kommt vor vor,"Mir kommt das vor, als wären das 100 Meter.",4keS4prD-kA,1228.76
110,uniform,der Punkt,der Punkt means a point or item on a list/agenda.,diese innenpolitischen Punkte,Auf uns in Deutschland haben diese innenpolitischen Punkte natürlich kaum Auswirkungen.,ObDrBJIPMtc,500.64
111,uniform,etw. (Akk) ziehen,etwas ziehen means to move (residence).,Als Erwachsener zieht als Wanderprediger,Als Erwachsener zieht er als Wanderprediger durchs Land.,oUzail_XJsc,55.08
112,uniform,der Vater,der Vater means father.,meinen Vater,Wollen wir meinen Vater anrufen?,7LFpgPkOsoE,554.875
113,uniform,der Mensch,der Mensch means person/people.,Menschen,Sie kann Menschen verhaften und dann entsprechend die Abschiebungen vorbereiten.,DHHBy760b0Y,269.6
114,uniform,die Periode,die Periode means a specific duration or interval of time.,seiner blauen Periode,Er lebte die ersten Jahre seiner blauen Periode nur von Rugelach und Mar.,DAhmm1LS43g,4722.486857142856
115,uniform,der Mann,der Mann means the man (specific individual).,Viele junge Männer,"Viele junge Männer radikalisieren sich, treten Terrorgruppen bei.",8cgWrmb1K54,273.48
116,uniform,der Betrieb,der Betrieb means workplace.,Betriebe,"Man darf auch weiter Betriebe mit Publikumsverkehr besuchen, ist aber angewiesen, einen Mindestabstand von 1,5m einzuhalten.",6LTz9YZwapU,147.52
117,uniform,die Politik,die Politik means politics (the field of government and public affairs).,keine linke Politik,Es gibt keine linke Mehrheit und keine linke Politik mehr in Deutschland.,sLI1Dg5-Twg,296.6
118,uniform,das Auge,das Auge means eye.,bloßem Auge,Sie leuchten nicht besonders hell und man kann sie deshalb nicht mit bloßem Auge am Nachthimmel erkennen.,ap6VS5anhCc,48.48
119,uniform,die Wohnung,die Wohnung means apartment.,die Wohnung,Dann müssen Sie die Wohnung verlassen.,Kp54Sq0V_AY,612.0
120,uniform,der Zeitpunkt,,dem Zeitpunkt,"Allein das ist schon krass, aber leider nicht alles. (englisch:) Denn zu dem Zeitpunkt hatte die Hongkonger Polizei bereits ein Kopfgeld auf Carmen ausgesetzt.",m8e-ZaZSWqY,494.04
121,uniform,das Gefühl,das Gefühl means feeling or intuition.,lustige Gefühle,"THC aktiviert einige Regionen und beruhigt andere, wodurch lustige Gefühle entstehen.",gI-A5rikt2U,189.96
122,uniform,auf etw. (Akk) / für etw. plädieren,auf etwas plädieren means to plead for something.,für einen De-Risking plädieren,"Ich würde immer für einen De-Risking plädieren, aber kein De-Coupling, das habe ich schon ausgeführt.",zjLkTb2jQnw,12671.685846153847
123,uniform,das Kind,das Kind means child (a young human being).,ein malendes Kind,Stell dir das Universum als ein malendes Kind vor.,FYh4dWI-bqQ,25.32
124,uniform,etw. (Akk) wollen,,wollte,"Seit 1991 unabhängig, aber mit einer Region, die nicht zum Rest des Staates gehören wollte, nämlich Transnistrien.",0gu1gDgQ2Ck,286.72
125,uniform,das Gegenteil,das Gegenteil means the opposite.,Gegenteil,"Im Gegenteil, es wird immer verheerender.",3PPd4lYvP0s,465.8
126,uniform,jdm. (Dat) etw. (Akk) erzählen,jemandem etwas erzählen means to tell someone something.,die Dramen erzählen,"Amerikanische Seifenopern, die die Dramen reicher Familien erzählen.",IJQ2v1IQcc0,366.6
127,uniform,etw. (Akk) ausdrücken,etwas ausdrücken means to express something.,sich sich ausdrückt,"Es ist unglaublich, wie gut er sich ausdrückt und was für eine angenehme Ausstrahlung er vor der Kamera hat.",UWk2aaYHGY8,540.92
128,uniform,die Bundesrepublik,die Bundesrepublik means the Federal Republic (of Germany).,der Bundesrepublik,"Auch im Westen, in der Bundesrepublik konnte man das beobachten.",AeOtbACux5w,571.24
129,uniform,die Seite,die Seite means side.,die andere Seite,"Vor allem, weil wir Demokraten uns nicht aller Mittel bedienen können, die die andere Seite hat.",oZlJeK-AacE,1353.2
130,uniform,der Arzt,der Arzt means doctor.,dem Arzt,"Am besten, ich fahre direkt zu der Praxis, um mit dem Arzt zu sprechen.",zd3MotIR_eI,184.024
131,uniform,etw./jdn. (Akk) haben,,hat,"Bereits 1953 hat er der israelischen Regierung mitgeteilt, dass Eichmann in Argentinien Zuflucht gefunden hat.",mmNgFfUN4MA,755.64
132,uniform,"allein, alleine",allein means alone.,Allein,Allein auf dem Schlachtschiff USS Arizona lagern sogar 680.000 Liter Flugzeugbenzin und 5.000 Tonnen Munition.,YXa6owVk8LA,296.44
133,uniform,"all, alle",,allem,"Entscheidend sind jetzt die kommenden Monate, vor allem auch die Monate nach der Wahl im nächsten Jahr.",U6GW6gzIywo,635.6
134,uniform,das Haus,das Haus means the building where people live.,Hause,"Ja, ich denke, wir sollten alle einfach nach Hause gehen.",tqR3JB7mo_o,1479.72
135,uniform,der Krieg,der Krieg means war.,einen Krieg,Und noch einen Krieg führt das Land seit einiger Zeit: einen Cyberkrieg.,0gu1gDgQ2Ck,801.44
136,uniform,jdn. (Akk) führen,jemanden führen means to lead someone or something.,beim BR zum Umdenken geführt,Die Kritik an den Ingolstadt-Folgen hat beim BR schließlich zum Umdenken geführt.,9FsXQkOdP7I,1686.68
137,uniform,die Information,die Information means information or notice.,Informationen,"Und keinem Forscher würde es einfallen, Informationen, wie man normales Laborequipment zum Bau von Bomben einsetzen könnte, im Internet zu teilen.",M6Tat_YeZbc,491.7994520547945
138,uniform,etw. (Akk) befürchten,etwas befürchten means to fear something.,befürchten,"Die Menschen in Taiwan besorgt das, denn sie befürchten, dass die USA China gewähren lassen würden, wenn dessen Armee versuchen würde, Taiwan anzugreifen.",cdN8aL2_hiY,577.56
139,uniform,der Künstler,der Künstler means artist.,der Künstler,Nicht nur der Künstler verdient.,bGOthUru6hA,268.08
140,uniform,mit etw. aufhören,mit etwas aufhören means to stop doing something.,aufhören,"Ich muss aufhören, daran zu denken.",esyaBtMuRsM,397.42
141,uniform,etw./jdn. (Akk) haben,,hatten das,"Also du kommst ja, wir hatten das heute schon mal, auch eine ganz klassische Einwanderungsgeschichte.",6wdfaDUNckw,219.64
142,uniform,der Tod,der Tod means death.,dem Tod,Mit dem Tod von Ali Chamenei sind wir bei der Frage aus dem Titel dieses Videos hier angekommen.,mOgzrsfM-BA,268.32
143,uniform,die Entscheidung,die Entscheidung means decision or decisions.,die Entscheidung,"Aber egal, wie die Entscheidung ausfällt, die gesellschaftlichen Spannungen wurden dadurch noch einmal verschärft.",iF8crBezySA,693.28
