n,p,model,input_tokens,seconds,verdict,rule,stratum,pattern
79,0.59,jev-1.13.0,710,0.28,frame,,uniform,jdm. (Dat) / etw. (Dat) zustimmen
80,0.3,jev-1.13.0,677,0.29,other,,uniform,mit etw. / etw. (Akk) beginnen
81,0.66,jev-1.13.0,676,0.28,frame,,uniform,jdn. (Akk) + Name (Akk) nennen
82,0.92,jev-1.13.0,678,0.28,frame,,uniform,die Lösung
83,0.81,jev-1.13.0,683,0.43,frame,,uniform,auf etw./jdn. schauen
84,0.9,jev-1.13.0,678,0.29,frame,,uniform,etw. (Akk) umsetzen
85,0.27,jev-1.13.0,699,0.25,construction,,uniform,mit etw. / von etw. handeln
86,0.14,jev-1.13.0,677,0.28,unclear,,uniform,jdm. (Dat) etw. (Akk) gewähren
87,0.48,jev-1.13.0,664,0.32,construction,,uniform,die Menge
88,0.56,jev-1.13.0,687,0.33,frame,,uniform,gegen jdn./etw. sich wehren
89,0.71,jev-1.13.0,669,0.24,frame,,uniform,das Mitglied
90,0.93,jev-1.13.0,666,0.36,frame,,uniform,die Kosten
91,0.77,jev-1.13.0,654,0.27,frame,,uniform,der Wunsch
92,0.51,jev-1.13.0,689,0.33,frame,,uniform,die Information
93,0.51,jev-1.13.0,655,0.36,frame,,uniform,das Blut
94,0.63,jev-1.13.0,657,0.36,frame,,uniform,das Gesetz
95,0.19,jev-1.13.0,658,0.33,frame,,uniform,die Nation
96,0.34,jev-1.13.0,697,0.36,frame,,uniform,jdn./etw. (Akk) / sich (Dat) etw. (Akk) anschauen
97,0.43,jev-1.13.0,664,0.35,other,,uniform,an etw. (Dat) sterben
98,0.14,jev-1.13.0,672,0.33,construction,,uniform,jdm. (Dat) etw. (Akk) schreiben
99,0.64,jev-1.13.0,656,0.36,frame,,uniform,der Freund
100,0.68,jev-1.13.0,685,0.36,frame,,uniform,"all, alle"
101,0.05,jev-1.13.0,711,0.33,other,aux,uniform,etw./jdn. (Akk) haben
102,0.39,jev-1.13.0,682,0.22,construction,,uniform,der Fall
103,0.75,jev-1.13.0,665,0.5,frame,,uniform,etw. (Akk) machen
104,0.55,jev-1.13.0,698,0.32,frame,,uniform,jdm. (Dat) etw. (Akk) / sich (Dat) beschaffen
105,0.92,jev-1.13.0,658,0.23,frame,,uniform,die Politik
106,0.87,jev-1.13.0,665,0.25,frame,,uniform,der Zeitraum
107,0.87,jev-1.13.0,659,0.27,frame,,uniform,der Krieg
108,0.76,jev-1.13.0,657,0.35,frame,,uniform,die Region
109,0.74,jev-1.13.0,670,0.23,frame,,uniform,jdm. (Dat) vorkommen
110,0.69,jev-1.13.0,665,0.24,frame,,uniform,der Punkt
111,0.1,jev-1.13.0,673,0.32,other,,uniform,etw. (Akk) ziehen
112,0.89,jev-1.13.0,652,0.24,frame,,uniform,der Vater
113,0.78,jev-1.13.0,661,0.24,frame,,uniform,der Mensch
114,0.72,jev-1.13.0,668,0.32,frame,,uniform,die Periode
115,0.67,jev-1.13.0,662,0.27,frame,,uniform,der Mann
116,0.83,jev-1.13.0,678,0.26,frame,,uniform,der Betrieb
117,0.82,jev-1.13.0,661,0.35,frame,,uniform,die Politik
118,0.48,jev-1.13.0,670,0.31,frame,,uniform,das Auge
119,0.91,jev-1.13.0,650,0.26,frame,,uniform,die Wohnung
120,0.83,jev-1.13.0,681,0.27,frame,,uniform,der Zeitpunkt
121,0.68,jev-1.13.0,667,0.38,frame,,uniform,das Gefühl
122,0.76,jev-1.13.0,696,0.25,frame,,uniform,auf etw. (Akk) / für etw. plädieren
123,0.81,jev-1.13.0,659,0.25,frame,,uniform,das Kind
124,0.31,jev-1.13.0,682,0.23,other,modal,uniform,etw. (Akk) wollen
125,0.61,jev-1.13.0,655,0.28,construction,,uniform,das Gegenteil
126,0.52,jev-1.13.0,678,0.23,frame,,uniform,jdm. (Dat) etw. (Akk) erzählen
127,0.13,jev-1.13.0,691,0.48,other,,uniform,etw. (Akk) ausdrücken
128,0.84,jev-1.13.0,672,0.31,frame,,uniform,die Bundesrepublik
129,0.61,jev-1.13.0,665,0.38,frame,,uniform,die Seite
130,0.88,jev-1.13.0,661,0.26,frame,,uniform,der Arzt
131,0.06,jev-1.13.0,687,0.27,other,aux,uniform,etw./jdn. (Akk) haben
132,0.52,jev-1.13.0,686,0.35,frame,,uniform,"allein, alleine"
133,0.18,jev-1.13.0,664,0.33,construction,,uniform,"all, alle"
134,0.43,jev-1.13.0,656,0.36,construction,,uniform,das Haus
135,0.9,jev-1.13.0,661,0.36,frame,,uniform,der Krieg
136,0.29,jev-1.13.0,677,0.33,other,,uniform,jdn. (Akk) führen
137,0.61,jev-1.13.0,678,0.36,frame,,uniform,die Information
138,0.75,jev-1.13.0,692,0.36,frame,,uniform,etw. (Akk) befürchten
139,0.81,jev-1.13.0,649,0.34,frame,,uniform,der Künstler
140,0.29,jev-1.13.0,666,0.35,frame,,uniform,mit etw. aufhören
141,0.65,jev-1.13.0,680,0.36,frame,,uniform,etw./jdn. (Akk) haben
142,0.56,jev-1.13.0,663,0.29,frame,,uniform,der Tod
143,0.93,jev-1.13.0,673,0.29,frame,,uniform,die Entscheidung
144,0.07,jev-1.13.0,665,0.36,other,modal,uniform,etw. (Akk) können
145,0.76,jev-1.13.0,677,0.27,frame,,uniform,jdn. (Akk) zu etw. einladen
146,0.91,jev-1.13.0,667,0.36,frame,,uniform,etw. (Akk) benutzen
147,0.91,jev-1.13.0,690,0.26,frame,,uniform,etw. (Akk) erzeugen
148,0.91,jev-1.13.0,681,0.26,frame,,uniform,der Ausdruck
149,0.84,jev-1.13.0,652,0.3,frame,,uniform,die Mutter
150,0.89,jev-1.13.0,652,0.23,frame,,uniform,die Schule
151,0.71,jev-1.13.0,658,0.32,frame,,uniform,die Frage
152,0.22,jev-1.13.0,651,0.26,construction,,uniform,der Fall
153,0.56,jev-1.13.0,660,0.24,other,,uniform,nach etw. klingen
154,0.83,jev-1.13.0,677,0.24,frame,,uniform,etw./jdn. (Akk) haben
155,0.92,jev-1.13.0,673,0.25,frame,,uniform,etw. (Akk) verbreiten
156,0.22,jev-1.13.0,672,0.27,construction,,uniform,"all, alle"
157,0.16,jev-1.13.0,661,0.27,other,modal,uniform,etw. (Akk) wollen
158,0.88,jev-1.13.0,661,0.25,frame,,uniform,die Erde
159,0.78,jev-1.13.0,649,0.26,frame,,uniform,das Kind
160,0.68,jev-1.13.0,685,0.27,frame,,uniform,der Hersteller
161,0.81,jev-1.13.0,656,0.29,frame,,uniform,"vorne, vorn"
162,0.59,jev-1.13.0,670,0.34,frame,,uniform,etw. (Akk) lernen
163,0.1,jev-1.13.0,660,0.29,other,,uniform,etw. (Akk) ändern
164,0.13,jev-1.13.0,662,0.28,other,modal,uniform,etw. (Akk) können
165,0.75,jev-1.13.0,666,0.28,frame,,uniform,die Sprache
166,0.56,jev-1.13.0,691,0.33,frame,,uniform,etw. (Akk) einnehmen
167,0.06,jev-1.13.0,661,0.29,other,aux,uniform,etw./jdn. (Akk) haben
168,0.77,jev-1.13.0,677,0.33,construction,,uniform,die Rücksicht
169,0.27,jev-1.13.0,681,0.36,other,,uniform,jdm. (Dat) etw. (Akk) bedeuten
170,0.68,jev-1.13.0,652,0.36,frame,,uniform,die Schwester
171,0.43,jev-1.13.0,665,0.33,construction,,uniform,etw. (Akk) machen
172,0.75,jev-1.13.0,662,0.36,frame,,uniform,etw. (Akk) verdienen
173,0.68,jev-1.13.0,660,0.36,frame,,uniform,etw. (Akk) wissen
174,0.82,jev-1.13.0,650,0.33,frame,,uniform,der Held
175,0.43,jev-1.13.0,670,0.36,other,,uniform,etw. (Akk) an jdn. zahlen
176,0.07,jev-1.13.0,664,0.37,other,aux,uniform,etw./jdn. (Akk) haben
177,0.7,jev-1.13.0,649,0.32,frame,,uniform,"all, alle"
178,0.65,jev-1.13.0,685,0.36,frame,,uniform,die Bank
179,0.31,jev-1.13.0,664,0.36,frame,,uniform,etw. (Akk) benutzen
180,0.62,jev-1.13.0,660,0.33,frame,,uniform,der Tag
181,0.16,jev-1.13.0,684,0.36,construction,,uniform,jdn. (Akk) führen
182,0.52,jev-1.13.0,681,0.39,frame,,uniform,jdm. (Dat) etw. (Akk) sagen
183,0.52,jev-1.13.0,666,0.28,other,modal,uniform,etw. (Akk) wollen
184,0.81,jev-1.13.0,651,0.25,frame,,uniform,die Mama
185,0.45,jev-1.13.0,706,0.23,other,,uniform,etw. (Akk) mit etw. kombinieren
186,0.24,jev-1.13.0,674,0.27,other,,uniform,jdm. (Dat) etw. (Akk) sichern
187,0.76,jev-1.13.0,678,0.23,frame,,uniform,ein paar
188,0.87,jev-1.13.0,689,0.28,frame,,uniform,etw. (Akk) für etw. ausgeben
189,0.85,jev-1.13.0,670,0.26,frame,,uniform,der Schutz
190,0.09,jev-1.13.0,665,0.27,other,,uniform,jdn. (Akk) beruhigen
191,0.74,jev-1.13.0,663,0.28,other,,uniform,etw./jdn. (Akk) lassen
192,0.81,jev-1.13.0,669,0.27,frame,,uniform,etw. (Akk) tun
193,0.3,jev-1.13.0,708,0.33,frame,,uniform,jdn./etw. (Akk) / sich (Dat) etw. (Akk) anschauen
194,0.69,jev-1.13.0,661,0.26,frame,,uniform,die Folge
195,0.89,jev-1.13.0,653,0.27,frame,,uniform,die Partie
196,0.1,jev-1.13.0,679,0.22,construction,es_gibt,uniform,jdm. (Dat) etw. (Akk) geben
197,0.28,jev-1.13.0,663,0.27,construction,,uniform,der Gott
198,0.93,jev-1.13.0,673,0.3,frame,,uniform,der Krieg
199,0.92,jev-1.13.0,669,0.29,frame,,uniform,die Sicherheit
200,0.07,jev-1.13.0,670,0.32,other,aux,uniform,etw./jdn. (Akk) haben
201,0.89,jev-1.13.0,674,0.35,frame,,uniform,das Auge
202,0.88,jev-1.13.0,681,0.28,frame,,uniform,etw. (Akk) organisieren
203,0.62,jev-1.13.0,668,0.25,frame,,uniform,etw./jdn. (Akk) kennen
204,0.82,jev-1.13.0,684,0.24,frame,,uniform,die Polizei
205,0.12,jev-1.13.0,694,0.3,other,aux,uniform,etw./jdn. (Akk) haben
206,0.27,jev-1.13.0,699,0.5,construction,,uniform,etw. (Akk) machen
207,0.81,jev-1.13.0,683,0.33,frame,,uniform,etw./jdn. (Akk) verändern
208,0.55,jev-1.13.0,686,0.36,frame,,uniform,das Ende
209,0.82,jev-1.13.0,676,0.25,frame,,uniform,die Insel
210,0.67,jev-1.13.0,673,0.31,frame,,uniform,etw./jdn. (Akk) finden
211,0.73,jev-1.13.0,680,0.32,frame,,uniform,das Thema
212,0.26,jev-1.13.0,674,0.33,frame,,uniform,"eben, ebend"
213,0.75,jev-1.13.0,651,0.36,construction,,uniform,der Dank
214,0.82,jev-1.13.0,684,0.36,frame,,uniform,etw. (Akk) benutzen
215,0.62,jev-1.13.0,674,0.33,frame,,uniform,der Bundestag
216,0.25,jev-1.13.0,697,0.36,other,,uniform,etw./jdn. (Akk) lassen
217,0.87,jev-1.13.0,680,0.35,frame,,uniform,das Militär
218,0.88,jev-1.13.0,660,0.33,frame,,uniform,der Nachbar
219,0.88,jev-1.13.0,671,0.36,frame,,uniform,jdm. (Dat) etw. (Akk) sagen
220,0.51,jev-1.13.0,652,0.36,frame,,uniform,der Tag
221,0.87,jev-1.13.0,674,0.26,frame,,uniform,der Job
222,0.64,jev-1.13.0,680,0.3,frame,,uniform,das Wort
223,0.88,jev-1.13.0,669,0.29,frame,,uniform,die Wohnung
224,0.07,jev-1.13.0,666,0.32,other,aux,uniform,etw./jdn. (Akk) haben
225,0.75,jev-1.13.0,653,0.25,frame,,uniform,der Mensch
226,0.05,jev-1.13.0,702,0.3,other,,uniform,jdm. (Dat) erscheinen
227,0.88,jev-1.13.0,666,0.28,frame,,uniform,die Handlung
228,0.86,jev-1.13.0,665,0.31,frame,,uniform,die Antwort
229,0.85,jev-1.13.0,677,0.32,frame,,uniform,der Student
230,0.86,jev-1.13.0,662,0.25,frame,,uniform,das Parlament
231,0.56,jev-1.13.0,653,0.34,frame,,uniform,der Herr
232,0.73,jev-1.13.0,657,0.25,frame,,uniform,"der Teil, das Teil"
233,0.55,jev-1.13.0,689,0.28,frame,,uniform,etw./jdn. (Akk) halten
234,0.68,jev-1.13.0,668,0.25,frame,,uniform,etw./jdn. (Akk) finden
235,0.92,jev-1.13.0,670,0.32,frame,,uniform,die Produktion
236,0.74,jev-1.13.0,679,0.26,frame,,uniform,jdn. (Akk) erschießen
237,0.84,jev-1.13.0,659,0.28,frame,,uniform,der Mund
238,0.65,jev-1.13.0,665,0.22,frame,,uniform,die Quelle
239,0.76,jev-1.13.0,699,0.29,frame,,uniform,etw./jdn. (Akk) erreichen
240,0.19,jev-1.13.0,683,0.24,construction,,uniform,"all, alle"
241,0.88,jev-1.13.0,685,0.27,frame,,uniform,jdn./etw. (Akk) wählen
242,0.55,jev-1.13.0,658,0.28,other,,uniform,jdm. (Dat) gehören
243,0.51,jev-1.13.0,684,0.27,construction,,uniform,etw. (Akk) spielen
244,0.23,jev-1.13.0,662,0.41,construction,,uniform,etw. (Akk) tun
245,0.85,jev-1.13.0,672,0.3,frame,,uniform,das Geschäft
246,0.87,jev-1.13.0,671,0.33,frame,,uniform,der Bundestag
247,0.75,jev-1.13.0,661,0.23,frame,,uniform,"gern, gerne"
248,0.05,jev-1.13.0,684,0.35,other,aux,uniform,etw./jdn. (Akk) haben
249,0.89,jev-1.13.0,680,0.36,frame,,uniform,etw. (Akk) verwenden
250,0.37,jev-1.13.0,686,0.33,other,,uniform,mit jdm. / über etw./jdn. sprechen
251,0.28,jev-1.13.0,684,0.38,frame,,uniform,jdm. (Dat) etw. (Akk) schreiben
252,0.16,jev-1.13.0,686,0.34,other,,uniform,jdm. (Dat) etw. (Akk) bedeuten
253,0.54,jev-1.13.0,694,0.33,construction,,uniform,etw. (Akk) einschlagen
254,0.62,jev-1.13.0,652,0.36,frame,,uniform,der Herr
255,0.78,jev-1.13.0,678,0.36,frame,,uniform,der Hafen
256,0.71,jev-1.13.0,688,0.33,frame,,uniform,das Bild
257,0.11,jev-1.13.0,666,0.36,other,aux,uniform,etw./jdn. (Akk) haben
258,0.23,jev-1.13.0,670,0.36,other,,uniform,etw./jdn. (Akk) haben
259,0.92,jev-1.13.0,665,0.33,frame,,uniform,das Gefühl
260,0.77,jev-1.13.0,664,0.36,frame,,uniform,der Staat
261,0.78,jev-1.13.0,658,0.36,frame,,uniform,etw. (Akk) meinen
262,0.76,jev-1.13.0,652,0.29,frame,,uniform,die Mama
263,0.82,jev-1.13.0,657,0.28,frame,,uniform,die Frucht
264,0.72,jev-1.13.0,683,0.24,frame,,uniform,etw. (Akk) verarbeiten
265,0.89,jev-1.13.0,682,0.28,frame,,uniform,mit jdm. / über etw./jdn. sprechen
266,0.36,jev-1.13.0,661,0.28,other,aux,uniform,etw./jdn. (Akk) haben
267,0.58,jev-1.13.0,701,0.24,frame,,uniform,jdm. (Dat) etw. (Akk) / etw. (Akk) abziehen
268,0.58,jev-1.13.0,677,0.27,frame,,uniform,etw. (Akk) machen
269,0.87,jev-1.13.0,664,0.33,frame,,uniform,die Frage
270,0.53,jev-1.13.0,653,0.23,frame,,uniform,die Million
271,0.57,jev-1.13.0,676,0.24,frame,,uniform,das Thema
272,0.6,jev-1.13.0,667,0.28,other,,uniform,jdm. (Dat) etw. (Akk) reichen
273,0.32,jev-1.13.0,657,0.23,other,modal,uniform,etw. (Akk) wollen
274,0.75,jev-1.13.0,670,0.25,frame,,uniform,die Leute
275,0.82,jev-1.13.0,657,0.25,frame,,uniform,die Bewertung
276,0.06,jev-1.13.0,669,0.23,other,modal,uniform,etw. (Akk) können
277,0.42,jev-1.13.0,672,0.32,frame,,uniform,die Geschichte
278,0.16,jev-1.13.0,678,0.26,construction,es_gibt,uniform,jdm. (Dat) etw. (Akk) geben
279,0.07,jev-1.13.0,657,0.31,other,modal,uniform,etw. (Akk) können
280,0.07,jev-1.13.0,662,0.26,other,,uniform,von etw. ausgehen
281,0.65,jev-1.13.0,680,0.31,frame,,uniform,jdn./etw. (Akk) kontrollieren
282,0.24,jev-1.13.0,663,0.25,other,,uniform,etw./jdn. (Akk) lassen
283,0.66,jev-1.13.0,692,0.25,frame,,uniform,auf jdn./etw. (Akk) zutreffen
284,0.74,jev-1.13.0,669,0.29,frame,,uniform,etw./jdn. (Akk) finden
285,0.82,jev-1.13.0,669,0.31,frame,,uniform,die Datei
286,0.78,jev-1.13.0,656,0.25,construction,,uniform,die Straße
287,0.54,jev-1.13.0,654,0.4,frame,,uniform,der Freund
288,0.08,jev-1.13.0,662,0.25,other,modal,uniform,etw. (Akk) können
289,0.92,jev-1.13.0,685,0.5,frame,,uniform,der Euro
290,0.94,jev-1.13.0,652,0.3,frame,,uniform,das Krankenhaus
291,0.67,jev-1.13.0,660,0.39,frame,,uniform,"all, alle"
292,0.49,jev-1.13.0,673,0.36,frame,,uniform,etw. (Akk) gewinnen
293,0.68,jev-1.13.0,671,0.27,frame,,uniform,die Sekunde
294,0.66,jev-1.13.0,680,0.42,frame,,uniform,etw. (Akk) akzeptieren
295,0.6,jev-1.13.0,657,0.25,frame,,uniform,der Mensch
296,0.08,jev-1.13.0,671,0.33,other,modal,uniform,etw. (Akk) können
297,0.26,jev-1.13.0,657,0.3,frame,,uniform,"eben, ebend"
298,0.78,jev-1.13.0,686,0.33,frame,,uniform,die Unsicherheit
299,0.85,jev-1.13.0,661,0.36,frame,,uniform,der Soldat
300,0.5,jev-1.13.0,698,0.36,frame,,uniform,etw. (Akk) bei jdm. abgeben
301,0.13,jev-1.13.0,670,0.27,other,aux,panel,etw./jdn. (Akk) haben
302,0.05,jev-1.13.0,665,0.26,other,aux,panel,etw./jdn. (Akk) haben
303,0.21,jev-1.13.0,688,0.24,other,aux,panel,etw./jdn. (Akk) haben
304,0.09,jev-1.13.0,658,0.3,other,modal,panel,etw. (Akk) können
305,0.08,jev-1.13.0,682,0.26,other,modal,panel,etw. (Akk) können
306,0.1,jev-1.13.0,661,0.25,other,modal,panel,etw. (Akk) können
307,0.66,jev-1.13.0,668,0.3,construction,es_gibt,panel,jdm. (Dat) etw. (Akk) geben
308,0.21,jev-1.13.0,686,0.24,construction,es_gibt,panel,jdm. (Dat) etw. (Akk) geben
309,0.09,jev-1.13.0,691,0.33,construction,es_gibt,panel,jdm. (Dat) etw. (Akk) geben
310,0.24,jev-1.13.0,681,0.24,frame,,panel,jdm. (Dat) etw. (Akk) sagen
311,0.65,jev-1.13.0,687,0.27,frame,,panel,jdm. (Dat) etw. (Akk) sagen
312,0.78,jev-1.13.0,673,0.26,frame,,panel,jdm. (Dat) etw. (Akk) sagen
313,0.44,jev-1.13.0,668,0.33,other,,panel,etw. (Akk) machen
314,0.68,jev-1.13.0,669,0.3,frame,,panel,etw. (Akk) machen
315,0.42,jev-1.13.0,671,0.25,frame,,panel,etw. (Akk) machen
316,0.69,jev-1.13.0,675,0.26,frame,,panel,"all, alle"
317,0.55,jev-1.13.0,679,0.37,frame,,panel,"all, alle"
318,0.67,jev-1.13.0,657,0.25,frame,,panel,"all, alle"
319,0.15,jev-1.13.0,672,0.33,other,modal,panel,etw. (Akk) wollen
320,0.23,jev-1.13.0,679,0.3,other,modal,panel,etw. (Akk) wollen
321,0.12,jev-1.13.0,671,0.3,other,modal,panel,etw. (Akk) wollen
322,0.9,jev-1.13.0,659,0.25,frame,,panel,etw./jdn. (Akk) sehen
323,0.73,jev-1.13.0,687,0.25,frame,,panel,etw./jdn. (Akk) sehen
324,0.13,jev-1.13.0,668,0.27,frame,,panel,etw./jdn. (Akk) sehen
325,0.68,jev-1.13.0,671,0.26,frame,,panel,das Jahr
326,0.76,jev-1.13.0,696,0.4,frame,,panel,das Jahr
327,0.72,jev-1.13.0,704,0.33,frame,,panel,das Jahr
328,0.59,jev-1.13.0,689,0.37,frame,,panel,etw. (Akk) wissen
329,0.19,jev-1.13.0,682,0.36,frame,,panel,etw. (Akk) wissen
330,0.53,jev-1.13.0,656,0.33,frame,,panel,etw. (Akk) wissen
331,0.76,jev-1.13.0,669,0.36,frame,,panel,der Mensch
332,0.67,jev-1.13.0,659,0.36,frame,,panel,der Mensch
333,0.54,jev-1.13.0,673,0.33,frame,,panel,der Mensch
334,0.83,jev-1.13.0,668,0.36,frame,,panel,etw./jdn. (Akk) finden
335,0.85,jev-1.13.0,682,0.36,frame,,panel,etw./jdn. (Akk) finden
336,0.79,jev-1.13.0,690,0.33,other,,panel,etw./jdn. (Akk) finden
337,0.93,jev-1.13.0,650,0.36,frame,,panel,das Video
338,0.77,jev-1.13.0,669,0.35,frame,,panel,das Video
339,0.87,jev-1.13.0,653,0.33,frame,,panel,das Video
340,0.77,jev-1.13.0,661,0.36,frame,,panel,etw. (Akk) tun
341,0.71,jev-1.13.0,676,0.36,frame,,panel,etw. (Akk) tun
342,0.69,jev-1.13.0,677,0.25,frame,,panel,etw. (Akk) tun
343,0.24,jev-1.13.0,665,0.3,other,,panel,jdm. (Dat) stehen
344,0.4,jev-1.13.0,670,0.29,other,,panel,jdm. (Dat) stehen
345,0.06,jev-1.13.0,679,0.26,other,,panel,jdm. (Dat) stehen
346,0.3,jev-1.13.0,680,0.36,frame,,panel,mit jdm. / über etw./jdn. sprechen
