sent,build,surface,initial,tag,st_xpos,md,md_repaired,st,acc,att_md_repaired,att_st,text
28,subtitle,dir,0,PPER,PPER,dir,dir,du,dir,1,1,"Stell dir vor, eine Maus würde durch deinen Mund in dich hineinkriechen und deine Innereien, Knochen und dein Fettgewebe als Mäusefabrik benutzen."
28,subtitle,dich,0,PRF,PPER,dich,dich,du,du,1,1,"Stell dir vor, eine Maus würde durch deinen Mund in dich hineinkriechen und deine Innereien, Knochen und dein Fettgewebe als Mäusefabrik benutzen."
29,subtitle,uns,0,PPER,PPER,uns,uns,wir,wir,1,1,Lass uns tiefer in die Sache einsteigen.
30,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,Ich saß doch gerade deswegen im Knast.
31,subtitle,einführen,0,VVINF,VVINF,einführen,einführen,einfahren,einfahren,1,1,Sachsen will solche Beschränkungen jetzt auch ab Montagnacht 0:00 Uhr einführen.
34,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,"Das Mutterkreuz, im Volksmund auch Karnickelorden genannt, soll den Einsatz der Mutter von Leib und Leben bei der Geburt ehren."
34,subtitle,Karnickelorden,0,NN,NN,Karnickelorde,karnickelorde,Karnickelorden,Karnickelord,0,1,"Das Mutterkreuz, im Volksmund auch Karnickelorden genannt, soll den Einsatz der Mutter von Leib und Leben bei der Geburt ehren."
36,subtitle,am,0,APPRART,ART,an,an,am,am,1,1,Risiko Nummer zwei: Nur durch Glück entgeht der sowjetischen Aufklärung am selben Tag ein routinemäßiger US-Raketenabschuss.
39,subtitle,Aufständische,0,NN,NN,Aufständische,aufständische,Aufständischer,Aufständischer,1,1,"Der Name dieser Miliz war ""Dschandschawid"". 2003 hat Diktator al-Baschir sie gegen Aufständische in Darfur eingesetzt."
40,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Hier oben auf dem I kommt ihr zum Kanal ""MrWissen2go Geschichte""."
40,subtitle,zum,0,APPRART,ART,zu,zu,zum,zum,1,1,"Hier oben auf dem I kommt ihr zum Kanal ""MrWissen2go Geschichte""."
41,subtitle,gelitten,0,VVPP,VVPP,gelitten,gelitten,leiden,leiden,1,1,"Sie wissen, ich hatte das nicht und sie sagen, ich hätte immer darunter gelitten."
42,subtitle,’s,0,ADV,PPER,’s,’s,'s,'s,0,0,"Ihr seht: Hier geht’s darum, dass man eine Person über etwas informiert, was diese Person in dem Moment nicht weiß."
45,subtitle,dich,0,PPER,PPER,dich,dich,du,du,1,1,Ist Tanzen für dich auch verbunden mit dem Thema Partnerschaft?
46,subtitle,dich,0,PPER,PPER,dich,dich,du,du,1,1,Wie du eine erfüllende Karriere für dich finden könntest. (Dynamische Musik) Für die meisten Menschen ist das der größte Teil des Lebens.
46,subtitle,meisten,0,PIAT,PIAT,meister,meister,meist,meist,1,1,Wie du eine erfüllende Karriere für dich finden könntest. (Dynamische Musik) Für die meisten Menschen ist das der größte Teil des Lebens.
48,subtitle,viele,0,PIAT,PIAT,vieler,vieler,viel,viel,1,1,So viele Gäste werde ich nicht empfangen.
49,subtitle,dich,0,PPER,PPER,dich,dich,du,du,1,1,"Na komm, Ari, hab dich nicht so! Hey, was machst du da? Runter von meiner Liege!"
49,subtitle,was,0,PWS,PWS,wer,wer,was,was,1,1,"Na komm, Ari, hab dich nicht so! Hey, was machst du da? Runter von meiner Liege!"
51,subtitle,schicken,0,ADJA,ADJA,schick,schick,schicken,schicken,1,1,"Was ist nicht in schicken Schaufenster zu sehen, gehört aber trotzdem zur Wahrheit dazu?"
51,subtitle,zur,0,APPRART,ART,zu,zu,zur,zu,1,1,"Was ist nicht in schicken Schaufenster zu sehen, gehört aber trotzdem zur Wahrheit dazu?"
52,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Es ist sehr wichtig, dass ich mit ihr spreche."
53,subtitle,wenige,0,PIAT,PIAT,weniger,weniger,wenig,wenig,1,1,"Wenn etwa wenige Milliardäre noch reicher werden, verzerrt das das arithmetische Mittel nach oben, der Median bleibt aber gleich."
54,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,Weil man auf der anderen Seite seine Kollegen nicht im Stich lassen wollte.
56,subtitle,Beim,1,APPRART,ART,bei,bei,beim,ber,1,1,Beim nicht-zertifizierten Anbieter sieht es anders aus.
57,subtitle,Am,1,PTKA,APPR,an,an,Am,Am,1,1,"Am meisten ist momentan Lars aktiv, den alten Freunden der Sonne noch bekannt als ""Lars und die Welt""."
57,subtitle,meisten,0,PIS,PIS,meister,meister,meist,meist,1,1,"Am meisten ist momentan Lars aktiv, den alten Freunden der Sonne noch bekannt als ""Lars und die Welt""."
57,subtitle,bekannt,0,ADJD,ADJD,bekannt,bekannt,bekennen,bekennen,1,1,"Am meisten ist momentan Lars aktiv, den alten Freunden der Sonne noch bekannt als ""Lars und die Welt""."
60,subtitle,Abflachen,0,NN,NN,Abflachen,abflachen,Abflache,Abflach,1,1,Denn Abflachen alleine würde zu lange dauern.
62,subtitle,was,0,PWAT,PIS,wer,wer,was,was,1,1,"Mama, ich hab noch was Wichtiges zu erledigen, ich geh jetzt!"
62,subtitle,Wichtiges,0,NN,NN,Wichtig,wichtig,Wichtige,Wichtige,1,1,"Mama, ich hab noch was Wichtiges zu erledigen, ich geh jetzt!"
63,subtitle,am,0,APPRART,ART,an,an,am,am,1,1,Ich muss nur am Wochenende weg.
65,subtitle,zur,0,APPRART,APPR,zu,zu,zur,zu,1,1,"Je länger du hier unten bist, desto schwächer Ihre Verbindung zur Quelle wird."
66,subtitle,vom,0,APPRART,ART,von,von,vom,vom,1,1,"Ich spreche nicht vom Filet, ich spreche von den zwei Hühnern."
66,subtitle,Hühnern,0,NN,NN,Hühner,hühner,Huhn,Huhn,1,1,"Ich spreche nicht vom Filet, ich spreche von den zwei Hühnern."
67,subtitle,sparsamer,0,ADJD,ADJD,sparsamer,sparsamer,sparsam,sparsam,1,1,"Aus der Frage nach dem Kleid schließt sie: Du findest also, ich gebe zu viel Geld für Klamotten aus und sollte sparsamer sein."
70,subtitle,all,0,PIAT,PIS,all,all,alle,alle,1,1,Sie sind eng verbunden mit all den anderen.
71,subtitle,mich,0,PPER,PPER,mich,mich,ich,ich,1,1,Yara soll mich in 30 Minuten anrufen.
72,subtitle,ihn,0,PPER,PPER,ihn,ihn,er,er,1,1,"Hast ihn so lange beschimpft, bis er sich müde geprügelt hat."
78,subtitle,lieber,0,ADV,ADV,lieber,lieber,lieb,lieb,1,1,"Ja, vielleicht ja vielleicht dann lieber bei Fastbinder, da waren die Bücher glaube ich besser."
79,subtitle,frag,0,VVFIN,VVFIN,frag,frag,fragen,fragen,1,1,"Ich frag: „Wo geht's zum Bahnhof?“, sie sagt: „Je ne sais pas.“ Ich sag: „Äh, dir auch 'n schönen Tag!“ Was redet die?"
79,subtitle,geht's,0,VVFIN,VVFIN,geht's,gehen,gehe'en,geht's,1,0,"Ich frag: „Wo geht's zum Bahnhof?“, sie sagt: „Je ne sais pas.“ Ich sag: „Äh, dir auch 'n schönen Tag!“ Was redet die?"
79,subtitle,zum,0,APPRART,ART,zu,zu,zum,zum,1,1,"Ich frag: „Wo geht's zum Bahnhof?“, sie sagt: „Je ne sais pas.“ Ich sag: „Äh, dir auch 'n schönen Tag!“ Was redet die?"
79,subtitle,dir,0,PPER,PPER,dir,dir,du,dir,1,1,"Ich frag: „Wo geht's zum Bahnhof?“, sie sagt: „Je ne sais pas.“ Ich sag: „Äh, dir auch 'n schönen Tag!“ Was redet die?"
80,subtitle,früher,0,ADJD,ADV,früh,früh,früher,früher,1,1,"Ist es heute schwieriger, das Abi zu machen als früher?"
83,subtitle,euch,0,PPER,PPER,euch,euch,ihr,ihr,1,1,Sarah wollte sich bei euch entschuldigen.
86,subtitle,dich,0,PPER,PPER,dich,dich,du,du,1,1,Dankbarkeitsübungen können dich also tatsächlich umprogrammieren.
87,subtitle,bitte,0,ADV,VVFIN,bitte,bitte,bitten,bitten,1,1,"Komm bitte zu mir, Sara."
87,subtitle,mir,0,PPER,PPER,mir,mir,ich,ich,1,1,"Komm bitte zu mir, Sara."
90,subtitle,euren,0,PPOSAT,ADJA,eur,eur,euer,euer,1,1,"""Erkennt das Ergebnis in euren Staaten nicht an"", könnte er auftragen."
94,subtitle,am,0,APPRART,ART,an,an,am,am,1,1,Es gab ein wichtiges Meeting am Morgen.
96,subtitle,engagiert,0,VVPP,VVPP,engagieren,engagieren,engagiert,engagiert,1,1,"Sie sind in Vereinen engagiert, machen Politik."
98,subtitle,Danke,1,NN,PTKANT,Danke,danke,Dank,Dank,1,1,"Danke, dass ich so schnell einen Termin bekommen habe."
101,subtitle,euch,0,PPER,PPER,euch,euch,ihr,ihr,1,1,Ihr stellt euch nicht so an. Rein damit euch!
101,subtitle,euch,0,PPER,PPER,euch,euch,ihr,ihr,1,1,Ihr stellt euch nicht so an. Rein damit euch!
103,subtitle,am,0,APPRART,APPR,an,an,am,am,1,1,"Das liegt nicht nur am Einsatz von Maschinen, sondern vor allem an der verbesserten Ernährung der Pflanzen."
103,subtitle,verbesserten,0,ADJA,ADJA,verbessert,verbessert,verbessern,verbessern,1,1,"Das liegt nicht nur am Einsatz von Maschinen, sondern vor allem an der verbesserten Ernährung der Pflanzen."
107,subtitle,ins,0,APPRART,ART,in,in,ecser,ins,1,0,"Hier bringen die Grünen ein, wie sie es nennen, ""Zukunftsinvestitionsprogramm Bildung"" ins Spiel."
108,subtitle,Fettzellen,0,NN,NN,Fettzellen,fettzellen,Fettzelle,Fettzelle,1,1,Also noch mal: Fett lagert in unseren Fettzellen.
113,subtitle,am,0,APPRART,APPR,an,an,am,am,1,1,"Dann sag, am Anfang fand ich es, inzwischen, zum Beispiel, am Anfang fand ich die Mülltrennung verwirrend."
113,subtitle,zum,0,APPRART,ART,zu,zu,zum,zum,1,1,"Dann sag, am Anfang fand ich es, inzwischen, zum Beispiel, am Anfang fand ich die Mülltrennung verwirrend."
113,subtitle,am,0,APPRART,APPR,an,an,am,am,1,1,"Dann sag, am Anfang fand ich es, inzwischen, zum Beispiel, am Anfang fand ich die Mülltrennung verwirrend."
114,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,"Und deswegen wissen wir im Moment nicht, was kommen wird."
115,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,Wir geben ihr nur ein leichtes Schmerzmittel.
122,subtitle,Dass,1,KOUS,KOUS,dass,dass,daß,daß,1,1,Dass aus dem einen Status ein andere werden würde.
124,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Wenn ihr jetzt verstanden habt, wo im Deutschen das Verb steht, dann habt ihr Gold gewonnen in der Kategorie „Deutsche Grammatik“!"
124,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,"Wenn ihr jetzt verstanden habt, wo im Deutschen das Verb steht, dann habt ihr Gold gewonnen in der Kategorie „Deutsche Grammatik“!"
124,subtitle,Deutschen,0,NN,NN,deutsche,deutsche,deutsch,Deutsche,1,1,"Wenn ihr jetzt verstanden habt, wo im Deutschen das Verb steht, dann habt ihr Gold gewonnen in der Kategorie „Deutsche Grammatik“!"
125,subtitle,Verrückte,0,ADJA,ADJA,verrückt,verrückt,Verrückte,Verrückte,1,1,"Ihr könnt gerne in mein Buch schauen, das heißt ""Verrückte Geschichte""."
127,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Wie ihr eventuell im Hintergrund erkennen könnt, liebe ich es, Bücher zu lesen."
127,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,"Wie ihr eventuell im Hintergrund erkennen könnt, liebe ich es, Bücher zu lesen."
128,subtitle,Schauen,1,VVFIN,VVFIN,schauen,schauen,Schau,Schau,1,1,"Schauen wir uns noch ein letztes Beispiel an, wie es richtig geht."
128,subtitle,uns,0,PRF,PRF,sich,sich,wir,wir,1,1,"Schauen wir uns noch ein letztes Beispiel an, wie es richtig geht."
128,subtitle,letztes,0,ADJA,ADJA,letzter,letzter,letzt,letzt,1,1,"Schauen wir uns noch ein letztes Beispiel an, wie es richtig geht."
130,subtitle,drücktest,0,VVFIN,VVFIN,drückteen,drücktest,drücken,drücken,1,1,"Gebrauchtest du den Konjunktiv häufiger, drücktest du dich nicht nur viel eloquenter aus."
130,subtitle,dich,0,PRF,PPER,dich,dich,du,du,1,1,"Gebrauchtest du den Konjunktiv häufiger, drücktest du dich nicht nur viel eloquenter aus."
132,subtitle,beim,0,APPRART,ART,bei,bei,beim,bei,1,1,"Klar, beim Verfassungsschutz gibt es ganz normale Beamte, Leute in der Verwaltung, im wissenschaftlichen Dienst, Leute, die Informationen auswerten."
132,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,"Klar, beim Verfassungsschutz gibt es ganz normale Beamte, Leute in der Verwaltung, im wissenschaftlichen Dienst, Leute, die Informationen auswerten."
137,subtitle,ins,0,APPRART,APPR,in,in,ins,ins,1,1,"Los Samuel, ab ins Wohnzimmer!"
139,subtitle,Dass,1,KOUS,KOUS,dass,dass,daß,daß,1,1,Dass es immer wieder Streit gab über den ganzen Zeitraum der Legislaturperiode hinweg.
140,subtitle,Einige,1,PIAT,PIAT,einiger,einiger,einige,einige,1,1,"Einige Experten gehen deshalb davon aus, dass das die Einnahmen auf längere Sicht wieder ausgleichen würde."
141,subtitle,zum,0,APPRART,APPR,zu,zu,zum,zum,1,1,Da habe ich gesagt: Dann geh doch zum Automaten.
142,subtitle,mich,0,PPER,PRF,mich,mich,ich,ich,1,1,"Denn nur, weil du dann sorglos bist, entsorgst du mich."
150,subtitle,Testzertifikaten,0,NN,NN,Testzertifikaten,testzertifikaten,Testzertifikat,Testzertifikat,1,1,"Natürlich muss man auch mit Dingen rechnen wie gefälschte Impfzertifikate, passiert ja jetzt auch schon bei Testzertifikaten."
152,subtitle,Weiß,0,NN,NN,weiße,weiße,Weiß,Weiß,1,1,Jetzt runter von meinem Weiß nicht.
156,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,"Insgesamt hört man im deutschen Sprachraum aber viel häufiger ""nutzen"" statt ""nützen""."
158,subtitle,mir,0,PPER,PPER,mir,mir,ich,ich,1,1,"Stopp mal, mir wird übel."
160,subtitle,euch,0,PRF,PPER,euch,euch,ihr,ihr,1,1,Ich bin Rieke und ich habe euch beim letzten Mal schon Redewendungen mit der Farbe blau vorgestellt.
160,subtitle,beim,0,APPRART,ART,bei,bei,beim,bei,1,1,Ich bin Rieke und ich habe euch beim letzten Mal schon Redewendungen mit der Farbe blau vorgestellt.
160,subtitle,letzten,0,ADJA,ADJA,letzter,letzter,letzt,letzt,1,1,Ich bin Rieke und ich habe euch beim letzten Mal schon Redewendungen mit der Farbe blau vorgestellt.
161,subtitle,zieht,0,VVFIN,VVFIN,ziehen,ziehen,zeihen,ziehen,1,1,Plötzlich zieht ein Mann seine abgesägte Schrotflinte unter seinem Mantel hervor und schießt dem schwarzen Bürgerrechtler direkt in die Brust.
164,subtitle,einige,0,PIAT,PIAT,einiger,einiger,einige,einige,1,1,Aber es sind einige Leute vor uns angekommen.
164,subtitle,uns,0,PPER,PPER,uns,uns,wir,wir,1,1,Aber es sind einige Leute vor uns angekommen.
165,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,"Und wenn so Rollen im Konflikt stehen, dann können Erwartungen kollidieren und wenn das passiert, dann vertraut man uns weniger."
165,subtitle,uns,0,PPER,PPER,uns,uns,wir,wir,1,1,"Und wenn so Rollen im Konflikt stehen, dann können Erwartungen kollidieren und wenn das passiert, dann vertraut man uns weniger."
165,subtitle,weniger,0,ADV,PIS,weniger,weniger,wenig,weniger,1,1,"Und wenn so Rollen im Konflikt stehen, dann können Erwartungen kollidieren und wenn das passiert, dann vertraut man uns weniger."
166,subtitle,Gesagten,0,NN,NN,Gesagten,gesagten,Gesagt,Gesagt,1,1,"Gleichzeitig distanziert sie sich von dem Gesagten und stellt infrage, ob Markus wirklich Kopfweh hat oder nicht."
172,subtitle,versickert,0,VVPP,VVPP,versickern,versickert,versickern,versickern,1,1,"Da wurden teilweise Aufträge nicht offiziell ausgeschrieben, sondern einfach so unter der Hand vergeben, sehr undurchsichtig, Geld ist versickert."
173,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,"Und wenn du noch mehr über umgangssprachliche Ausdrücke im Deutschen erfahren möchtest, schau dir gern meine Playlist an. Ich verlink sie dir hier."
173,subtitle,dir,0,PPER,PPER,dir,dir,du,dir,1,1,"Und wenn du noch mehr über umgangssprachliche Ausdrücke im Deutschen erfahren möchtest, schau dir gern meine Playlist an. Ich verlink sie dir hier."
173,subtitle,verlink,0,VVFIN,VVFIN,verlink,verlink,verlinken,verlinken,1,1,"Und wenn du noch mehr über umgangssprachliche Ausdrücke im Deutschen erfahren möchtest, schau dir gern meine Playlist an. Ich verlink sie dir hier."
173,subtitle,dir,0,PPER,PPER,dir,dir,du,dir,1,1,"Und wenn du noch mehr über umgangssprachliche Ausdrücke im Deutschen erfahren möchtest, schau dir gern meine Playlist an. Ich verlink sie dir hier."
175,subtitle,mich,0,PPER,PPER,mich,mich,ich,ich,1,1,"Das ist unsere Amme, die mich zu den Deutschen geschickt hat."
176,subtitle,ihr,0,PPER,PPER,ihr,ihr,sie,sie,1,1,"Ich bin übrigens auch auf Instagram, ihr müsst mir folgen."
176,subtitle,mir,0,PPER,PPER,mir,mir,ich,ich,1,1,"Ich bin übrigens auch auf Instagram, ihr müsst mir folgen."
177,subtitle,letzte,0,ADJA,ADJA,letzter,letzter,letzt,letzt,1,1,Und als letzte Möglichkeit: Ist das der nächste Mohammed Atta?
177,subtitle,nächste,0,ADJA,ADJA,nächster,nächster,nah,nah,1,1,Und als letzte Möglichkeit: Ist das der nächste Mohammed Atta?
178,subtitle,tu,0,VVFIN,VVFIN,tu,tu,tun,tun,1,1,"Bitte tu das nicht, Maria."
180,subtitle,bestimmt,0,ADJD,ADV,bestimmen,bestimmen,bestimmt,bestimmt,1,1,"Dann sagen Sie jetzt, ich habe Dokumente, die Sie ganz bestimmt interessieren."
181,subtitle,zur,0,APPRART,ART,zu,zu,zur,zu,1,1,Wie lange noch bis zur Notaufnahme?
182,subtitle,dir,0,PPER,PPER,dir,dir,du,dir,1,1,"Was machst du da? Schaust du dir die Bilder von Jungs an? Nein, mach ich nicht."
183,subtitle,stilsicher,0,ADJD,ADJD,stilsich,stilsich,stilsicher,stilsicher,1,1,"Und generell muss ich echt sagen, so schrottig das alles aussieht, irgendwie ist es doch in sich auch stilsicher, oder?"
184,subtitle,Gutes,0,NN,NN,gute,gute,Gut,Gut,1,1,"Wir sammeln spenden, um dem Tierschutzverein etwas Gutes zu tun."
185,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,"Die Lebensmittelrationen sind so knapp bemessen, dass ein Jahr nach Einführung täglich mehr als 2000 Menschen im Warschauergto verhungern."
187,subtitle,viele,0,PIAT,PIAT,vieler,vieler,viel,viel,1,1,Inzwischen sind viele Akten von damals vernichtet.
187,subtitle,Akten,0,NN,NN,Akte,akte,Akt,Akt,1,1,Inzwischen sind viele Akten von damals vernichtet.
189,subtitle,vom,0,APPRART,ART,von,von,vom,vom,1,1,"In Bremen, Niedersachsen und Baden-Württemberg werden die Landesverbände der Jungen Alternativen inzwischen vom Verfassungsschutz beobachtet."
195,subtitle,uns,0,PRF,PRF,sich,sich,wir,wir,1,1,Aber der Iran sagt trotzdem: Wir müssen uns hier verteidigen.
198,subtitle,1950er-Jahren,0,NN,NN,1950er-Jahren,1950er-jahren,1950er-Jahre,1950er-Jahre,1,1,"Schon in den 1950er-Jahren bekommen Fußballer sogenannte ""Kampffliegerschokolade""."
198,subtitle,sogenannte,0,ADJA,ADJA,sogenannter,sogenannter,sogenannt,sogenannt,1,1,"Schon in den 1950er-Jahren bekommen Fußballer sogenannte ""Kampffliegerschokolade""."
199,subtitle,vom,0,APPRART,ART,von,von,vom,vom,1,1,"Weil der Mensch die Erde so stark verändert hat, spricht die Wissenschaft vom Anthropozän."
200,subtitle,Scheitert,0,VVFIN,VVFIN,scheiteren,scheitert,scheitern,Scheitern,1,1,"Und deshalb sage ich: Scheitert der Euro, dann scheitert Europa."
205,subtitle,Im,1,APPRART,ART,in,in,im,im,1,1,Im New Yorker Stadtteil Manhattan blüht die Discolandschaft voller Glitzer und Glamour.
207,subtitle,mich,0,PPER,PPER,mich,mich,ich,ich,1,1,Das ist für mich nicht die gleiche erste Aquidistanz Da geht es nicht um dieselben demokratische Verhältnisse.
207,subtitle,erste,0,ADJA,ADJA,erster,erster,erst,erst,1,1,Das ist für mich nicht die gleiche erste Aquidistanz Da geht es nicht um dieselben demokratische Verhältnisse.
208,subtitle,dich,0,PPER,PPER,dich,dich,du,du,1,1,Ich bin wirklich stolz auf dich.
212,subtitle,weniger,0,ADV,PIS,weniger,weniger,wenig,wenig,1,1,Unternehmen müssen sparen und investieren weniger in teure Software.
214,subtitle,dich,0,PPER,PPER,dich,dich,du,du,1,1,Ohne dich hätte ich es nie geschafft.
216,subtitle,dir,0,PPER,PPER,dir,dir,du,dir,1,1,"Jetzt mach dir nicht in die Hose, Markus."
218,subtitle,beim,0,APPRART,ART,bei,bei,beim,bei,1,1,Er hat beim ersten Mal richtig Glück gehabt.
218,subtitle,ersten,0,ADJA,ADJA,erster,erster,erst,erst,1,1,Er hat beim ersten Mal richtig Glück gehabt.
219,subtitle,gefällt,0,VVFIN,VVFIN,gefällen,gefällt,gefallen,gefallen,1,1,Ich hoffe Nina gefällt mein Outfit.
220,subtitle,fünfte,0,ADJA,ADJA,fünfter,fünfter,fünft,fünft,1,1,"Zitat: (Er liest vor.) Ganz konkret heißt das: Jede fünfte Studentin, jeder fünfte Student ist nicht sicher, das eigene Studium erfolgreich beenden zu können."
220,subtitle,fünfte,0,ADJA,ADJA,fünfter,fünfter,fünft,fünft,1,1,"Zitat: (Er liest vor.) Ganz konkret heißt das: Jede fünfte Studentin, jeder fünfte Student ist nicht sicher, das eigene Studium erfolgreich beenden zu können."
221,subtitle,alle,0,PIAT,PIAT,aller,aller,alle,alle,1,1,Vielleicht erstreckt sich das Universum in alle Ewigkeit und nur das langweilige Zeug wiederholt sich.
222,subtitle,Rechten,0,NN,NN,rechte,rechte,Recht,Recht,1,1,"Wir klären Fragen, kontrollieren die Unterlagen, schauen nach dem Rechten."
223,subtitle,Stell,1,ADJD,VVFIN,stell,stell,stellen,stellen,1,1,"Stell dir vor, ein radioaktives Element zerfällt zufällig und verursacht in einem Säugetier in der Nähe eine genetische Mutation."
223,subtitle,dir,0,PPER,PPER,dir,dir,du,dir,1,1,"Stell dir vor, ein radioaktives Element zerfällt zufällig und verursacht in einem Säugetier in der Nähe eine genetische Mutation."
226,subtitle,Mitreisenden,0,NN,NN,Mitreisender,mitreisender,Mitreisende,Mitreisende,1,1,Ein verspäteter Regionalzug und schon kennt man seine Mitreisenden.
228,subtitle,Schauen,1,VVFIN,VVFIN,schauen,schauen,Schau,Schau,1,1,"Schauen wir uns mal noch ein Beispiel an: Vor einiger Zeit mussten Handwerker in meine Wohnung kommen, weil ich ein Fenster nicht mehr schließen konnte."
228,subtitle,uns,0,PRF,PRF,sich,sich,wir,wir,1,1,"Schauen wir uns mal noch ein Beispiel an: Vor einiger Zeit mussten Handwerker in meine Wohnung kommen, weil ich ein Fenster nicht mehr schließen konnte."
228,subtitle,einiger,0,PIAT,PIAT,einiger,einiger,einige,einige,1,1,"Schauen wir uns mal noch ein Beispiel an: Vor einiger Zeit mussten Handwerker in meine Wohnung kommen, weil ich ein Fenster nicht mehr schließen konnte."
229,subtitle,Macht,1,NN,VVFIN,Macht,macht,machen,machen,1,1,"Macht anderen Mut, gebt Tipps."
230,subtitle,im,0,APPRART,ART,in,in,im,im,1,1,"Damit trägt die Niederlage im deutsch- deutschen Duell vielleicht sogar dazu bei, dass die westdeutsche Mannschaft beim Heimturnier 1974 am Ende den Weltmeistertitel holt."
230,subtitle,beim,0,APPRART,ART,bei,bei,beim,beim,1,1,"Damit trägt die Niederlage im deutsch- deutschen Duell vielleicht sogar dazu bei, dass die westdeutsche Mannschaft beim Heimturnier 1974 am Ende den Weltmeistertitel holt."
230,subtitle,am,0,APPRART,APPR,an,an,am,am,1,1,"Damit trägt die Niederlage im deutsch- deutschen Duell vielleicht sogar dazu bei, dass die westdeutsche Mannschaft beim Heimturnier 1974 am Ende den Weltmeistertitel holt."
231,subtitle,euch,0,PPER,PPER,euch,euch,ihr,ihr,1,1,Ich werde euch nichts tun.
232,subtitle,im,0,APPRART,ART,in,in,im,imen,1,1,"Hier im Beispiel: Ich rufe dich an, bevor ich zu dir komme."
232,subtitle,dich,0,PRF,PRF,dich,dich,du,du,1,1,"Hier im Beispiel: Ich rufe dich an, bevor ich zu dir komme."
232,subtitle,dir,0,PPER,PPER,dir,dir,du,dir,1,1,"Hier im Beispiel: Ich rufe dich an, bevor ich zu dir komme."
233,subtitle,Landen,0,NN,NN,Lande,lande,Land,Land,1,1,Acht Millionen Menschen leben um 1200 in deutschen Landen.
234,subtitle,ersten,0,ADJA,ADJA,erster,erster,erst,erst,1,1,Ende des ersten Jahrtausends und im 14. Jahrhundert beschädigen Erdbeben die Kirche wieder schwer.
