step,candidates,well_formed,chosen_score,best_score,chosen,best
37,179,73,1.0,1.0,Wir haben vor kurzem ein Kind mit nach Deutschland genommen.,Mein Mann und ich können leider keine Kinder bekommen.
38,191,68,1.0,1.0,Wir bringen Ihr Gepäck direkt zu Ihnen in das Hotel.,Also habe ich es eingepackt und zu Samuel gebracht.
39,236,46,1.0,1.0,"Ähh warten Sie kurz Frau Schneider, ich finde meine Hausaufgaben nicht.","Ja, vielleicht wartet er nur auf den richtigen Zeitpunkt."
40,127,65,1.0,1.0,Viele Menschen gehen in jedes Gespräch mit einem Hintergedanken.,Mein Opa war schon immer ein sehr wichtiger Mensch für mich.
41,189,52,1.0,1.0,"Was meinen Sie, wie sollte man seiner gedenken, Miss Kennedy?","Ich meine, du bist jetzt schon 80 Jahre alt."
42,206,102,1.0,1.0,"Wusstest du eigentlich, dass Klara auf unsere Schule wollte?",Aber wir müssen morgen früh in die Schule gehen.
43,190,95,1.0,1.0,"Wir waren uns nicht sicher, ob du hier bist.","Und ganz sicher unschädlich bist du nur, wenn du tot bist."
44,153,33,1.0,1.0,"Wir hatten am Anfang eine Ü50- Mannschaft, da hat er angefangen.","Wenn er anfängt, frech zu sein, ist Ilshat satt."
45,188,50,1.0,1.0,"Wir wollen ja nicht, dass andere es auch hören.","Denn manchmal hören wir einfach nicht, was wir falsch sagen."
46,114,52,1.0,1.0,"Ähm da hat, glaube ich, der Deutsche Anwaltverein einen Punkt.","Also Samuel, wie hast du so schnell Deutsch gelernt?"
47,187,54,1.0,1.0,"Wie Sie wissen, haben wir heute unsere Klassenarbeit geschrieben.","Wie Sie wissen, haben wir heute unsere Klassenarbeit geschrieben."
48,142,60,1.0,1.0,Stattdessen bahnt sich der Dübel selbst seinen Weg in die Rigipswand.,"Ja, deswegen bist du auch so selbst zu Hause."
49,217,68,1.0,1.0,Zur neuen Ausrüstung gehören 55 neue Panzer und 20 gepanzerte Lastwagen.,Ich habe gehört es soll dort richtig schön sein.
50,179,58,1.0,1.0,Wir wollen unbedingt ein Kind adoptieren und Eltern werden.,Ich werde jetzt zu meinen Eltern fahren und mit ihnen sprechen.
51,208,62,1.0,1.0,Wir werden Kansas New York in 15 Millisekunden oder weniger schaffen.,"Wenn die nicht geschaffen werden, wird es nicht passieren."
52,175,66,1.0,1.0,"Wir können nur hoffen, dass die Referenten uns kein Mist erzählen.","Ich hoffe, ihr habt schon angefangen, für die Klassenarbeit zu lernen."
53,174,54,1.0,1.0,"Wir werden versuchen, eine neue Schule für Lisa zu finden.","Am besten, ich gehe einfach ins Bett und versuche, zu schlafen."
54,125,53,1.0,1.0,Wir haben hier ja eine Aufforderung in einer Frage.,Wir haben hier ja eine Aufforderung in einer Frage.
55,220,46,1.0,1.0,"Wir sehen uns nicht oft, aber ich liebe meinen Opa.","Ich liebe euch auch, aber ihr seid nicht meine richtigen Eltern."
56,220,58,1.0,1.0,Über das wollte ich schon lange mal mit dir reden.,"Wir dürfen nicht wieder so lange warten, bis wir uns sehen."
57,150,51,1.0,1.0,Yaras ganze Familie hasst mich und sie fliegt von der Schule.,Jetzt verlass bitte mit deinem Automechaniker-Freund das Haus der Familie Ruan!
58,152,53,1.0,1.0,"Und ich zeige dir, wie du mit Variablen rechnest.","Komm mit, ich zeige dir, wie ich das gemacht habe!"
59,166,90,1.0,1.0,Wir machen folgendes: Ich werde dir eine Woche Zeit geben.,Der Karl hat seit zwei Wochen nicht mit mir geredet.
60,153,53,1.0,1.0,"„Willst du auch ein Bier, Christian?“ Oh, sehr gerne, Georg.","Wenn du gerne atmest, sind Narben auf der Lunge schlecht."
61,133,51,1.0,1.0,"Wie viel Geld hast du in deinem Sparschwein, Lisa?","Deshalb hast du es getan, Du hast es für Geld getan."
62,167,48,1.0,1.0,Zu deinen Eltern: Wo genau ist denn das Problem?,"Kommen Sie einfach zu mir, wenn Sie ein Problem haben."
63,151,58,1.0,1.0,Zu Hause gibt es genug Essen für euch alle.,"Genau, jemand wie du ist nicht mal zum Betteln gut genug!"
64,165,42,1.0,1.0,"Wir warten, bis uns jemand anruft, aber nichts, keine Scheiß-Informationen.","Ich habe jetzt den S-Bahn-Lokführer, der draußen steht, angerufen."
65,113,58,1.0,1.0,Warum lässt du dich nicht einmal im Leben gehen?,"Ich muss Lisa zeigen, dass ich noch am Leben bin."
66,176,27,1.0,1.0,Meine Mama hat es selbst gemacht nur für Sie.,Ich glaube Mama und Papa sind auch schon dort.
67,143,30,1.0,1.0,Was finden denn alle so toll an diesen Dingern?,"Ich meine, du siehst toll aus mit grauen Haaren."
68,152,45,1.0,1.0,"Wir können noch ein bisschen spielen, bevor du weggehst.","War hat nie was zum Spielen bekommen, nur diese Marker."
69,171,66,1.0,1.0,"Äh ja, ich habe einen Mann, der jeden Abend kommt.","Das wohnmt dich also, dass ich dir deinen Abend verdorben habe."
70,167,60,1.0,1.0,„Gott schaute auf sie und ehrte sie.“ Ist das nicht schön?,Hör auf durch die Denkweise eines Sünders zu schauen.
71,163,54,1.0,1.0,"Woher sollte der Verbrecher sonst wissen, wo ihr seid?",Sonst hätten wir noch zwei Legislaturperioden lang Reformstau gehabt.
72,182,46,1.0,1.0,Wir müssen vom reinen Wissen zum echten Können kommen.,"Schau doch mal rein, sonst muss ich mit ihm reden."
73,157,67,1.0,1.0,Zum Jugendamt gehen und andere Eltern für Samuel suchen.,Ich werde nach einer neuen Schule für dich suchen.
74,146,42,1.0,1.0,Über die Kriegsursachen und den Nationalsozialismus verlor er kein Wort.,"Sie müssen sie bestrafen, sonst verliert unsere Gu-Firma das Gesicht!"
75,144,28,1.0,1.0,Und niemand weiß genau: Wer hat was zu sagen?,"Aber wird das Essen nicht weggeworfen, wenn niemand es haben möchte?"
76,133,68,1.0,1.0,"Wenn Deutschland eins kann, dann ist es, Sachen zu regulieren.",Als nächstes werde ich die anderen Sachen aus ihrem Spind klauen.
77,120,63,1.0,1.0,Über Shadowing habe ich schon in einem anderen Video gesprochen.,Auf seinem Laptop war das Video von einer Überwachungskamera.
78,129,52,1.0,1.0,"Wie schaffst du es, dich so fit zu halten, Opa?",Ich will Ziegen halten und jetzt habe ich eine neue Chance.
79,146,51,1.0,1.0,Wir sind erst mal zwei Stunden mit der Limousine gefahren.,Nach sieben Stunden bergauf kommt endlich das Karwendelhaus in Sicht.
80,121,54,1.0,1.0,"Und wie man sieht, ist das nicht der Fall!",In diesem Fall haben wir eine Fuhre Därme aus China.
81,134,22,1.0,1.0,"Vielen Dank, dass sie so schnell Zeit für uns gefunden haben.",Vielen Dank Laura und ich muss jetzt auf Arbeit.
82,150,56,1.0,1.0,Wir haben allein 100 000 neue Asylanträge und Familiennachzug.,"Ja, aber am liebsten bin ich doch alleine mit dir."
83,200,81,1.0,1.0,Wir können uns auf ein ruhiges und normales Schuljahr freuen.,Ich würde mich über ein paar Tage Sonne freuen.
84,140,60,1.0,1.0,"Und nun wir Oh, ich weiß, wer ihr seid.","Nun ja, das könntest du Schreiben Sie Ihrem Kongressabgeordneten."
85,110,45,1.0,1.0,"Tracy: Schon witzig, wie man Dinge dann doch wieder findet.","Und diese beiden Dinge werden bei Platon kurzgeschlossen, ähm bei Aristoteles."
86,117,38,1.0,1.0,"Wenn wir zusammen wohnen, dann sieht es ein wenig anders aus.","Es ist keine Frage von besser, nur von anders."
87,146,41,1.0,1.0,"Wow, jetzt ist sie schon 45 Minuten zu spät.","Und wenn ich meine 40 Minuten nicht geschafft habe, ist Schluss."
88,155,25,1.0,1.0,Unsere Nachbarin Frau Hölzel hat eine Tochter in deinem Alter.,"Dass man jemanden hat, der auch im Alter noch da ist."
89,144,56,1.0,1.0,"Wollen wir das nächste Mal draußen treffen, wenn es warm ist?","Einige Leute sagen, dass das 39 Mal passiert ist."
90,142,81,1.0,1.0,"Würde man den Mondfisch im Tiererfinderkurs vorstellen, wären alle richtig sauer.","Hier gibt es Probleme, die wir uns gar nicht vorstellen können."
91,154,50,1.0,1.0,"Waco, hol aus dem Panzer Messbecher und ein Seil.",Können wir noch einen Eilrahm holen auf dem Rückweg?
92,151,25,1.0,1.0,"Wir sind heute hier mit, äh, wie war dein Name nochmal?",Hier muss ich dem Ganzen noch einen Namen geben.
93,135,59,1.0,1.0,Zu Lauras Mutter habe ich ein sehr gutes Vethältnis.,"Ja, liegt es daran, dass du keine Mutter hattest?"
94,96,38,1.0,1.0,"Wer von euch hat schon mal das Wort ""labern"" gehört?","Wenn ein Wort sehr wichtig ist, schaue ich es nach."
95,143,36,1.0,1.0,"Wenn du weiter mit ihm streitest, wird alles nur noch schlimmer.","Ich meine, viel schlimmer als jetzt, kann es nicht mehr werden."
96,151,36,1.0,1.0,"Wenn ich den Tigern Essen gebe, mögen sie mich.","Nicht so oft, aber ich mag die Atmosphäre hier."
97,119,35,1.0,1.0,"Wir müssen hier irgendwie raus, so schnell wie nur möglich.","Wenn es ihr irgendwie schlecht geht, bring sie sofort ins Krankenhaus."
98,127,34,1.0,1.0,Weil ich einen Jungen da drin hatte hat oder wie?,Das ist aber ein komischer Name für einen Jungen.
99,145,47,1.0,1.0,"Sie wollte doch nur erklären, warum ich heute spät dran bin.","Dinge, die wirklich passieren sind immer schwer zu erklären."
100,122,47,1.0,1.0,"Tja, wir sind wohl zum ersten Mal in der Überzahl.","Tja, dann bin ich wohl nicht mehr von nöd."
101,131,51,1.0,1.0,"Wenn du da bist, fühle ich mich einfach besser.","Ich fühle mich als Anette, weil du mich als Anette siehst."
102,137,37,1.0,1.0,"Und vergesst nicht, diesem Video einen Daumen nach oben zu geben.","Ja, so vergessen wir den Stress mit unseren Eltern."
103,124,41,1.0,1.0,Yongzhi will sich mit uns zusammentun und es kaufen.,"Dann haben wir genug Zeit, um noch etwas Popcorn zu kaufen."
104,131,48,1.0,1.0,Wir werden oft grillen und viele leckere Cocktails trinken.,"Ja, das passiert manchmal, wenn ich zu viel trinke."
105,93,49,1.0,1.0,"Sie fährt mit der U-Bahn zur Arbeit, zum World Trade Center.","Er war krank, doch er ist zur Arbeit gegangen."
106,88,33,1.0,1.0,"Wir wollten draußen essen, aber es begann zu regnen.",Ich finde einen großen Baum und beginne ein Kanu zu machen.
107,128,41,1.0,1.0,"Zweitens, um 19 Uhr bist du zu Hause zum Abendessen.",Es ist schon 07:00 Uhr Sie muss in die Schule.
108,94,52,1.0,1.0,"Worüber die Welt staunt, darüber sollte ich nicht staunen.","In einer Welt, die tendenziell immer mehr Ablenkungen schafft."
109,123,34,1.0,1.0,Und wer war dieser Typ der bei ihr war?,"Seitdem der Typ von Pizza geredet hat, hab ich echt Hunger."
110,124,39,1.0,1.0,"Wir haben auch keine Ahnung, warum ihr überhaupt hier seid.",Außerdem weißt du doch überhaupt nichts über diesen Burschen.
111,106,42,1.0,1.0,"„Bist du nicht auch ein Charismatiker, Pastor?“ Charismatisch bedeutet was?","Also sporadisch bedeutet, dass man ab und zu etwas tut."
112,120,39,1.0,1.0,Zwischen 15 und 45 Mio.Menschen sterben bis 1962 an den Folgen.,"Ich fragte mich, warum werden die Menschen krank und sterben?"
113,103,35,1.0,1.0,Willst du etwa Iss doch alle diese Klamotten auf.,Hast du etwa noch nicht mit dem Lernen angefangen?
114,114,47,1.0,1.0,„Die nächste Frage hat Anne Höhn vom ZDF gestellt.,Stellt euch mal auf den Balkon und trinkt einen Schnaps.
115,146,57,1.0,1.0,Vor ein paar Tagen hat mich meine beste Freundin Nina angerufen.,"Ich glaube, sie ist meine Freundin und ich bin ihr Freund."
116,126,31,1.0,1.0,"Viel Geld verdienen und Fame sein, so wie Sahide.",Ich meine du wirst 3 Jahre lang kein Geld verdienen.
117,130,19,1.0,1.0,Hoffentlich hat der Weihnachtsmann genug Platz auf seinem Schlitten.,Hoffentlich benimmt er sich beim Flug und kotzt nicht alles voll.
118,109,33,1.0,1.0,"Wie wahrscheinlich ist es, dass wir unsere Errettung unterschätzt haben?",Er hat wahrscheinlich auch zum ersten Mal seit langem Urlaub.
119,158,31,1.0,1.0,"Wow, wenn Herr Kunze das sagt, meint er es ernst.","Herr und Frau Peters, ich muss ernst mit Ihnen reden."
120,126,46,1.0,1.0,Wir werden es Dein Auto von meinem Papa ist teuer.,"Das ist auch bekannt, dass da auch schon Autos gebrannt haben."
121,129,47,1.0,1.0,"Wir müssen umdenken und lernen, andere Ideen zu tolerieren.","Wir müssen umdenken und lernen, andere Ideen zu tolerieren."
122,117,43,1.0,1.0,"Wisst ihr schon, ob es ein Junge oder Mädchen wird?","Ja, das dachte ich auch, aber es ist ein Mädchen."
123,120,40,1.0,1.0,"Warum Arzt werden, wenn man doch der nächste Bachelor sein kann?","Ich hoffe, dass er Arzt gleich zu mir kommt."
124,110,25,1.0,1.0,"Wir wissen, dass Jesus für unsere Heilung bezahlt hat, oder?","Wir wissen, dass Jesus für unsere Heilung bezahlt hat, oder?"
125,89,49,1.0,1.0,"Witzig, damals nach dem Abendessen habe ich an dich gedacht.","Schmeckt genau wie damals, du bist der Beste Mustafa!"
126,132,39,1.0,1.0,Wir haben alle getanzt und so viel Spaß gehabt.,Ich habe dich lieb und viel Spaß mit deinem Kormoran.
127,82,29,1.0,1.0,"werden Eigenes legcht eure und gehen euch, dann werdet ihr verschorten.",Das ganze Dashboard kann ich an meine eigenen Bedürfnisse.
128,123,23,1.0,1.0,"Tja, nur eines stimmt nicht an Ihrem Plan, Sergeant.","Du weißt nicht, was mit der alten Bande nicht mehr stimmt."
129,106,40,1.0,1.0,"Was passiert, wenn es halt nicht gut gelaufen ist?","Dein Baba weiß halt, was gut für Dich ist."
130,112,40,1.0,1.0,"Wir hatten keinen Plan, aber alles hat gut funktioniert.",Meine Bremse hat nicht richtig funktioniert und ich hatte einen Unfall.
131,134,34,1.0,1.0,Sind die Jungs nett zu dir oder war das eine Schnapsidee?,Sind die Jungs nett zu dir oder war das eine Schnapsidee?
132,117,31,1.0,1.0,Ansonsten sieht es schlecht für dich und deine Familie aus!,"Ansonsten schaffen meine Mutter und ich es nicht, alles zu bezahlen."
133,109,31,1.0,1.0,"Und der soll nicht viel schwerer sein, aber egal.","Egal, ich muss jetzt los, damit ich nicht zu spät komme."
134,68,18,1.0,1.0,"Wir in Deutschland lieben ja die Frage, wer ist schuld?","Ich weiß nicht, vielleicht ist meine Mutter daran schuld."
135,99,20,1.0,1.0,Nach dem Update hat die App wieder perfekt funktioniert.,Das Perfekt kennst du vielleicht auch als vollendete Gegenwart.
136,81,32,1.0,1.0,"Wir können es benutzen, um Herr Kunze zu helfen.",In diesen Fällen benutzen wir gern und nicht gerne.
137,125,27,1.0,1.0,Zwei Tropfen davon und Abdul schläft wie ein Baby.,"Du wagst es noch, von unserem Baby zu reden?"
138,103,50,1.0,1.0,"Wer weiß, ob er danach überhaupt einen Job findet.","Ich bin mir sicher, dass ich einen guten Job finden werde."
139,117,57,1.0,1.0,"Um ehrlich zu sein war es kein er, sondern eine sie.","Lass uns doch mal ehrlich sein, alles total falsch verstanden!"
140,67,31,1.0,1.0,"Zum Beispiel, wenn die Einberufung der Gesellschafterversammlung fehlerhaft ist.",Ihr alle solltet euch ein Beispiel an Klara und Jonas nehmen.
141,108,46,1.0,1.0,"Wir müssen entscheiden, wo Yara und Riton Flitterwochen machen.","Deshalb habe ich mich entschieden, mit der U-Bahn zu fahren."
142,130,44,1.0,1.0,"Ähm ja, ich freue mich ja so sie kennenzulernen.",Ich bleibe geduldig und ich freue mich über jeden kleinen Fortschritt.
143,139,40,1.0,1.0,"Über das Finanzielle musst du dir keine Sorgen machen, Mama.","Also, Sie brauchen sich da gar keine Sorgen machen."
144,122,36,1.0,1.0,Wir müssen uns umziehen und dann zur Party gehen.,Ich werd eine richtig krasse Party vor der Schule machen!
145,111,28,1.0,1.0,"Weißt du überhaupt, wie schwer es mein Bruder gestern hatte?",Dein Bruder und Deine Mutter Samuel und Mama sind hier?
146,120,30,1.0,1.0,"Wenn ihr uns rauskriegt, dann wird euch nichts passiert, versprochen.","Wenn ihr uns rauskriegt, dann wird euch nichts passiert, versprochen."
147,96,21,1.0,1.0,"Wow, das klingt gar nicht nach der alten Klara.","Ich weiß, klingt ein bisschen komisch, aber sei dein bester Freund."
148,102,37,1.0,1.0,"Weißt du, viele Menschen schauen nie in die Einstellungen ihres Handys.",Dein Handy hört ja gar nicht auf zu vibrieren.
149,119,47,1.0,1.0,"Und ich wünsche mir das auch für ihn, aber nicht dafür.","Und ich wünsche mir das auch für ihn, aber nicht dafür."
150,123,37,1.0,1.0,"Wären Sie dann nicht traurig, wenn wir Samuel mitnehmen?",Er nimmt oft sein Mittagessen von zu Hause mit.
151,68,28,1.0,1.0,Von dir habe ich noch keinen einzigen Kill gesehen.,Taylor V ist nicht die einzige auf dieser Welt.
152,77,39,1.0,1.0,Zwei Monate Psychiatrie und du bist reif für die Klapse.,Dort arbeitet er se Monate bei Jaggers Child Doro.
153,116,32,1.0,1.0,"Wir werden alles Mögliche tun, um Sarah zu retten.","Ich bin dabei, sie aus der Teenagerhölle zu retten."
154,68,40,1.0,1.0,Würden Sie in Ihrem Land vor so einer Minischranke halten?,Sie hoffen auf ein bisschen Frieden in einem anderen Land.
155,76,29,1.0,1.0,Stattdessen lese ich oder telefoniere kurz mit meiner Familie.,Genau zu lesen ist für die schnelle Worterkennung deshalb so wichtig.
156,88,37,1.0,1.0,"Wir wollen nur das tun, was eben vorgelebt wird.",Ich habe gerade eben 1000 x 1 Cent verdient.
157,87,42,1.0,1.0,Wir sind jetzt ein großer Mann in dieser Stadt.,Vielleicht kannst du mir mal ein bisschen die Stadt zeigen.
158,72,37,1.0,1.0,Wir geben uns Mühe und es soll bis zum Ende sein.,Am Ende der Kosten- und Leistungsrechnung steht dann das Betriebsergebnis.
159,111,34,1.0,1.0,Sechs Wochen später heiraten sie und bekommen eine Tochter.,Sechs Wochen später heiraten sie und bekommen eine Tochter.
160,85,35,1.0,1.0,Sie hat mir eine Geschichte erzählt und weiter nichts.,"Dies ist eine Geschichte darüber, wie ich geboren wurde."
161,87,34,1.0,1.0,Wir werden uns das Video noch ein paar mal anschauen.,"Ich schaue mir an, okay, wie sehen die aus?"
162,83,24,1.0,1.0,"Wenn jeder von uns 50 Euro bezahlt, haben wir das Geld.","Wenn jeder mir nur 1 Euro, 1 Euro geben würde."
163,117,58,1.0,1.0,Wie viele Chancen willst du dem Jungen denn geben?,Denn ich werde dir nicht die Chance dazu geben.
164,71,32,1.0,1.0,"Wir führen hier ein einfaches Leben, Gott zum Wohlgefallen.",Von Ueckermünde führt ein neuer Fernradweg bis zur Elbe.
165,92,42,1.0,1.0,"Wenn nicht, dann solltest du dir dieses unbedingt merken.","Hör zu, French, selbst Julius merkt, dass das nicht stimmt."
166,99,73,1.0,1.0,Wir hätten die Zeit lieber mit Lisa verbringen sollen.,Ab jetzt wirst du keine Zeit mehr mit den beiden verbringen.
167,91,28,1.0,1.0,"Zum Zwischenruf der AfD, „Migration“: Ich halte das für ziemlich erbärmlich.","Ja, aber Charlotte hat ein ziemlich tollen Busen, oder?"
168,105,35,1.0,1.0,Weil unsere Präsidentengattin die älteste Tochter der Familie Ruan ist.,"Das ist die Tochter der Familie Ruan, eine echte High-Society-Dame!"
169,91,41,1.0,1.0,Wir trocknen Obst und bereiten Materialien für das Schiff vor.,"Ich glaube, dass wir alle sehr gut vorbereitet sind."
170,74,29,1.0,1.0,Wir sind nicht gleich Ich werde es der Polizei sagen.,"Ja, ich musste es tun, als die Polizei kam."
171,84,24,1.0,1.0,Wir könnten dich auf eine viel bessere Schule schicken.,Könnte die Mafia Oswald nach Russland schicken und wieder rausholen?
172,72,29,1.0,1.0,Wie immer in der Geschichte war das Ende auch ein Anfang.,Ich habe gewusst von Anfang an hat immer gute gespür.
173,99,35,1.0,1.0,"Zur Wahrheit gehört noch, dass unsere Mitarbeitenden auch die Grundsicherung bekommen.","Papa, glaubst du, der Junge hat die Wahrheit gesagt?"
174,67,34,1.0,1.0,„Das ist ein Teil einer Hexenjagd auf queere Menschen!,Dann haben wir vielleicht schon genug Stoff für einen zweiten Teil.
175,114,31,1.0,1.0,"Wow, du hast wirklich alle eingeladen, die mir wichtig sind!","Vielen Dank, dass Sie mich zur Wohnungsbesichtigung eingeladen haben."
176,94,35,1.0,1.0,Zu mir gehört er und ich liebe ihn wie einen Sohn.,Zu mir gehört er und ich liebe ihn wie einen Sohn.
177,98,25,1.0,1.0,Vielleicht werden Sie dann auch mal ein guter Lehrer.,Den ersten Alleinflug habe ich gemacht nach 80 Flügen mit Lehrer.
178,67,44,1.0,1.0,"Wie ihr wisst, ist der Klimawandel ein sehr wichtiges Thema.",Verzichtet ihr drauf oder ist das für euch eh kein Thema?
179,93,21,1.0,1.0,Kannst du mir ein paar Snacks von oben mitbringen?,Kannst du mir ein paar Snacks von oben mitbringen?
180,95,29,1.0,1.0,"Zum Arbeiten, Essen und Schlafen, aber auch, um Geschichten zu erzählen.","Du Idiot, wie kann man nur das Essen zu Hause vergessen?"
181,79,46,1.0,1.0,Wir sehen uns im nächsten Video von Dankekast Deutsch.,"Germany Ah cool, ich kann ein bisschen Deutsch sprechen."
182,91,38,1.0,1.0,"Wir haben nicht mehr lang, bis die Nacht einbricht!",Wir können die ganze Nacht die Videos von Like Germans schauen!
183,91,32,1.0,1.0,"Und ich freue mich auch, wenn die Türkei gewinnt.","Die Chancen, dass man Geld gewinnt, stehen aber sehr schlecht."
184,93,30,1.0,1.0,"Wir sollten auch daran denken, dass Fehler beim Lernen normal sind.","Ich bin sicher, du wirst auch einen Fehler bei ihm finden."
185,69,28,1.0,1.0,Salke 04 wird der Meister mer und bitte sind nicht würdig.,"Die, mit denen man am meisten Profit machen kann."
186,77,26,1.0,1.0,"Wie Wasser, das in die Bratpfanne tropft: Ein Zischen, dann nichts.","Wenn er dürstig ist, gib ihm Wasser zu trinken."
187,94,30,1.0,1.0,"Wenn nicht bald aufhört, hängt er sich noch im Treppenhaus auf.",Uff Aber warum hören Raucher dann nicht einfach auf?
188,101,37,1.0,1.0,"Wir müssen ein paar Wochen durchhalten, dann ist er wieder gesund.",Er ist aber sehr fit und gesund für sein Alter.
189,69,24,1.0,1.0,"Wir müssen etwas ändern, bevor es zu spät ist.",Wir sind so runter runter und haben nicht geändert die Richtung.
190,9,1,0.76,0.76,Es gibt bestimmt eine Erklärung dafür.,Es gibt bestimmt eine Erklärung dafür.
191,126,26,1.0,1.0,"Wenn Gu Yan das sieht, wird er bestimmt wieder eifersüchtig.",Ritualisierte Floskeln wie die sogenannte „Chancengleichheit“ bestimmen das Handeln.
