n,surface,tag,md_repaired,st,acc,text,verdict,note,judge,kind
49,Witze,NN,witze,Witz,Witz,"Ich kann mir keine Witze merken.” Also: Keine Ahnung, ich kann dir keinen guten Witz erzählen.",st,spaCy left the plural,claude-opus-5,left unreduced
50,Klimaschutzanliegen,NN,klimaschutzanlieg,Klimaschutzanliegen,Klimaschutzanlieg,Die europäische Ebene adressiert mit verschiedenen Regularien die Umwelt und Klimaschutzanliegen.,st,spaCy truncated the compound,claude-opus-5,invented lemma
51,weißt,VVFIN,wissen,weißen,weißen,"Denkst du etwa, du weißt, was besser für meine Schüler ist als ich?",md,"weißt is wissen, Stanza gave weißen (to whiten)",claude-opus-5,wrong reading
52,Abschluss,NN,abschluss,Abschluß,Abschluß,Niemand macht etwas Sinnvolles MIT einem Abschluss.,md,old spelling Abschluß,claude-opus-5,old spelling
53,überzuwechseln,VVIZU,überzuwechseln,überwechseln,überwechseln,"All das macht es schwer, vom ""Ich-Ohr"", der eigenen Selbstüberzeugtheit, zum ""Du-Ohr"", der nicht- egozentrischen Aufmerksamkeit, überzuwechseln.",st,zu-infinitive unreduced by spaCy,claude-opus-5,left unreduced
54,’s,ADV,’s,'s,'s,"Heute geht’s um Verben, die mit verschiedenen Präpositionen stehen können und dadurch ihre Bedeutung verändern.",both,"clitic 's, apostrophe normalisation only",claude-opus-5,both exist
55,liebst,ADV,liebst,lieben,lieben,"Du siehst daus, du liebst mich doch.",st,du liebst is lieben; spaCy tagged it ADV,claude-opus-5,wrong reading
56,flirte,VVFIN,flirte,flirten,flirten,Ich flirte dich an? - Ja.,st,flirte unreduced by spaCy,claude-opus-5,left unreduced
57,zusammengelümmelt,VVPP,zusammengelümmelt,zusammenlümmeln,zusammenlümmeln,"Dort haben die Schlaumeier vom Dienst, alle ihre Gedanken in komplizierten Schachtelsätzen zusammengelümmelt.",st,participle unreduced by spaCy,claude-opus-5,left unreduced
58,schlafe,VVFIN,schlafe,schlafen,schlafen,Ja. Und dann schlafe ich erst mal.,st,schlafe unreduced by spaCy,claude-opus-5,left unreduced
59,plötzliche,ADJA,plötzliche,plötzlich,plötzlich,"Darf ich fragen, woher dieser plötzliche 180 Umschwung kommt?",st,spaCy left the adjective inflected,claude-opus-5,left unreduced
60,zugehört,VVPP,zugehören,zuhören,zugehören,"Und ich habe mich selber dabei erwischt, dass ich zugehört habe, ob Sie jetzt Ihre Antworten diplomatisch ausdrücken.",st,"zugehört is zuhören here, not zugehören",claude-opus-5,wrong reading
61,würdet,VMFIN,würdet,werden,werden,"Mal eine kurze Frage: Was würdet ihr sagen, welches Land prägt euren Alltag grade am meisten?",st,würdet unreduced by spaCy,claude-opus-5,left unreduced
62,finsteren,ADJA,finster,finst,finsteren,Sie sind in den finsteren Weiten zwischen den Sternen zu Hause.,md,Stanza invented finst,claude-opus-5,invented lemma
63,Sagt,VVFIN,sagen,sagt,sagen,"Sagt ihr, da kann man auch heute noch Rückschlüsse daraus ziehen?",md,sentence-initial Sagt left unreduced by Stanza,claude-opus-5,sentence-initial
64,dritten,ADJA,dritter,dritt,dritt,Vermutlich allerdings nur mit einem dritten Koalitionspartner.,both,convention: dritter vs dritt,claude-opus-5,convention
65,Zuschauen,NN,Zuschauen,Zuschaue,Zuschauen,Danke für's Zuschauen und bis nächste Woche. Tschüüß!,md,nominalised verb kept by noun_verb_splits; Stanza invented Zuschaue,claude-opus-5,invented lemma
66,kaufst,VVFIN,kaufst,kaufen,kaufen,Du kaufst immer so etwas.,st,kaufst unreduced by spaCy,claude-opus-5,left unreduced
67,Anlass,NN,anlass,Anlaß,Anlaß,"Das können wir auch daran sehen, dass ""anlässlich"" von dem Nomen ""der Anlass"" kommt.",md,old spelling Anlaß,claude-opus-5,old spelling
68,Fakten,NN,fakt,Faktum,Faktum,"Mit dem Futur I drückt man aber aus, dass es sich um eine Prognose handelt, also nicht wirklich um Fakten.",both,Fakt and Faktum both exist,claude-opus-5,both exist
69,Denne,ADV,denne,denner,Denn,"Denne sind am Arsch wahrscheinlich, aber du hast mich auch nicht erkannt.",neither,garbled input Denne,claude-opus-5,neither
70,früher,ADJD,früh,früher,früher,Und der Bundeskanzler deutlich weniger Macht als der Reichspräsident früher.,both,früher as adverb (formerly) vs comparative of früh,claude-opus-5,lexicalised comparative
71,genieß,VVFIN,genieß,genießen,genießen,Also da bin ich dann oft lieber im Ausland und... und genieß' die Sonne ein bisschen mehr.,st,clipped genieß' unreduced by spaCy,claude-opus-5,left unreduced
72,meine,VVFIN,meinen,mein,mein,"Du hast Ich meine, sie hat dir gezeigt, was in dir steckt.",md,ich meine is meinen; Stanza gave the possessive,claude-opus-5,wrong reading
73,erstes,ADJA,erster,erst,erst,Wen wollt ihr als erstes sehen?,both,convention: erster vs erst,claude-opus-5,convention
74,E-Scootern,NN,e-scootern,E-Scooter,E-Scooter,"Autoped der Ur-Ur-Ur-Ur-Vorfahre von unserem heutigen E-Scootern, produziert ab 1915.",st,spaCy left the dative plural,claude-opus-5,left unreduced
75,Indische,NN,indische,indisch,indisch,"Eine Sprachfamilie, zu der neben Deutsch auch das Indische, das Iranische oder Polnisch gehören.",st,nominalised adjective; indisch is the adjective,claude-opus-5,wrong reading
76,Traumen,NN,traumus,Trauma,Trauma,"Der sagt, Bakterien oder Viren führen nicht dazu, dass man erkrankt, sondern alle Erkrankungen kommen nur durch irgendwelche psychische Traumen.",st,spaCy invented traumus,claude-opus-5,invented lemma
77,habitablen,ADJA,habitabl,habitabel,habitabel,"Viele von ihnen befinden sich sogar in der habitablen Zone, in der Wasser flüssig ist.",st,spaCy invented habitabl,claude-opus-5,invented lemma
78,gleiche,ADJA,gleich,gleichen,gleichen,"Wer jetzt noch wissen will, warum man ""dasselbe"" zusammen-, aber ""das gleiche"" getrennt schreibt: Aufgepasst!",md,das gleiche is the adjective; Stanza gave the verb gleichen,claude-opus-5,wrong reading
79,Fortgeschrittene,NN,fortgeschrittene,Fortgeschrittener,Fortgeschrittener,Mehr Videos über deutsche Verben für Fortgeschrittene findet ihr in meiner Playlist.,st,nominalised adjective; Stanza matches the project's own -er convention,claude-opus-5,left unreduced
80,lass,VVFIN,lassen,laß,laß,"Einsteins Idee war: Dann lass doch einfach checken, ob wir bestimmte Sterne in ihrer Position verschoben sehen, wenn die Sonne zwischen ihnen und uns steht.",md,"Stanza gave old-spelling laß, unreduced",claude-opus-5,old spelling
81,Toten,NN,tote,tot,tot,"Es wird schon mit Sprechgesang experimentiert weit im Voraus, etwa von Falco oder von den Toten Hosen.",st,nominalised adjective; tot is the adjective,claude-opus-5,wrong reading
82,überwanden,VVINF,überwanden,überwinden,überwinden,"Der Moment, in dem Einsamkeit und Begehren die Vorsicht überwanden.",st,preterite unreduced by spaCy,claude-opus-5,left unreduced
83,reingeht,VVFIN,reingeht,reingehen,reingehen,"Aber auch wenn man hier reingeht, dahinten, da ist da das Café Blau.",st,reingeht unreduced by spaCy,claude-opus-5,left unreduced
84,Dativpronomen,NN,dativpronom,Dativpronomen,Dativpronomen,"Wenn ihr zu diesem Thema noch etwas mehr üben möchtet, vor allem diese Dativpronomen üben möchtet, dann schaut euch doch mal unsere interaktiven Übungen an.",st,spaCy truncated the compound,claude-opus-5,invented lemma
85,wegzogen,NN,wegzog,wegziehen,wegziehen,"Wir wissen nur, dass ihre Kultur unterging und sie entweder wegzogen oder ausstarben.",st,spaCy invented wegzog,claude-opus-5,invented lemma
86,gab's,VVFIN,gab's,gabe'n,gab'en,"Na ja, in der Familie gab's mal einen Fall, Well, there was a case in the family wo jemand sein Konto, ähm...",neither,both mangle gab's,claude-opus-5,neither
87,schlaf,VVFIN,schlaf,schlafen,schlafen,Am Sonntag schlaf ich aus.,st,clipped schlaf unreduced by spaCy,claude-opus-5,left unreduced
88,willst,VMFIN,willen,wollen,wollen,"Ich verrate dir das, was du unbedingt wissen willst.",st,spaCy invented willen,claude-opus-5,invented lemma
89,Coronavirus,NN,coronaviru,Coronavirus,Coronavirus,"Das ist, wenn man das mit der Verbreitungsgeschwindigkeit des Coronavirus' vergleicht, eine lange Zeit.",st,spaCy truncated Coronavirus,claude-opus-5,invented lemma
90,Gesegnete,ADJA,gesegnete,gesegnet,gesegnen,"Das hat also ursprünglich einen religiösen Kontext und man hat dann zum Mittagessen gesagt ""Gesegnete Mahlzeit"".",st,spaCy left the adjective inflected,claude-opus-5,left unreduced
91,letzten,ADJA,letzter,letzt,letzt,"Äh, sie haben übrigens beim letzten Mal gesagt, dass solche Briefe für Sie sehr stressig sind.",both,convention: letzter vs letzt,claude-opus-5,convention
92,rechten,ADJA,rechter,recht,recht,"Weil ich ja hier die Stabilität im rechten Bein hab, wenn ich dann das Bein wegnehme.",both,convention: rechter vs recht,claude-opus-5,convention
93,harmloser,ADJD,harmloser,harmlos,harmlos,"Dann werden vor allem dramatische und alarmierende Schlagzeilen formuliert, deren Inhalt weitaus harmloser ist.",st,comparative unreduced by spaCy,claude-opus-5,left unreduced
94,allererste,ADJA,allererster,allererste,allererste,Und so sieht das allererste Exemplar des Grundgesetzes von 1949 aus.,md,Stanza left allererste inflected,claude-opus-5,left unreduced
95,weiter,ADV,weiter,weit,weit,In der Latènezeit breitet sich die keltische Kultur immer weiter aus.,both,weiter as adverb vs comparative of weit,claude-opus-5,lexicalised comparative
96,letzten,ADJA,letzter,letzt,letzt,Erinnert ihr euch noch unsere Eröffnungsbilanz vom letzten Video?,both,convention: letzter vs letzt,claude-opus-5,convention
97,Neues,NN,neue,Neu,Neu,"wenn man nichts Neues erleben möchte, when you don't want to experience anything new weil dann wird's irgendwann langweilig.",st,nominalised adjective; neu is the adjective,claude-opus-5,wrong reading
98,erste,ADJA,erster,erst,erst,"Das erste ""ne"" ist wieder 'ne Abkürzung für einen Artikel.",both,convention: erster vs erst,claude-opus-5,convention
99,Unterhause,NN,unterhause,Unterhaus,Unterhaus,Ich brauche gleich ein neues Unterhause.,st,archaic dative -e; Unterhaus is right,claude-opus-5,left unreduced
100,Findet,VVFIN,finden,Findet,findet,Findet ihr oben auf dem I verlinkt.,md,sentence-initial Findet left unreduced by Stanza,claude-opus-5,sentence-initial
101,darfst,VMFIN,darfst,dürfen,dürfen,Du darfst die Leitung nicht loslassen.,st,darfst unreduced by spaCy,claude-opus-5,left unreduced
102,’s,NN,’s,'s,'s,Da findet ihr eine Playlist und direkt darunter gibt’s ein weiteres Video zu einem anderen spannenden Thema.,both,clitic 's,claude-opus-5,both exist
103,Danke,NN,danke,Dank,Dank,Danke für eure Meinungen und fürs Zuschauen.,md,interjection danke,claude-opus-5,particle as verb/noun
104,Frittaten,NN,frittat,Frittate,Frittate,"Und das ist eine ganz beliebte österreichische Suppeneinlage und das nennt sich ""Frittaten"".",st,spaCy invented frittat,claude-opus-5,invented lemma
105,ersten,ADJA,erster,erst,erst,"Das bedeutet, dass immer am ersten Tag des Monats die Miete an meinen Vermieter überwiesen wird.",both,convention: erster vs erst,claude-opus-5,convention
106,betrügst,VVFIN,betrügst,betragen,betrügen,"Ich sage Ed nicht, dass du ihn betrügst.",neither,"spaCy unreduced; Stanza gave betragen, a different verb",claude-opus-5,neither
107,ersten,ADJA,erster,erst,erst,Ich liebe dich genauso wie am ersten Tag.,both,convention: erster vs erst,claude-opus-5,convention
108,Aufgepasst,NN,aufgepasst,aufpassen,aufpassen,"Aufgepasst! Bei manchen Ländern benutzt man ""in"".",st,Aufgepasst! is aufpassen,claude-opus-5,wrong reading
109,find,VVFIN,find,finden,finden,"Ja? - Ja, find' ich schon.",st,clipped find' unreduced by spaCy,claude-opus-5,left unreduced
110,Verben,NN,verbe,Verb,Verb,In diesen Beispielen waren die Verben mit “zer-” transitiv.,st,spaCy invented verbe,claude-opus-5,invented lemma
111,issä,ADV,issä,essen,issen,"Äh so halb Stund, ich issä mega langsam.",st,dialect issä resolved to essen,claude-opus-5,dialect form
112,Scheitert,VVFIN,scheitert,scheitern,Scheitern,"Und deshalb sage ich: Scheitert der Euro, dann scheitert Europa.",st,sentence-initial Scheitert unreduced by spaCy,claude-opus-5,sentence-initial
113,herauszufinden,VVIZU,herauszufinden,herausfinden,herausfinden,"Virenjäger bringen Proben zurück ins Labor, um herauszufinden, ob ein neu entdecktes Virus Menschen anstecken könnte, und um die Gefahr zu katalogisieren.",st,zu-infinitive unreduced by spaCy,claude-opus-5,left unreduced
114,written,ADJD,written,wreiten,written,You slip back into... written German.,md,English; Stanza invented wreiten,claude-opus-5,foreign word
115,dritter,ADJA,dritter,dritt,dritt,"Und ein dritter Punkt war, dass er wirtschaftliche Verbesserung zugesagt hat.",both,convention: dritter vs dritt,claude-opus-5,convention
116,nächsten,ADJA,nächster,nah,nah,"Und da sind wir auch schon direkt beim nächsten Punkt, genauer gesagt, bei der nächsten Frage.",both,UD lemmatises nächste to nah; a poor unit for a learner but the convention,claude-opus-5,convention
117,Weißt,VVFIN,wissen,weißen,wissen,"Weißt du Shreyan, wir haben ja eine lange Tradition in Deutschland mit fremden Küchen, ne? - Ja.",md,Weißt is wissen; Stanza gave weißen,claude-opus-5,wrong reading
118,Schusswaffen,NN,schusswaffen,Schußwaffe,Schußwaffe,Ein einmaliger Fall in der Geschichte der Schusswaffen.,neither,spaCy left the plural; Stanza singularised with old spelling,claude-opus-5,neither
119,glaub,ADJD,glaub,glauben,glauben,"Also ich glaub', dass die Vielfalt schon wichtig ist.",st,clipped glaub' unreduced by spaCy,claude-opus-5,left unreduced
120,Wichtiges,NN,wichtig,Wichtige,Wichtige,"Mama, ich hab noch was Wichtiges zu erledigen, ich geh jetzt!",md,was Wichtiges: wichtig is the adjective,claude-opus-5,wrong reading
121,Wahnsinniges,NN,wahnsinnig,Wahnsinniges,Wahnsinnig,Er wird etwas Wahnsinniges anstellen.,md,etwas Wahnsinniges: wahnsinnig is the adjective,claude-opus-5,wrong reading
122,Verben,NN,verbe,Verb,Verb,"Ich lasse also dieses letzte ""e"" weg So I drop this last ""e"" und das passiert tatsächlich ganz oft bei Verben.",st,spaCy invented verbe,claude-opus-5,invented lemma
123,angepasst,VVPP,angepasst,anpassen,anpassen,Selbst der Kalender der alten Ägypter ist am Rhythmus des Nils angepasst.,st,participle unreduced by spaCy,claude-opus-5,left unreduced
124,Pfannkuchen,NN,pfannkuch,Pfannkuchen,Pfannkuchen,Und was essen Sie mit den Pfannkuchen zusammen?,st,"spaCy invented pfannkuch, a second invention beside the pfannkuche in lemma_fixes",claude-opus-5,invented lemma
125,meine,VVFIN,meinen,mein,meinen,Und welche Serien und Filme meine ich?,md,meine ich is meinen; Stanza gave the possessive,claude-opus-5,wrong reading
126,Rekordblöcke,NN,rekordblöcken,Rekordblock,Rekordblock,"Ungewöhnlich ist, dass die ältere Phase kleine Blöcke produzierte und die spätere Phase Rekordblöcke.",st,spaCy invented rekordblöcken,claude-opus-5,invented lemma
127,kollabiert,VVPP,kollabiert,kollabieren,kollabieren,"Nur dass sie kaum Jobs finden werden, weil 2060 die südkoreanische Wirtschaft vielleicht kollabiert sein wird.",st,participle unreduced by spaCy,claude-opus-5,left unreduced
128,öfter,ADV,öfter,oft,oft,"Aber ich habe vor, öfter herzukommen.",both,öfter as adverb vs comparative of oft,claude-opus-5,lexicalised comparative
129,ne,NN,ne,ein,ein,"Nach den, äh, ersten Abenden, die wir zu zweit zusammen verbracht haben, ne? - Ja. - Ja.",md,tag-question particle ne,claude-opus-5,particle as verb/noun
130,wird's,VAFIN,wird's,werd'en,wird'ss,"wenn man nichts Neues erleben möchte, weil dann wird's irgendwann langweilig.",neither,both mangle wird's,claude-opus-5,neither
131,VHS-Kassetten,NN,vhs-kassetten,VHS-Kassette,VHS-Kassette,"Kein Mensch nutzt mehr VHS-Kassetten, außer vielleicht Nostalgiker.",st,spaCy left the plural,claude-opus-5,left unreduced
132,gegessen,VVPP,gegessen,essen,essen,Wenn man etwas Falsches gegessen hat zum Beispiel.,st,gegessen unreduced by spaCy,claude-opus-5,left unreduced
133,Hab,NN,hab,haben,haben,"Hab' ich nicht, aber den hole...",st,Hab' tagged NN by spaCy so the override never fired,claude-opus-5,left unreduced
134,selbstständig,ADJD,selbstständig,selbständig,selbständig,"Was musst du noch beachten, wenn du dich selbstständig machen willst?",md,selbstständig is a valid spelling; no reason to change it,claude-opus-5,old spelling
135,Betroffenen,NN,betroffener,Betroffene,Betroffene,"Nicht nur die Betroffenen leiden und brauchen Hilfe, auch die Familien und Freunde verzweifeln oft am Miteinander.",both,nominalised adjective; betroffener is the project's convention,claude-opus-5,convention
136,erkältet,ADJD,erkältet,erkälten,erkälten,"Wie man es vielleicht an meiner Stimme hören kann, bin ich leicht erkältet.",both,erkältet: participial adjective vs verb,claude-opus-5,participial adjective
137,gefällt,VVPP,fällen,gefallen,gefallen,"Wie gefällt dir der Verweis, Lisa?",st,"gefällt is gefallen, spaCy gave fällen",claude-opus-5,wrong reading
138,schämst,VVFIN,schämst,schämen,schämen,Warum schämst du dich für dich selbst?,st,schämst unreduced by spaCy,claude-opus-5,left unreduced
139,Lehrbuchwissen,NN,lehrbuchwisse,Lehrbuchwissen,Lehrbuchwissen,Sie gehört zum Physik- Lehrbuchwissen und ist ein esoterischer Business-Zweig.,st,spaCy invented lehrbuchwisse,claude-opus-5,invented lemma
140,böse,ADJD,böse,bös,bös,Wie können wir mit Nachbarn zusammenleben die wir für böse halten?,md,böse is the lemma,claude-opus-5,stem variant
141,ersten,ADJA,erster,erst,erst,"In einer ersten Erklärung heißt es, Iran solle an den Verhandlungstisch kommen.",both,convention: erster vs erst,claude-opus-5,convention
142,realisier,ADJD,realisier,realisieren,realisieren,"Ich selber realisier noch gar nicht, dass ich hier bin.",st,clipped realisier unreduced by spaCy,claude-opus-5,left unreduced
143,Hühnerknochenbrühe,NN,hühnerknochenbrüh,Hühnerknochenbrühe,Hühnerknochenbrühe,Hühnerknochenbrühe Beim japanischen Essen wird auch oft Hühnerknochenbrühe benutzt.,st,spaCy truncated the compound,claude-opus-5,invented lemma
144,Apfelkitschen,NN,apfelkitschen,Apfelkitsche,Apfelkitsche,"In die Biotonne kommt eigentlich kompostiertbarer Müll, also alles, was von der Erde aufgenommen und verarbeitet werden kann, zum Beispiel Fischgräten und Apfelkitschen.",st,spaCy left the plural,claude-opus-5,left unreduced
145,Erste,NN,erster,erst,erst,"Ich warte schon, bis der Erste kommt und das uns nachmacht und sagt, das ist seine Erfindung.",both,der Erste: erster vs erst,claude-opus-5,convention
146,Achte,NN,achte,Acht,Achten,"Achte darauf, dass dich niemand nach den Grundsätzen der Welt betrügt.",neither,"Achte darauf is achten; spaCy achte, Stanza the noun Acht",claude-opus-5,neither
