n,surface,tag,md_repaired,st,acc,text,verdict,note
118,Schusswaffen,NN,schusswaffen,Schußwaffe,Schußwaffe,Ein einmaliger Fall in der Geschichte der Schusswaffen.,,
119,glaub,ADJD,glaub,glauben,glauben,"Also ich glaub', dass die Vielfalt schon wichtig ist.",,
120,Wichtiges,NN,wichtig,Wichtige,Wichtige,"Mama, ich hab noch was Wichtiges zu erledigen, ich geh jetzt!",,
121,Wahnsinniges,NN,wahnsinnig,Wahnsinniges,Wahnsinnig,Er wird etwas Wahnsinniges anstellen.,,
122,Verben,NN,verbe,Verb,Verb,"Ich lasse also dieses letzte ""e"" weg So I drop this last ""e"" und das passiert tatsächlich ganz oft bei Verben.",,
123,angepasst,VVPP,angepasst,anpassen,anpassen,Selbst der Kalender der alten Ägypter ist am Rhythmus des Nils angepasst.,,
124,Pfannkuchen,NN,pfannkuch,Pfannkuchen,Pfannkuchen,Und was essen Sie mit den Pfannkuchen zusammen?,,
125,meine,VVFIN,meinen,mein,meinen,Und welche Serien und Filme meine ich?,,
126,Rekordblöcke,NN,rekordblöcken,Rekordblock,Rekordblock,"Ungewöhnlich ist, dass die ältere Phase kleine Blöcke produzierte und die spätere Phase Rekordblöcke.",,
127,kollabiert,VVPP,kollabiert,kollabieren,kollabieren,"Nur dass sie kaum Jobs finden werden, weil 2060 die südkoreanische Wirtschaft vielleicht kollabiert sein wird.",,
128,öfter,ADV,öfter,oft,oft,"Aber ich habe vor, öfter herzukommen.",,
129,ne,NN,ne,ein,ein,"Nach den, äh, ersten Abenden, die wir zu zweit zusammen verbracht haben, ne? - Ja. - Ja.",,
130,wird's,VAFIN,wird's,werd'en,wird'ss,"wenn man nichts Neues erleben möchte, weil dann wird's irgendwann langweilig.",,
131,VHS-Kassetten,NN,vhs-kassetten,VHS-Kassette,VHS-Kassette,"Kein Mensch nutzt mehr VHS-Kassetten, außer vielleicht Nostalgiker.",,
132,gegessen,VVPP,gegessen,essen,essen,Wenn man etwas Falsches gegessen hat zum Beispiel.,,
133,Hab,NN,hab,haben,haben,"Hab' ich nicht, aber den hole...",,
134,selbstständig,ADJD,selbstständig,selbständig,selbständig,"Was musst du noch beachten, wenn du dich selbstständig machen willst?",,
135,Betroffenen,NN,betroffener,Betroffene,Betroffene,"Nicht nur die Betroffenen leiden und brauchen Hilfe, auch die Familien und Freunde verzweifeln oft am Miteinander.",,
136,erkältet,ADJD,erkältet,erkälten,erkälten,"Wie man es vielleicht an meiner Stimme hören kann, bin ich leicht erkältet.",,
137,gefällt,VVPP,fällen,gefallen,gefallen,"Wie gefällt dir der Verweis, Lisa?",,
138,schämst,VVFIN,schämst,schämen,schämen,Warum schämst du dich für dich selbst?,,
139,Lehrbuchwissen,NN,lehrbuchwisse,Lehrbuchwissen,Lehrbuchwissen,Sie gehört zum Physik- Lehrbuchwissen und ist ein esoterischer Business-Zweig.,,
140,böse,ADJD,böse,bös,bös,Wie können wir mit Nachbarn zusammenleben die wir für böse halten?,,
141,ersten,ADJA,erster,erst,erst,"In einer ersten Erklärung heißt es, Iran solle an den Verhandlungstisch kommen.",,
142,realisier,ADJD,realisier,realisieren,realisieren,"Ich selber realisier noch gar nicht, dass ich hier bin.",,
143,Hühnerknochenbrühe,NN,hühnerknochenbrüh,Hühnerknochenbrühe,Hühnerknochenbrühe,Hühnerknochenbrühe Beim japanischen Essen wird auch oft Hühnerknochenbrühe benutzt.,,
144,Apfelkitschen,NN,apfelkitschen,Apfelkitsche,Apfelkitsche,"In die Biotonne kommt eigentlich kompostiertbarer Müll, also alles, was von der Erde aufgenommen und verarbeitet werden kann, zum Beispiel Fischgräten und Apfelkitschen.",,
145,Erste,NN,erster,erst,erst,"Ich warte schon, bis der Erste kommt und das uns nachmacht und sagt, das ist seine Erfindung.",,
146,Achte,NN,achte,Acht,Achten,"Achte darauf, dass dich niemand nach den Grundsätzen der Welt betrügt.",,
147,Biergarten,NN,biergart,Biergarten,Biergarten,Der Biergarten. Ich bin im Biergarten.,,
148,well,ADJD,well,wellen,wellen,"yeah, I was welcomed really well wurde ich sehr gut aufgenommen, deswegen by the family, therefore vermiss' ich tatsächlich überhaupt nichts.",,
149,bräuchte,VVFIN,bräuchte,brauchen,brauchen,"Denn dafür bräuchte man erst mal Geld, um Spieler zu kaufen.",,
150,Globuli,NN,globuli,Globulus,Globulus,Das fertige Heilmittel wird dann meistens auf Zucker kügelchen geträufelt und als Globuli verkauft.,,
151,Erste,NN,erste,erst,erst,"Guten Morgen! Es ist acht Uhr, ich bin grade aufgestanden und das Erste, was ich morgens mache, ist zu meditieren.",,
152,weißt,VVFIN,wissen,weißen,weißen,"Das heißt, das Geld... äh... rinnt dir so durch die Finger und du weißt gar nicht, wo's bleibt?",,
153,Schnäbel,NN,schnäbel,Schnabel,Schnabel,"Damit dabei nichts passiert, kürzen wir ihre Schnäbel und Krallen.",,
154,ersten,ADJA,erster,erst,erst,"Nach den, äh, ersten Abenden, die wir zu zweit zusammen verbracht haben, ne? - Ja. - Ja.",,
155,willst,VMFIN,willen,wollen,wollen,"Und willst du Yara, Riton, zu deinem Mann nehmen?",,
156,Draufgucken,NN,draufgucke,Draufgucken,Draufgucke,"Draufgucken hat gesagt 373737, also 111, das sind drei mal 37 Striche.",,
157,geht's,VVFIN,gehen,gehe'en,gehten,Da geht's dann explizit um Corona.,,
158,begeistert,ADJD,begeistert,begeistern,begeistern,"Schillers Arbeitgeber, der Herzog von Württemberg, ist von den „Räubern“ wenig begeistert.",,
159,nächste,ADJA,nächster,nah,nah,Man bezieht sich dabei immer auf die nächste volle Stunde.,,
160,allerliebsten,NN,allerliebsten,allerlieb,allerlieb,"Ähm, am allerliebsten trinke ich Kaffee mit meiner Freundin.",,
161,beeindruckt,VVPP,beeindrucken,beeindruckt,beeindruckt,Alex zeigt einen Zaubertrick. Carlos ist beeindruckt.,,
162,besuchst,VVFIN,besuchst,besuchen,besuchen,Du besuchst meine Eltern? (Vater:) Ist das so schwer vorstellbar?,,
163,Willst,VVFIN,wollen,willen,wollen,"„Willst du auch ein Bier, Christian?“ Oh, sehr gerne, Georg.",,
164,lieber,ADV,lieber,lieb,lieb,"Halte dich lieber da raus, Lisa!",,
165,weiter,ADV,weiter,weit,weit,"Das hat sich immer noch weiter verschärft vermutlich, oder?",,
166,früher,ADJD,früh,früher,früher,Hier ist alles genau wie früher.,,
167,angefreundet,VVPP,angefreundet,anfreunden,anfreunden,"Wir haben uns angefreundet, als wir zusammen für die Klausuren gelernt haben.",,
168,bestimmt,VVFIN,bestimmen,bestimmt,bestimmt,"Ähm... und ich weiß nicht, ob ich sagen würde, dass es generell was gibt, was mich nervt... weil das gibt es bestimmt überall.",,
169,verlinkt,VVPP,verlinkt,verlinken,verlinken,"Also sehr spannend zum geschichtlichen Teil, habe ich auch noch mal was verlinkt.",,
170,drücktest,VVFIN,drücktest,drücken,drücken,"Gebrauchtest du den Konjunktiv häufiger, drücktest du dich nicht nur viel eloquenter aus.",,
171,ersten,ADJA,erster,erst,erst,Wann die ersten Siedler hier eintreffen ist bis heute nicht ganz geklärt.,,
172,Roma,NN,rom,Roma,Rom,"Aber auch, warum es auch so ein emotionales Thema ist. (Rattern, Klingeln) Sinti und Roma erfahren in Deutschland immer noch Diskriminierung.",,
173,Moleküle,NN,moleküle,Molekül,Molekül,"Und genauso gibt es auch Moleküle, die alle möglichen Effekte haben.",,
174,gehört,VVPP,hören,gehören,gehören,"Das sind Dinge, die bisher eher nicht unbedingt zu den Stärken der deutschen Autobauer gehört haben.",,
175,Sternkreiszeichen,NN,sternkreiszeiche,Sternkreiszeichen,Sternkreiszeichen,"Geschlecht wechseln und haben erstaunliche Fähigkeiten wie Werkzeuggebrauch, Orientierung oder das Erkennen von Sternkreiszeichen.",,
176,ersten,ADJA,erster,erst,erst,"Wir hatten das Glück, habt ihr ja mitbekommen, dass wir den letzten Monat meines ersten Trimesters weg waren.",,
177,Let's,NN,let's,Let',Let's,"Interesting topic, let's go. - Let's go.",,
178,Größeres,NN,größeres,Größere,Größeres,"Auch viele kleinere Gewinne, statt ab und zu mal was Größeres.",,
179,Miss,NN,miss,Miß,Miß,"Ich mache für Miss Miss etwas Kaffee, Dad.",,
180,Tschüss,NN,tschüss,Tschuß,Tschüss,"Super gerne. - Tschüss, liebe Leute! - Ciao!",,
181,Knallflaschen,NN,knallflasch,Knallflasche,Knallflasche,"Hast du noch Knallflaschen, Markus?",,
182,Bitte,ADV,bitte,bitten,bitten,"""Hallo!"" ""Sagen Sie doch was!"" Bitte reden Sie doch mit mir!",,
183,Öffentlich-Rechtlichen,NN,öffentlich-rechtliche,Öffentlich-Rechtlich,Öffentlich-Rechtlich,Wo ist denn der Unterschied zwischen den Privaten und den Öffentlich-Rechtlichen in Deutschland?,,
184,Schau,VVIMP,schauen,Schau,Schau,"Ja. Schau dir mal diese Schwellung an. Alter, das Gehirn ist ja riesig.",,
185,geht's,VVFIN,gehen,gehe'en,gehten,"Zum Beispiel sage ich: ""Manuel hat einen Hund"", und ihr sagt dann: ""Das ist sein Hund."" Los geht's.",,
186,gekriegt,VVPP,gekriegt,kriegen,kriegen,"Wenn er Wasser gekriegt hat, dann blühen da schöne Blumen.",,
187,entführe,VVFIN,entführen,entfahren,entführen,Ich entführe keine kleinen fzenden Kinder.,,
188,Zusammenhängen,NN,zusammenhäng,Zusammenhang,Zusammenhang,"Es geht dabei sehr oft um Texte, aber man kann dieses Verb auch in anderen Zusammenhängen benutzen.",,
189,Migräne,NN,migran,Migräne,Migräne,"Wir haben bei Ihnen auf der Website versucht, Medikamente gegen Migräne zu bestellen.",,
190,Deutschen,NN,deutsche,deutsch,Deutsche,Und hier zählt man im Deutschen etwas anders als in anderen Ländern.,,
191,solltet,VMFIN,solltet,sollen,sollen,Ich wusste es. Ihr Deutschen solltet mir einen Orden verleihen.,,
192,weitergeholfen,VVINF,weitergeholfen,weiterhelfen,weiterhelfen,"Wir hoffen, dass euch dieses Video etwas weitergeholfen hat und ihr den Dativ jetzt mit Sicherheit nutzen könnt, wenn ihr Deutsch sprecht.",,
193,Glitzerjacke,NN,glitzerjack,Glitzerjacke,Glitzerjacke,"Nein, das war... so wie er hat! Mit dem äh der Glitzerjacke und auch mit dem Klavierschal.",,
194,Verben,NN,verbe,Verb,Verb,Wir zeigen euch heute einige dieser Verben. Los geht's.,,
195,gespannt,ADJD,gespannt,spannen,spannen,"Ich bin gespannt, was ihr denkt, schreibt in die Kommentare.",,
196,Bakterien,NN,bakterie,Bakterium,Bakterie,"Deshalb lohnt es sich auch, anhand eines Speichelabstrichs die Anzahl bestimmter Bakterien zu bestimmen.",,
197,Internets,NN,internet,Internets,Internets,"Wenn dann wieder alles anläuft, ist man quasi beim Stand vor dem Ausfall des Internets.",,
198,enttäuscht,VVPP,enttäuschen,enttäuscht,enttäuscht,"Pierre sagt, viele seiner Freunde seien jetzt vor der Bundestagswahl enttäuscht von der Politik und den Parteien.",,
199,1950er-Jahren,NN,1950er-jahr,1950er-Jahre,1950er-Jahre,"In den 1950er-Jahren wird eine Reihe von Doping-Skandalen aufgedeckt, bei denen Betrüger die Rennen beeinflussen.",,
200,Russland,NN,russland,Rußland,Rußland,"In Russland und anderen Ländern, die auf Seiten Russlands stehen, gab es eher Zustimmung.",,
