pattern,before,refused,share_refused
mit etw. enden,13,0,0.0
jdm. (Dat) etw. (Akk) wünschen,13,0,0.0
etw. (Akk) akzeptieren,13,0,0.0
jdm. (Dat) etw. (Akk) reichen,13,0,0.0
sich auf etw. (Akk) konzentrieren,13,0,0.0
etw. (Akk) studieren,12,0,0.0
jdn. (Akk) angehen,12,0,0.0
jdn. (Akk) an etw. erinnern,12,0,0.0
auf jdn./etw. wirken,12,0,0.0
über jdn./etw. nachdenken,12,0,0.0
mit etw. / etw. (Akk) starten,12,0,0.0
etw. (Akk) erleben,12,0,0.0
zu etw. / etw. (Akk) zählen,12,0,0.0
etw. (Akk) durchführen,12,0,0.0
jdm. (Dat) etw. (Akk) empfehlen,12,0,0.0
jdm. (Dat) folgen,12,0,0.0
jdn./etw. (Akk) angreifen,12,0,0.0
jdm. (Dat) / als etw. dienen,12,0,0.0
jdn. (Akk) zu etw. einladen,12,0,0.0
etw. (Akk) drehen,12,0,0.0
etw. (Akk) ausdrücken,12,0,0.0
etw. (Akk) in etw. stecken,12,0,0.0
jdm. (Dat) etw. (Akk) beschreiben,12,0,0.0
jdn./etw. (Akk) vermissen,11,0,0.0
jdn./etw. (Akk) beobachten,11,0,0.0
etw. (Akk) umsetzen,11,0,0.0
etw. (Akk) auflösen,11,0,0.0
jdm. (Dat) etw. (Akk) beantworten,11,0,0.0
jdn./etw. (Akk) mit jdm./etw. verbinden,11,0,0.0
etw. (Akk) von jdm. fordern,11,0,0.0
jdm. (Dat) etw. (Akk) öffnen,11,0,0.0
mit jdm./etw. rechnen,11,0,0.0
etw. (Akk) an jdn. zahlen,11,0,0.0
etw. (Akk) beenden,11,0,0.0
jdn./etw. (Akk) verletzen,11,0,0.0
etw. (Akk) feststellen,11,0,0.0
jdn./etw. (Akk) vor jdm./etw. retten,11,0,0.0
etw. (Akk) mit jdm. teilen,11,0,0.0
etw. (Akk) einstellen,10,0,0.0
jdn./etw. (Akk) verfolgen,10,0,0.0
mit jdm. zusammenarbeiten,10,0,0.0
etw. (Akk) für etw. ausgeben,10,0,0.0
jdm. (Dat) einfallen,10,0,0.0
etw. (Akk) unternehmen,10,0,0.0
jdn./etw. (Akk) prüfen,10,0,0.0
an etw. (Dat) / unter etw. (Dat) leiden,10,0,0.0
etw. (Akk) aufgeben,10,0,0.0
auf etw. zurückgehen,10,0,0.0
etw. (Akk) durchsetzen,10,0,0.0
mit etw. weitermachen,10,0,0.0
etw./jdn. (Akk) aufnehmen,10,0,0.0
sich (Dat) etw. (Akk) überlegen,10,0,0.0
jdm. (Dat) vorkommen,9,0,0.0
jdm. (Dat) etw. (Akk) schicken,9,0,0.0
jdm. (Dat) etw. (Akk) / etw. (Akk) verpassen,9,0,0.0
jdm. (Dat) etw. (Akk) kochen,9,0,0.0
etw. (Akk) / sich (Akk) anziehen anziehen,9,0,0.0
etw. (Akk) erhöhen,9,0,0.0
etw. (Akk) kriegen,9,0,0.0
etw. (Akk) überleben,9,0,0.0
jdm. (Dat) gelingen,9,0,0.0
jdm. (Dat) etw. (Akk) mitbringen,9,0,0.0
jdn./etw. (Akk) als etw. bezeichnen,9,0,0.0
jdn./etw. (Akk) behandeln,9,0,0.0
etw. (Akk) auf jdn./etw. beziehen,9,0,0.0
von etw. absehen,9,0,0.0
etw. (Akk) ergeben,9,0,0.0
jdn./etw. (Akk) / sich (Dat) etw. (Akk) anhören,9,0,0.0
jdn./etw. (Akk) festhalten,9,0,0.0
etw. (Akk) organisieren,8,0,0.0
etw. (Akk) herstellen,8,0,0.0
etw. (Akk) planen,8,0,0.0
etw. (Akk) behalten,8,0,0.0
etw. (Akk) ablehnen,8,0,0.0
etw. (Akk) herausfinden,8,0,0.0
jdn. (Akk) an etw. beteiligen,8,0,0.0
jdm. (Dat) etw. (Akk) bestätigen,8,0,0.0
etw. (Zeit) (Akk) verbringen,8,0,0.0
jdm. (Dat) zuhören,8,0,0.0
etw. (Akk) sammeln,8,0,0.0
jdn./etw. (Akk) aus etw. vertreiben,8,0,0.0
etw. (Akk) / (Dat-Position) hängen,8,0,0.0
jdn./etw. (Akk) besuchen,8,0,0.0
jdm. (Dat) etw. (Akk) melden,8,0,0.0
jdn./etw. (Akk) regieren,8,0,0.0
etw. (Akk) in etw. einführen,8,0,0.0
etw. (Akk) werfen,8,0,0.0
etw. (Akk) übernehmen,8,0,0.0
jdm. (Dat) etw. (Akk) vorschlagen,8,0,0.0
etw. (Akk) an etw. / sich (Dat/Akk) anpassen,8,0,0.0
etw. (Akk) sparen,8,0,0.0
etw. (Akk) produzieren,8,0,0.0
etw. (Akk) bearbeiten,8,0,0.0
jdn. (Akk) um etw. bitten,8,0,0.0
etw./jdn. (Akk) wahrnehmen,8,0,0.0
jdm. (Dat) etw. (Akk) bestellen,8,0,0.0
etw. (Akk) ausbauen,7,0,0.0
jdn. (Akk) an / --- lügen,7,0,0.0
etw. (Akk) entdecken,7,0,0.0
jdn. (Akk) rufen,7,0,0.0
etw. (Akk) begehen,7,0,0.0
etw. (Akk) bewerten,7,0,0.0
zu etw. beitragen,7,0,0.0
jdn. (Akk) von etw. überzeugen,7,0,0.0
etw. (Akk) verursachen,7,0,0.0
etw. (Akk) mit jdm. besprechen,7,0,0.0
etw. (Akk) betreiben,7,0,0.0
jdm. (Dat) etw. (Akk) bieten,7,0,0.0
jdn. (Akk) mit etw. versorgen,7,0,0.0
jdn. (Akk) treten,7,0,0.0
jdn. (Akk) vertreten,7,0,0.0
etw. (Akk) aussprechen,7,0,0.0
jdn./etw. (Akk) anhalten,7,0,0.0
jdn. (Akk) / etw. (Akk) anstellen,7,0,0.0
jdm. (Dat) etw. (Akk) liefern,7,0,0.0
jdm. (Dat) etw. (Akk) ermöglichen,7,0,0.0
etw. (Akk) schließen,7,0,0.0
etw. (Akk) äußern,7,0,0.0
auf etw. eingehen,7,0,0.0
jdm. (Dat) ausreichen,7,0,0.0
etw. (Akk) auslösen,7,0,0.0
etw. (Akk) testen,7,0,0.0
etw./jdn. (Akk) darstellen,7,0,0.0
etw. (Akk) verbreiten,7,0,0.0
etw. (Akk) besetzen,7,0,0.0
über jdn. (Akk) herrschen,7,0,0.0
etw. (Akk) anlegen,7,0,0.0
etw. (Akk) regeln,7,0,0.0
nach etw. greifen,6,0,0.0
etw. (Akk) wiederholen,6,0,0.0
jdm. (Dat) etw. (Akk) / etw. (Akk) abziehen,6,0,0.0
jdm. (Dat) etw. (Akk) beweisen,6,0,0.0
jdn. (Akk) erschießen,6,0,0.0
jdm. (Dat) etw. (Akk) sichern,6,0,0.0
etw. (Akk) behaupten,6,0,0.0
auf jdn./etw. schießen,6,0,0.0
sich an jdm./etw. orientieren,6,0,0.0
etw./jdn. (Akk) / sich vor jdm. fürchten,6,0,0.0
etw. (Akk) veröffentlichen,6,0,0.0
etw. (Akk) anerkennen,6,0,0.0
jdm. (Dat) etw. (Akk) erfüllen,6,0,0.0
etw. (Akk) erledigen,6,0,0.0
etw. (Akk) einkaufen,6,0,0.0
jdn./etw. (Akk) durch jdn./etw. ersetzen,6,0,0.0
jdm. (Dat) etw. (Akk) abnehmen,6,0,0.0
etw. (Akk) aussetzen,6,0,0.0
etw. (Akk) vermuten,6,0,0.0
etw. (Akk) finanzieren,6,0,0.0
etw. (Akk) senken,6,0,0.0
sich (Dat) etw. (Akk) leisten,6,0,0.0
etw. (Akk) definieren,6,0,0.0
mit jdm./etw. / etw. (Akk) umgehen,6,0,0.0
jdm. (Dat) erscheinen,6,0,0.0
jdn./etw. (Akk) anzeigen,6,0,0.0
jdn. (Akk) auf etw. ansprechen,6,0,0.0
etw. (Akk) errichten,6,0,0.0
jdn. (Akk) mit jdm. verheiraten,6,0,0.0
jdm. (Dat) etw. (Akk) erlauben,6,0,0.0
jdm. (Dat) etw. (Akk) übertragen,6,0,0.0
etw. (Akk) betonen,6,0,0.0
etw. (Akk) spüren,6,0,0.0
jdm. (Dat) zu etw. raten,6,0,0.0
jdm. (Dat) für etw. danken,6,0,0.0
jdm. (Dat) etw. (Akk) hinterlassen,6,0,0.0
jdn./etw. (Akk) mitnehmen,6,0,0.0
jdn. (Akk) heiraten,6,0,0.0
jdm. (Dat) geschehen,6,0,0.0
etw. (Akk) vor jdm. verstecken,6,0,0.0
etw. (Akk) vermeiden,6,0,0.0
jdm. (Dat) etw. (Akk) vorwerfen,6,0,0.0
jdn. (Akk) bei etw. stören,6,0,0.0
über jdn./etw. lachen,5,0,0.0
von etw. (Dat) profitieren,5,0,0.0
etw. (Akk) bekämpfen,5,0,0.0
jdn. (Akk) von etw. ablenken,5,0,0.0
jdn. (Akk) über etw. aufklären,5,0,0.0
in etw. (Akk) geraten,5,0,0.0
jdm. (Dat) etw. (Akk) / etw. (Akk) verbrennen,5,0,0.0
etw. (Akk) fortsetzen,5,0,0.0
jdm. (Dat) begegnen,5,0,0.0
etw. (Akk) feiern,5,0,0.0
etw. (Akk) befürchten,5,0,0.0
etw. (Akk) erfassen,5,0,0.0
für jdn./etw. / in etw. (Akk) eintreten,5,0,0.0
jdn. (Akk) / sich bei jdm. entschuldigen,5,0,0.0
gegen etw. / auf etw. stoßen,5,0,0.0
jdn./etw. (Akk) laden,5,0,0.0
von jdm./etw. abhängen,5,0,0.0
jdm. (Dat) auf etw. antworten,5,0,0.0
etw./jdn. (Akk) mit jdm./etw. vergleichen,5,0,0.0
etw. (Akk) / sich ausbreiten,5,0,0.0
jdm. (Dat) etw. (Akk) aufmachen,5,0,0.0
etw. (Akk) verbrauchen,5,0,0.0
etw. (Akk) zusammenfassen,5,0,0.0
etw./jdn. (Akk) erwarten,5,0,0.0
etw. (Akk) an jdn. richten,5,0,0.0
etw. (Akk) enthalten,5,0,0.0
etw. (Akk) / jdm. (Dat) etw. (Akk) brechen,5,0,0.0
jdn. (Akk) festnehmen,5,0,0.0
etw. (Akk) / sich an jdn. wenden,5,0,0.0
jdn./etw. (Akk) ausnutzen,5,0,0.0
etw. (Akk) vereinfachen,5,0,0.0
etw. (Akk) an jdn. verteilen,5,0,0.0
etw. (Akk) von jdm. verlangen,5,0,0.0
jdm. (Dat) etw. (Akk) stehlen,5,0,0.0
etw. (Akk) anwenden,5,0,0.0
etw. (Akk) wechseln,5,0,0.0
jdm. (Dat) nach etw. schmecken,5,0,0.0
jdm. (Dat) etw. (Akk) vermitteln,5,0,0.0
etw. (Akk) erfinden,5,0,0.0
etw. (Akk) schieben,5,0,0.0
etw./jdn. (Akk) untersuchen,5,0,0.0
etw. (Akk) erzeugen,5,0,0.0
jdn. (Akk) enttäuschen,4,0,0.0
in etw. (Akk) investieren,4,0,0.0
jdm. (Dat) etw. (Akk) wegnehmen,4,0,0.0
jdn. (Akk) zu etw. motivieren,4,0,0.0
jdn./etw. (Akk) loswerden,4,0,0.0
jdn./etw. (Akk) fangen,4,0,0.0
etw. (Akk) üben,4,0,0.0
mit jdm. über etw. (Akk) streiten,4,0,0.0
jdn./etw. (Akk) ausschließen,4,0,0.0
etw. (Akk) wagen,4,0,0.0
an etw. (Dat) scheitern,4,0,0.0
auf jdn. (Akk) zukommen,4,0,0.0
etw. (Akk) aufstellen,4,0,0.0
etw. (Akk) unterschreiben,4,0,0.0
jdm. (Dat) vertrauen,4,0,0.0
etw. (Akk) drücken,4,0,0.0
etw. (Akk) zugeben,4,0,0.0
etw. (Akk) steuern,4,0,0.0
etw. (Akk) einnehmen,4,0,0.0
etw./jdn. (Akk) von jdm./etw. trennen,4,0,0.0
etw. (Akk) löschen,4,0,0.0
jdm. (Dat) etw. (Akk) / jdn. (Akk) verraten,4,0,0.0
über etw. (Akk) / etw. (Akk) mit jdm. abstimmen,4,0,0.0
etw. (Akk) gestalten,4,0,0.0
jdn./etw. (Akk) als etw. betrachten,4,0,0.0
etw. (Akk) verlegen,4,0,0.0
etw. (Akk) rauchen,4,0,0.0
etw. (Akk) überschreiten,4,0,0.0
jdn. (Akk) zu etw. / sich auf etw. berufen,4,0,0.0
jdm. (Dat) etw. (Akk) anbieten,4,0,0.0
jdm. (Dat) etw. (Akk) aufschreiben,4,0,0.0
etw. (Akk) mit etw. füllen,4,0,0.0
jdm. (Dat) entgehen,4,0,0.0
etw. (Akk) ausführen,4,0,0.0
etw. (Akk) kommentieren,4,0,0.0
etw. (Akk) einrichten,4,0,0.0
jdn. (Akk) zu etw. zwingen,4,0,0.0
jdm. (Dat) mit etw. drohen,4,0,0.0
etw./jdn. (Akk) von etw./jdm. unterscheiden,4,0,0.0
etw. (Akk) in etw. übersetzen,4,0,0.0
aus etw. / von jdm. stammen,4,0,0.0
jdm. (Dat) etw. (Akk) schenken,4,0,0.0
etw./jdn. (Akk) bemerken,4,0,0.0
jdn./etw. (Akk) stoppen,4,0,0.0
etw. (Akk) einschränken,4,0,0.0
etw. (Akk) in etw. eintragen,4,0,0.0
etw./jdn. (Akk) / sich (Dat/Akk) waschen,4,0,0.0
jdn./etw. (Akk) unterdrücken,4,0,0.0
jdn. (Akk) verhaften,4,0,0.0
jdm. (Dat) etw. (Akk) nachweisen,4,0,0.0
jdn./etw. (Akk) abholen,4,0,0.0
jdn./etw. (Akk) / sich (Dat) etw. (Akk) angucken,4,0,0.0
jdn./etw. (Akk) / sich (Gen) bedienen,4,0,0.0
auf jdn./etw. (Akk) achten,4,0,0.0
jdn./etw. (Akk) aufhalten,4,0,0.0
etw. (Akk) besitzen,4,0,0.0
etw. (Akk) dulden,4,0,0.0
jdn./etw. (Akk) stärken,4,0,0.0
etw. (Akk) bei jdm. abgeben,4,0,0.0
jdn. (Akk) / sich über jdn./etw. aufregen,4,0,0.0
jdm. (Dat) etw. (Akk) weitergeben,4,0,0.0
jdn./etw. (Akk) versammeln,4,0,0.0
etw. (Akk) beschädigen,4,0,0.0
auf etw. zurückkommen,4,0,0.0
nach etw. riechen,4,0,0.0
etw. (Akk) / sich zurückziehen,4,0,0.0
jdn. (Akk) / sich umbringen,4,0,0.0
etw. (Akk) benötigen,4,0,0.0
etw. (Akk) bei jdm. einreichen,4,0,0.0
etw./jdn. (Akk) gegenüber jdm. erwähnen,3,0,0.0
jdm. (Dat) etw. (Akk) erschweren,3,0,0.0
etw. (Akk) packen,3,0,0.0
in etw. (Akk) / zu etw. übergehen,3,0,0.0
jdn./etw. (Akk) anführen,3,0,0.0
auf jdn./etw. (Akk) aufpassen,3,0,0.0
etw. (Akk) treiben,3,0,0.0
etw. (Akk) registrieren,3,0,0.0
zu etw. gelangen,3,0,0.0
mit jdm./etw. (Dat) übereinstimmen,3,0,0.0
etw. (Akk) überstehen,3,0,0.0
etw. (Akk) belegen,3,0,0.0
etw. (Akk) ergänzen,3,0,0.0
etw. (Akk) / sich auf etw. stützen,3,0,0.0
etw. (Akk) aufheben,3,0,0.0
etw. (Akk) betreten,3,0,0.0
etw. (Akk) durchziehen,3,0,0.0
etw. (Akk) erweitern,3,0,0.0
jdn./etw. (Akk) prägen,3,0,0.0
etw. (Akk) verlängern,3,0,0.0
jdn./etw. (Akk) abbilden,3,0,0.0
etw. (Akk) mitmachen,3,0,0.0
jdn./etw. (Akk) aufsuchen,3,0,0.0
sich (Dat) etw. (Akk) / --- zulegen,3,0,0.0
jdm. (Dat) etw. (Akk) / sich (Dat) beschaffen,3,0,0.0
jdm. (Dat) etw. (Akk) mitteilen,3,0,0.0
jdn. (Akk) bei etw. erwischen,3,0,0.0
vor jdm./etw. (Dat) fliehen,3,0,0.0
jdn. (Akk) von etw. (Dat) abhalten,3,0,0.0
etw. (Akk) abschließen,3,0,0.0
in etw. (Akk) eingreifen,3,0,0.0
etw. (Akk) aus etw. entfernen,3,0,0.0
jdn. (Akk) mit etw. bedrohen,3,0,0.0
jdm. (Dat) etw. (Akk) / sich (Dat) jdm. widmen,3,0,0.0
jdm. (Dat) etw. (Akk) antun,3,0,0.0
jdn./etw. (Akk) wiedersehen,3,0,0.0
etw. (Akk) ahnen,3,0,0.0
etw. (Akk) messen,3,0,0.0
etw. (Akk) fassen,3,0,0.0
etw. (Akk) aktivieren,3,0,0.0
etw. (Akk) in etw. einbringen,3,0,0.0
jdm. (Dat) etw. (Akk) zurückgeben,3,0,0.0
etw. (Akk) vor jdm. verbergen,3,0,0.0
jdn. (Akk) versetzen,3,0,0.0
jdm. (Dat) etw. (Akk) eröffnen,3,0,0.0
jdm. (Dat) widersprechen,3,0,0.0
jdm. (Dat) / etw. (Dat) zustimmen,3,0,0.0
aus etw. (Dat) ausbrechen,3,0,0.0
jdm. (Dat) etw. (Akk) gestehen,3,0,0.0
etw. (Akk) einleiten,3,0,0.0
etw. (Akk) ermitteln,3,0,0.0
etw. (Akk) schneiden,3,0,0.0
jdn. (Akk) zu etw. verpflichten,3,0,0.0
jdm. (Dat) etw. (Akk) vergeben,3,0,0.0
etw. (Akk) festlegen,3,0,0.0
etw. (Akk) beschließen,3,0,0.0
etw. (Akk) verschieben,3,0,0.0
jdn. (Akk) beruhigen,3,0,0.0
jdn. (Akk) auf etw. (Akk) hinweisen,3,0,0.0
etw. (Akk) ansetzen,3,0,0.0
etw. (Akk) / gegen/für etw. demonstrieren,3,0,0.0
etw. (Akk) umstellen,3,0,0.0
an etw. (Dat) teilnehmen,3,0,0.0
jdn. (Akk) über etw. informieren,3,0,0.0
jdn./etw. (Akk) verdrängen,3,0,0.0
aus etw. (Dat) ausscheiden,3,0,0.0
jdm. (Dat) etw. (Akk) ankündigen,3,0,0.0
jdn./etw. (Akk) fördern,3,0,0.0
etw. (Akk) ordnen,3,0,0.0
jdn./etw. (Akk) schätzen,3,0,0.0
etw. (Akk) / sich lassen scheiden,3,0,0.0
jdm. (Dat) etw. (Akk) präsentieren,3,0,0.0
etw. (Akk) genießen,3,0,0.0
auf etw. (Dat) basieren,3,0,0.0
mit jdm. zusammenkommen,3,0,0.0
etw. (Akk) / sich abspielen,3,0,0.0
in etw. (Dat) / etw. (Akk) rühren,3,0,0.0
etw. (Akk) / jdm. (Dat) etw. ausmachen,3,0,0.0
etw. (Akk) angeben,3,0,0.0
etw./jdm. (Dat) angehören,3,0,0.0
zu jdm. / für jdn./etw. beten,3,0,0.0
von etw. (Dat) zurücktreten,3,0,0.0
etw. (Akk) probieren,3,0,0.0
jdn./etw. (Akk) berühren,2,0,0.0
in etw. (Akk) / etw. (Akk) einziehen,2,0,0.0
jdm. (Dat) etw. (Akk) andeuten,2,0,0.0
etw. (Akk) überwinden,2,0,0.0
jdn. (Akk) vor etw. (Dat) warnen,2,0,0.0
etw. (Akk) einsehen,2,0,0.0
etw. (Akk) anrichten,2,0,0.0
jdn./etw. (Akk) ausnehmen,2,0,0.0
etw. (Akk) erwerben,2,0,0.0
jdn. (Akk) wecken,2,0,0.0
jdn./etw. (Akk) jagen,2,0,0.0
jdm./etw. (Dat) etw. (Akk) entnehmen,2,0,0.0
jdn./etw. (Akk) in etw. (Akk) verwandeln,2,0,0.0
etw. (Akk) beantragen,2,0,0.0
in etw. (Akk) einsteigen,2,0,0.0
jdm. (Dat) über etw./jdn. berichten,2,0,0.0
jdn./etw. (Akk) mit jdm./etw. identifizieren,2,0,0.0
zwischen etw. (Dat) differenzieren,2,0,0.0
jdn. (Akk) von etw. befreien,2,0,0.0
etw. (Akk) formulieren,2,0,0.0
etw. (Akk) ausfüllen,2,0,0.0
jdm. (Dat) gefallen,2,0,0.0
etw. (Akk) beachten,2,0,0.0
über etw. (Akk) verfügen,2,0,0.0
etw. (Akk) abbauen,2,0,0.0
zu etw. (Dat) neigen,2,0,0.0
über etw. (Akk) hinausgehen,2,0,0.0
jdn./etw. (Akk) trainieren,2,0,0.0
etw. (Akk) übertreiben,2,0,0.0
etw. (Akk) ausprobieren,2,0,0.0
etw. (Akk) etablieren,2,0,0.0
jdn./etw. (Akk) pflegen,2,0,0.0
jdn./etw. (Akk) zitieren,2,0,0.0
jdn./etw. (Akk) wiegen,2,0,0.0
etw. (Akk) in etw. einbauen,2,0,0.0
etw. (Akk) in etw. umwandeln,2,0,0.0
jdm. (Dat) etw. (Akk) überlassen,2,0,0.0
jdm. (Dat) auffallen,2,0,0.0
etw. (Akk) an etw. kleben,2,0,0.0
etw. (Akk) erstellen,2,0,0.0
jdm. (Dat) etw. (Akk) entziehen,2,0,0.0
etw. (Akk) / aus etw. (Dat) ausziehen,2,0,0.0
jdm. (Dat) genügen,2,0,0.0
etw. (Akk) begründen,2,0,0.0
jdm. (Dat) etw. (Akk) singen,2,0,0.0
mit etw. zusammenhängen,2,0,0.0
etw. (Akk) aufführen,2,0,0.0
etw. (Akk) fressen,2,0,0.0
etw. (Akk) ausüben,2,0,0.0
jdm. (Dat) etw. (Akk) backen,2,0,0.0
mit jdm. zusammenleben,2,0,0.0
jdn./etw. (Akk) korrigieren,2,0,0.0
jdm. (Dat) etw. (Akk) anvertrauen,2,0,0.0
etw. (Akk) streichen,2,0,0.0
jdm. (Dat) etw. (Akk) verdanken,2,0,0.0
jdn./etw. (Akk) kritisieren,2,0,0.0
etw. (Akk) auf etw. beschränken,2,0,0.0
jdn./etw. (Akk) beeinflussen,2,0,0.0
auf etw. (Akk) blicken,2,0,0.0
jdn./etw. (Akk) hassen,2,0,0.0
etw. (Akk) ergreifen,2,0,0.0
von jdm./etw. träumen,2,0,0.0
jdn. (Akk) faszinieren,2,0,0.0
jdm. (Dat) etw. (Akk) / sich (Dat) etw. (Akk) aussuchen,2,0,0.0
jdn. (Akk) begleiten,2,0,0.0
jdn. (Akk) überfordern,2,0,0.0
jdm. (Dat) zustehen,2,0,0.0
etw. (Akk) zulassen,2,0,0.0
etw. (Akk) abreißen,2,0,0.0
etw. (Akk) durchgehen,2,0,0.0
