n,stratum,pattern,gloss,surface,text,video,start,verdict,what,note,judge,rule
14,uniform,die Bombe,die Bombe means bomb.,die türkische Bombe,Sorry für die türkische Bombe.,uAS-BBiLpPk,255.613,frame,,,claude-opus-5,
15,uniform,an etw. (Dat) sterben,an etwas sterben means to die from or of something (often used metaphorically for emotional loss).,gestorben,"Wir hatten da mal einen Fall, da war ein älterer Herr gestorben, der mit seinem Enkel immer geschnitzt hat.",HQTggSUfZPI,756.48,other,sterben (intransitive),"no ""an""",claude-opus-5,
16,uniform,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,gibt Nomaden,"Dann gibt es Nomaden wie Joe (oben rechts): Er verkauft CDs, also seine eigenen Alben im Internet, macht Straßenmusik und macht dadurch Werbung für sich.",rKXhABYxKFQ,800.019,construction,es gibt,,claude-opus-5,es_gibt
17,uniform,der Arm,der Arm means poor person (archaic/poetic usage with 'arme').,Arm,Grade in den Erdölländern gibt es außerdem krasse innergesellschaftliche Unterschiede zwischen Arm und Reich.,IAD_fVFE6y8,519.0,other,"arm (adjective, nominalised)",Arm und Reich,claude-opus-5,
18,uniform,zu etw. / etw. (Akk) zählen,zu etwas zählen means to rely on someone or something.,zählen zum Umlaufvermögen,"Denn die zählen zum Umlaufvermögen und da gilt das strenge Niederstwertprinzip, wo immer der niedrigste Wert angesetzt wird.",lkikWHgBNBE,251.739,frame,,,claude-opus-5,
19,uniform,etw./jdn. (Akk) haben,,haben,"Die Kollegen vom MDR, vom Mitteldeutschen Rundfunk, haben das für Thüringen einmal ausgewertet und kommen auf insgesamt 80 verschiedene Aufgabengebiete bei einem Landrat in Thüringen.",2VyID0MpxuQ,215.28,other,auxiliary (perfect),,claude-opus-5,aux
20,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,sagt,Iran sagt aber gleichzeitig auch: Damit ist unsere Reaktion abgeschlossen.,DAd_SwiwH04,700.6,frame,,recipient elided,claude-opus-5,
21,uniform,die Million,die Million means million.,den letzten Millionen Jahren,Jäger und Sammler hat es in den letzten paar Millionen Jahren definitiv gegeben.,WhbGobY3hUg,195.85,frame,,,claude-opus-5,
22,uniform,das Beispiel,das Beispiel means example.,diesem Beispiel,"In diesem Beispiel liegt der Fokus darauf, dass er kocht.",eH4DPgtAx_A,183.19333333333336,frame,,,claude-opus-5,
23,uniform,etw./jdn. (Akk) hören,etwas hören means to hear something.,hört,"Ich erwähne ihn hier aber, damit ihr wisst, was er bedeutet, wenn ihr ihn mal irgendwo lest oder hört.",20btdxHqWD8,555.2046875000002,frame,,,claude-opus-5,
24,uniform,das Labor,das Labor means laboratory.,Labor,"Das weiß ich als Chemikerin leider aus eigener Erfahrung, weil man im Labor auch ab und an mit H2S hantiert.",LQAF3b0luDw,102.0,frame,,,claude-opus-5,
25,uniform,die Bevölkerung,die Bevölkerung means the population.,die deutsche Bevölkerung,Und die deutsche Bevölkerung ist in Kauflaune.,6PigxzKR84w,688.2,frame,,,claude-opus-5,
26,uniform,das Prozent,das Prozent means percent.,100 Prozent Akku,"Ich hatte das mehrmals bei Gorillas, dass die E-Bikes, obwohl die vollgeladen waren, 100 Prozent Akku hatten, nicht richtig funktioniert haben.",YjKKy361zZ0,415.28,frame,,,claude-opus-5,
27,uniform,jdn./etw. (Akk) vor etw. (Dat) bewahren,jemanden vor etwas bewahren means to save someone/something from something.,Gott bewahre,"Gott bewahre, dass irgendjemand außer Aron Glückstein etwas von der Welt versteht.",9kwL5Msx9TQ,1947.6421917808218,construction,Gott bewahre,,claude-opus-5,
28,uniform,jdm. (Dat) etw. (Akk) schicken,jemandem etwas schicken means to send something to someone.,einen Öltanker schickt,"Das heisst, das funktioniert letztlich über Einschüchterung, dass im Augenblick kein Land gewillt ist, sich Ärger mit den USA einzufangen, indem man einen Öltanker schickt.",FMJT0rrH_Ig,127.6,frame,,recipient elided,claude-opus-5,
29,uniform,über etw. (Akk) entscheiden,über etwas entscheiden means to make a decision about something.,entscheidet,"Weil das Gehirn entscheidet, was wir essen, liegt dem Mikrobiom seine Gesundheit am Herzen.",_WP9Piwsexo,225.88,frame,,clause object,claude-opus-5,
30,uniform,etw./jdn. (Akk) vergessen,etwas vergessen means to forget something.,vergessen,Abonnieren und Liken nicht vergessen.,q9KRDebumfc,1044.1124050632911,frame,,,claude-opus-5,
31,uniform,"nichts, nix",,nichts,"Ja, das ist sinnvoll, damit wir nichts vergessen.",1_Sne_JjXLU,496.013,frame,,,claude-opus-5,
32,uniform,jdm. (Dat) etw. (Akk) zeigen,jemandem etwas zeigen means to show something to someone.,zeigte,"Nur sie hatte kein Licht, das zeigte, welcher Hebel der richtige war.",mt-bI6tH5uU,559.16,frame,,recipient elided,claude-opus-5,
33,uniform,jdn./etw. (Akk) mitnehmen,jemanden mitnehmen means to take someone or something along.,euch mitnehmen,"Na los, jetzt sind wir wieder die M. Hey, könnt ihr euch mitnehmen?",s-PargCRexE,406.6263157894737,frame,,garbled reflexive but the frame is there,claude-opus-5,
34,uniform,der Freund,der Freund means friend.,Freunden,Das kann ein liebevoller Scherz unter Freunden sein oder ein gemeiner Kommentar.,XfkeDWCNnjM,459.0219178082192,frame,,,claude-opus-5,
35,uniform,etw./jdn. (Akk) haben,,hat,"Das war so lange kein Problem, bis Russland die Ukraine angegriffen hat.",titv-tZ4iB8,201.36,other,auxiliary (perfect),,claude-opus-5,aux
36,uniform,die Wand,die Wand means wall.,der Wand,"Du kannst Rasenmähen, Nägel aus der Wand ziehen und arbeitest gerne mit Moltofill?",21ZiBKfLQ2Y,904.36,frame,,,claude-opus-5,
37,uniform,das Jahr,das Jahr means year.,5 Jahren,Ich habe vor 5 Jahren eine Ausbildung gemacht und arbeite jetzt als Angestellter in einer Bank.,uplNqv7NHrM,39.682,frame,,,claude-opus-5,
38,uniform,der Gott,der Gott means God.,mein Gott,"Oh mein Gott, mein Aschkem.",sYUiXe_Qu3Q,597.0110000000001,construction,oh mein Gott,,claude-opus-5,
39,uniform,etw. (Akk) vermeiden,etwas vermeiden means to avoid something.,vermeiden,Aber die Forschung zeigt: Sie sind kaum zu vermeiden.,1nnKydcqmDI,599.64,frame,,,claude-opus-5,
40,uniform,etw./jdn. (Akk) haben,,hat,Sie hat bestimmt nur Hunger.,PQueNUkAZJ4,446.471,frame,,Hunger haben,claude-opus-5,
41,uniform,etw. (Akk) errichten,etwas errichten means to construct or build (a physical structure).,errichten einen eigenen Staat,"Dort errichten sie einen eigenen Staat, eigentlich setzen sie ihren alten Staat fort, nur eben viel kleiner.",US3fwfUaTPM,160.12,frame,,,claude-opus-5,
42,uniform,für/gegen jdn./etw. stimmen,für jemanden stimmen means to be wrong or incorrect.,stimmt,"Und der konnte uns auch ganz genau sagen, was nicht stimmt.",u-9EvVPrDE0,952.64,other,stimmen (be right),,claude-opus-5,
43,uniform,das Ensemble,das Ensemble means all the performers in a theater or opera company.,Ensemble,"Ensemble war bei der letzten Wahl zweitstärkste Kraft, hat aber ebenfalls keine absolute Mehrheit im Parlament.",iF8crBezySA,218.72,other,proper noun,"Ensemble, Macron's coalition",claude-opus-5,
44,uniform,jdm. (Dat) etw. (Akk) aufschreiben,jemandem etwas aufschreiben means to write something down for someone (to record or list).,falsche Dinge aufschreibt in Brandenburg,"Bei der Auszählung wird genau darauf geachtet, dass nicht jemand falsche Dinge aufschreibt wie in Brandenburg, oder Stimmzettel verschwinden lässt.",pyXS4ytSIGY,449.8,frame,,,claude-opus-5,
45,uniform,die Veränderung,die Veränderung means change.,eine Veränderung,Konnten Sie eine Veränderung feststellen bei ihm?,LhIV_MhdhuE,534.28,frame,,,claude-opus-5,
46,uniform,der Geschäftsführer,,den Geschäftsführer,"In ganz großen Firmen kann es sein, dass man als Angestellter den Geschäftsführer niemals trifft.",IAWGZlRouds,798.1509433962264,frame,,,claude-opus-5,
47,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,sagen,Wir können sagen: Es läuft wie am Schnürchen. “Schnürchen” ist die Verniedlichungsform von “Schnur”.,gJbNr0rpPa8,453.88363636363636,frame,,,claude-opus-5,
48,uniform,etw. (Akk) wissen,etwas wissen means to know something.,wissen wenig über sie,"Leider wissen wir insgesamt wenig über sie, weil ihr kulturelles Erbe weitgehend zerstört wurde.",lXNS_pLFkdk,870.88,frame,,,claude-opus-5,
49,uniform,vor jdm./etw. (Dat) fliehen,vor jemandem fliehen means to flee from someone/something.,fliehen in die Keller,Die überraschten Einwohner fliehen in die Keller ihrer Häuser.,htPOnvQZSBU,286.0,other,fliehen (in/into),"no ""vor""",claude-opus-5,
50,uniform,das Jahr,das Jahr means year.,zehn Jahre,Schiedsrichter gab es nämlich erst rund zehn Jahre später.,-jPx81Y10oE,798.96,frame,,,claude-opus-5,
51,uniform,mit jdm. / über etw. reden,mit jemandem reden means to talk with someone.,mit uns reden,Er darf nicht so mit uns reden.,PFsFOWjW33A,334.3707894736842,frame,,,claude-opus-5,
52,uniform,jdm. (Dat) etw. (Akk) erzählen,jemandem etwas erzählen means to tell someone something.,Das erzähle,Das warst du. Das erzähle ich Opa Krasnachi.,hD2dmcEwhSM,281.066,frame,,,claude-opus-5,
53,uniform,die Frau,die Frau means wife.,Frauen,"Männer werden zum Kriegsdienst gezwungen, Frauen als sogenannte „Trostfrauen“ zur Prostitution missbraucht.",A5K_hGOVs6M,87.12,frame,,,claude-opus-5,
54,uniform,der Bundestag,der Bundestag means the German federal parliament.,des Bundestags,"Wie gesagt, das sind die ersten Worte, die Friedrich Merz am Mikrofon des Bundestags im Rahmen einer Rede gesprochen hat.",2cIoqnF___g,281.36,frame,,,claude-opus-5,
55,uniform,jdm. (Dat) vertrauen,jemandem vertrauen means to trust someone.,den EU-Einrichtungen vertrauen,"Mehr Transparenz und Verantwortung sind dringend nötig, wenn die Bürger den EU-Einrichtungen vertrauen sollen.",8o2yaqECGc0,178.36,frame,,,claude-opus-5,
56,uniform,die Macht,die Macht means power.,die Macht,Klar ist: die Macht von Amazon ist die Macht von Jeff Bezos.,REc4p2B40a4,354.84,frame,,,claude-opus-5,
57,uniform,etw./jdn. (Akk) haben,,keine 22 Minuten Zeit hat,"Und wer keine 22 Minuten Zeit hat, es gibt einen deutlich kürzeren Tagesthemen-Kommentar von mir.",u439pm8uYSk,1043.72,frame,,Zeit haben,claude-opus-5,
58,uniform,etw./jdn. (Akk) halten,etwas halten means to think or consider something/someone in a certain way.,Kurs halten,Jetzt ist also die Frage: Wer von beiden muss Kurs halten und wer muss ausweichen?,45aaYCbJnW0,59.35,frame,,Kurs halten,claude-opus-5,
59,uniform,auf etw. / an etw. ankommen,auf etwas ankommen means to depend on something.,ankommt,"Sondern sie macht das erstens, weil es der eigenen Überzeugung entspricht, aber zweitens, weil sie damit auch ankommt.",T3F2RD7ZVtw,2324.867,other,bei jdm. ankommen (be well received),,claude-opus-5,
60,uniform,etw. (Akk) können,,kann,"So kann man ein teures, luxuriöseres Auto nennen, oft einen Sportwagen.",clPqclHEDh4,263.6095999999999,other,modal,,claude-opus-5,modal
61,uniform,etw./jdn. (Akk) haben,,haben,"Und auch in den USA gab es v.a. Deutschstämmige, die gesagt haben: Was die Nazis machen, ist gut.",j2Gqj84sm60,159.28,other,auxiliary (perfect),,claude-opus-5,aux
62,uniform,die Verhandlung,die Verhandlung means negotiation.,langen Verhandlungen,"Weil alle wissen, dass sie ihre jeweiligen Ziele allein nicht durchsetzen können, suchen sie Verbündete in langen und natürlich geheimen Verhandlungen.",9-c1z6ra8Lk,245.52,frame,,,claude-opus-5,
63,uniform,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,was machen,"Das ist alles interessant, aber war gar nicht das, was ich machen sollte.",JC2IG6tnnfs,248.96328767123288,frame,,,claude-opus-5,
64,uniform,etw./jdn. (Akk) halten,etwas halten means to think or consider something/someone in a certain way.,seine Kolonien halten,Großbritannien hätte seine Kolonien auf Dauer nicht halten können.,uxxMMuHFlVM,258.2,frame,,,claude-opus-5,
65,uniform,jdm. (Dat) etw. (Akk) sagen,jemandem etwas sagen means to tell someone something.,gesagt auf meiner Website,"Schaut wie gesagt gerne auf meiner Website vorbei, wenn ihr die Verben mit ""lassen"" üben möchtet.",WTrtXWBjGNI,1236.94,construction,wie gesagt,,claude-opus-5,
66,uniform,der Junge,der Junge means boy.,mein Junge,"Sag mal, mein Junge, was weißt du eigentlich über die Ritzlertagebücher?",Vb9df_r0pZo,2443.3489999999997,frame,,,claude-opus-5,
67,uniform,jdm. (Dat) etw. (Akk) geben,jemandem etwas geben means to give something to someone.,gibt das drittelraster,"Dort gibt es das drittelraster, welches hier leitfaden für Dritte heißt.",hG74y-GbtRA,2044.820290322581,construction,es gibt,,claude-opus-5,es_gibt
68,uniform,etw. (Akk) / jdm. (Dat) etw. (Akk) brechen,etwas brechen means to break something (physically or figuratively).,durch Krieg gebrochen,Widerstand wird durch Krieg gebrochen.,rVLYaU1mNjY,625.64,frame,,passive,claude-opus-5,
69,uniform,der Bundestag,der Bundestag means the German federal parliament.,Bundestag,Zugleich sind 21 Lobbyisten der Bahn im Bundestag registriert.,uNyDB90V_GY,1877.16,frame,,,claude-opus-5,
70,uniform,etw. (Akk) wissen,etwas wissen means to know something.,was weiß 150,Du bist was weiß ich 120 150 vielleicht bist du auch schon bei 2 300 400%.,k1-aP3hZEHs,302.791,construction,was weiß ich,,claude-opus-5,
71,uniform,der König,der König means king.,König,Mit jeder Hilfeleistung erhält der Adel vom König über die Jahrhunderte ein neues Zugeständnis.,VjKdtZiRSXg,377.84,frame,,,claude-opus-5,
72,uniform,auf jdn./etw. wirken,auf jemanden wirken means to have an effect on someone / to work upon someone.,wirkt,Sie wirkt bodenständig und sympathisch.,ZJ9UjV9p6IE,298.03552777777765,other,wirken + adjective (seem),,claude-opus-5,
73,uniform,jdn. (Akk) um etw. bitten,jemanden um etwas bitten means to ask someone for something.,bittet seinen Vater,"Er bittet seinen Vater darum, dass Odysseus nie mehr in seine Heimat zurückkehrt.",UbYOutzCqyw,438.0,frame,,,claude-opus-5,
74,uniform,das Bild,das Bild means image.,das Bild,Oder das Bild geht viral.,Lc1P714o6uk,160.791,frame,,,claude-opus-5,
75,uniform,etw./jdn. (Akk) haben,,hätte,"Tu so, als hätte Travis etwas komisches gesagt.",3TwY5jtZJvM,2056.967671232877,other,auxiliary (perfect),,claude-opus-5,aux
76,uniform,etw. (Akk) mitmachen,etwas mitmachen means to participate in something.,mitmachen,Rund 110 Millionen Menschen können dabei mitmachen.,Pd-YCV0g6Cs,7.84,frame,,,claude-opus-5,
77,uniform,der Vater,der Vater means father.,mein Vater,"„Hallo, Lisa, mein Vater und ich brauchen deine Hilfe.",Lg5P2w_Ro1c,4459.96,frame,,,claude-opus-5,
78,uniform,etw./jdn. (Akk) haben,,hat,"Die OECD hat in verschiedenen Vergleichsstudien immer wieder ermittelt, dass Deutschland, was Bildungsgerechtigkeit angeht, nicht wirklich gut dasteht.",3PPd4lYvP0s,442.6,other,auxiliary (perfect),,claude-opus-5,aux
79,uniform,jdm. (Dat) / etw. (Dat) zustimmen,jemandem zustimmen means to agree with someone.,dem zuzustimmen,"Noch mehr in der Kritik steht Art. 13. Gerade wegen Art. 13 gibt es eine Petition, die das EU-Parlament dazu aufruft, dem nicht zuzustimmen.",2Ow9PXtJ6VI,247.48,frame,,,claude-opus-5,
80,uniform,mit etw. / etw. (Akk) beginnen,mit etwas beginnen means to start something.,begann vor 300 Jahren,Dann begann vor etwa 300 Jahren die Industrialisierung.,WhbGobY3hUg,123.4,other,beginnen (intransitive),,claude-opus-5,
81,uniform,jdn. (Akk) + Name (Akk) nennen,jemanden Name nennen means to give someone a name or to refer to someone by a name.,genannt,"Wie zum Beispiel beim Kompaniefeldwebel, der auch Spieß genannt wird.",9U-G-o2UBOE,299.8,frame,,passive,claude-opus-5,
82,uniform,die Lösung,die Lösung means solution.,die Lösung,"Und die Lösung: ""Die Hütte liegt etwas versteckt auf einem Hügel und kann nur zu Fuß erreicht werden."" Das ist eine ""Passiversatzform"".",dKH1-TgByIw,294.404,frame,,,claude-opus-5,
83,uniform,auf etw./jdn. schauen,auf etwas schauen means to look at something or to wait and see.,auf das Phänomen schauen,"Wir gehen jetzt zum Hamburger Verfassungsschutz und hören mal, wie die Sicherheitsbehörden auf das Phänomen schauen.",iYtJLOBEXa0,1654.92,frame,,,claude-opus-5,
84,uniform,etw. (Akk) umsetzen,etwas umsetzen means to implement or carry out something.,BVT-Merkblätter umsetzen,Neue Anlagen müssen BVT-Merkblätter sofort umsetzen.,ca4CuIj_U9w,6807.48537037037,frame,,,claude-opus-5,
85,uniform,mit etw. / von etw. handeln,mit etwas handeln means to act in relation to something or to deal with something.,sich sich bei Ramses II um den Pharao handelt,"Manche glauben sogar, dass es sich bei Ramses II um den Pharao der Bibel mit den zehn Plagen und dem Auszug aus Ägypten handelt.",UXKvwL8Ox6k,713.12,construction,es handelt sich um,,claude-opus-5,
86,uniform,jdm. (Dat) etw. (Akk) gewähren,jemandem etwas gewähren means to grant someone something.,sich sich gewährt,Aber der Bock hat sich gewährt.,xDmA0wqCdoI,1577.72,unclear,,gewährt for gewehrt; mis-transcription,claude-opus-5,
87,uniform,die Menge,die Menge means a large amount or quantity.,Eine Menge,Allein der #Fitness bei Instagram kommt auf 290 Mio.Treffer. Eine Menge.,1e8sRPB7kAo,15.52,construction,eine Menge (a lot),,claude-opus-5,
88,uniform,gegen jdn./etw. sich wehren,sich gegen jemanden wehren means to defend oneself against someone or something.,sich sich wehrt,"Wir haben damit den sogenannten inneren Schweinehund erklärt, der sich einfach immer wehrt, wenn man sich ändern will.",eaMxWzTZLbM,1206.84,frame,,,claude-opus-5,
89,uniform,das Mitglied,das Mitglied means member.,Mitglied,"In aktuellen Umfragen sagen mehr als 90 Prozent der Albaner, dass sie gerne Mitglied der Europäischen Union wären.",8v55eFkxZrQ,102.44,frame,,,claude-opus-5,
90,uniform,die Kosten,die Kosten means costs.,Die Kosten,"Die Kosten rühren im wesentlichen daher, dass sie in kleinen Stückzahlen produziert werden.",V6lo6yQ9_34,579.28,frame,,,claude-opus-5,
91,uniform,der Wunsch,der Wunsch means wish or desire.,ihr Wünsche,Und wenn ihr Wünsche habt für das nächste Video.,ipoJ0RUlYMA,281.72,frame,,,claude-opus-5,
92,uniform,die Information,die Information means information or notice.,weitere Informationen,"Wenn ihr mehr über sportpsychologische Interventions- und Präventionsprogramme erfahren wollt, ist natürlich unten in der Infobox verlinkt, wie weitere Informationen rund um dieses Thema.",hv0Hz2XMGXA,775.76,frame,,,claude-opus-5,
93,uniform,das Blut,das Blut means blood.,Königliches Blut,Königliches Blut müsste man haben.,11ofQQOKrPY,0.24,frame,,,claude-opus-5,
94,uniform,das Gesetz,das Gesetz means law.,Die Gesetze,Die Gesetze müssen sich mit der Technologie mitentwickeln.,x6C2oyDLjw4,1087.52,frame,,,claude-opus-5,
95,uniform,die Nation,die Nation means nation.,die Vereinten Nationen,Taiwan muss die Vereinten Nationen verlassen.,B4STPXDtl3M,363.48,frame,,"inside a proper name, Vereinte Nationen",claude-opus-5,
96,uniform,jdn./etw. (Akk) / sich (Dat) etw. (Akk) anschauen,jemanden anschauen means to look at someone or something closely.,Schauen uns uns das an an,"Schauen wir uns das mal etwas genauer an und starten nicht mit einer, sondern gleich mit zwei Parteien.",qGxHMjai01g,109.0,frame,,,claude-opus-5,
97,uniform,an etw. (Dat) sterben,an etwas sterben means to die from or of something (often used metaphorically for emotional loss).,sterben,Ich will nicht sterben. 30 Minuten später.,OY_KzayzfR4,721.541,other,sterben (intransitive),"no ""an""",claude-opus-5,
98,uniform,jdm. (Dat) etw. (Akk) schreiben,jemandem etwas schreiben means to write something to someone (or to write a letter/message).,mehr schreiben,Diese WM wird mehr schreiben als nur Fußballgeschichte.,EprQ9qtTafg,38.16,construction,Geschichte schreiben,,claude-opus-5,
99,uniform,der Freund,der Freund means friend.,Freunde,"Ach, aber Freunde, Hallo, ich kann es beweisen.",xDmA0wqCdoI,3410.6,frame,,,claude-opus-5,
100,uniform,"all, alle",,alle,"Eine lokale Anpassung, die alle betrifft, die über mehrere Generationen unter bestimmten Umweltbedingungen leben, egal, ob sie sich im Übrigen genetisch ähnlicher sind oder nicht.",FGAyYl3ZICw,407.84,frame,,,claude-opus-5,
101,uniform,etw./jdn. (Akk) haben,,hätten,"Zweitens gab es ja auch kommunistische, sozialdemokratische, liberale und religiös motivierte Widerstandsbewegungen, die nach dem Fall des Hitlerregimes am Wiederaufbau hätten mitwirken wollen.",MjvUoR4UjeY,405.64,other,auxiliary (perfect),,claude-opus-5,aux
102,uniform,der Fall,auf jeden Fall means definitely/absolutely.,jeden Fall,"""Diverse"" bedeutet einige, mehrere, aber auch unterschiedliche, diverse Vorteile, also auf jeden Fall ist es in unserem Kontext eher ein Synonym von ""einige"".",G5zMNermDzw,280.94756756756766,construction,auf jeden Fall,,claude-opus-5,
103,uniform,etw. (Akk) machen,etwas machen means to do something or to make/choose someone for a role.,auf jeden Fall mehr Sport machen,Ich will jedes Jahr auf jeden Fall mehr Sport machen.,psGJjpp9ZO0,442.0680701754386,frame,,,claude-opus-5,
104,uniform,jdm. (Dat) etw. (Akk) / sich (Dat) beschaffen,jemandem etwas beschaffen means to obtain or procure something for someone.,Teile für Brandsätze beschaffen,"Quasi unter den Augen der Polizei versucht er offenbar weiter, Teile für Brandsätze zu beschaffen.",LhIV_MhdhuE,256.24,frame,,,claude-opus-5,
105,uniform,die Politik,die Politik means politics (the field of government and public affairs).,Politik,Hier sind Politik und Liebesleben untrennbar miteinander verbunden.,pZoCCbeje_g,519.72,frame,,,claude-opus-5,
106,uniform,der Zeitraum,,diesem Zeitraum,Und der Knackpunkt ist: Genau in diesem Zeitraum ist Prüfungsphase an der Uni.,znUg17W526o,594.0,frame,,,claude-opus-5,
107,uniform,der Krieg,der Krieg means war.,diesen Krieg,Allerdings ohne diesen Krieg auch als solchen zu bezeichnen.,NcPJVH-9s-o,171.48,frame,,,claude-opus-5,
108,uniform,die Region,die Region means a geographical area or district.,der Region,Für Iran sind die Huthis ein wichtiger Partner in der Region.,yjoQx5WpNVU,259.16,frame,,,claude-opus-5,
109,uniform,jdm. (Dat) vorkommen,jemandem vorkommen means to seem or appear to someone.,Mir kommt vor vor,"Mir kommt das vor, als wären das 100 Meter.",4keS4prD-kA,1228.76,frame,,,claude-opus-5,
110,uniform,der Punkt,der Punkt means a point or item on a list/agenda.,diese innenpolitischen Punkte,Auf uns in Deutschland haben diese innenpolitischen Punkte natürlich kaum Auswirkungen.,ObDrBJIPMtc,500.64,frame,,,claude-opus-5,
111,uniform,etw. (Akk) ziehen,etwas ziehen means to move (residence).,Als Erwachsener zieht als Wanderprediger,Als Erwachsener zieht er als Wanderprediger durchs Land.,oUzail_XJsc,55.08,other,"ziehen (move, intransitive)",,claude-opus-5,
112,uniform,der Vater,der Vater means father.,meinen Vater,Wollen wir meinen Vater anrufen?,7LFpgPkOsoE,554.875,frame,,,claude-opus-5,
113,uniform,der Mensch,der Mensch means person/people.,Menschen,Sie kann Menschen verhaften und dann entsprechend die Abschiebungen vorbereiten.,DHHBy760b0Y,269.6,frame,,,claude-opus-5,
114,uniform,die Periode,die Periode means a specific duration or interval of time.,seiner blauen Periode,Er lebte die ersten Jahre seiner blauen Periode nur von Rugelach und Mar.,DAhmm1LS43g,4722.486857142856,frame,,,claude-opus-5,
115,uniform,der Mann,der Mann means the man (specific individual).,Viele junge Männer,"Viele junge Männer radikalisieren sich, treten Terrorgruppen bei.",8cgWrmb1K54,273.48,frame,,,claude-opus-5,
116,uniform,der Betrieb,der Betrieb means workplace.,Betriebe,"Man darf auch weiter Betriebe mit Publikumsverkehr besuchen, ist aber angewiesen, einen Mindestabstand von 1,5m einzuhalten.",6LTz9YZwapU,147.52,frame,,,claude-opus-5,
117,uniform,die Politik,die Politik means politics (the field of government and public affairs).,keine linke Politik,Es gibt keine linke Mehrheit und keine linke Politik mehr in Deutschland.,sLI1Dg5-Twg,296.6,frame,,,claude-opus-5,
118,uniform,das Auge,das Auge means eye.,bloßem Auge,Sie leuchten nicht besonders hell und man kann sie deshalb nicht mit bloßem Auge am Nachthimmel erkennen.,ap6VS5anhCc,48.48,frame,,"mit bloßem Auge, literal enough",claude-opus-5,
119,uniform,die Wohnung,die Wohnung means apartment.,die Wohnung,Dann müssen Sie die Wohnung verlassen.,Kp54Sq0V_AY,612.0,frame,,,claude-opus-5,
