set,sentence,position,surface,gold,tag,found,md,ok_md,md_repaired,ok_md_repaired,st,ok_st,acc,ok_acc
overrides,"Wenn ich dir irgendwie helfen kann, dann sag es mir gerne.",mid,sag,sagen,VVFIN,1,sag,0,sagen,1,sagen,1,sagen,1
overrides,Haha. Es ist ein Adjektiv. - Sag doch mal 'n Satz.,mid,Sag,sagen,VVIMP,1,sag,0,sagen,1,Sag,0,Sag,0
overrides,Hör auf die Vielleicht würdest du es ja auch gerne mal mit Lany treiben.,initial,Hör,hören,NN,1,Hör,0,hör,0,Hör,0,Hör,0
overrides,"Okay, keine Angst, ich hör auf.",mid,hör,hören,VVFIN,1,hören,1,hören,1,hören,1,hören,1
overrides,Gewöhn dir das ab! Hör auf damit!,mid,Hör,hören,VVIMP,1,hör,0,hören,1,Hör,0,Hör,0
overrides,"Gu Yan, hör mir zu, ich.",mid,hör,hören,VVFIN,1,hör,0,hören,1,hören,1,hören,1
overrides,Mach ihr schaff Fleisch aus dir.,initial,Mach,machen,NE,1,mach,0,mach,0,Mach,0,Mach,0
overrides,Langsam mach ich mir Sorgen.,mid,mach,machen,VVFIN,1,machen,1,machen,1,machen,1,machen,1
overrides,Ich mach Ihnen den Kaffee gleich fertig.,mid,mach,machen,VVFIN,1,mach,0,machen,1,machen,1,machen,1
overrides,"Stopp! Ich mach das selbst, ich mach das selbst.",mid,mach,machen,VVFIN,1,mach,0,machen,1,machen,1,machen,1
overrides,Geh nur versteck dich irgendwo.,initial,Geh,gehen,ADV,1,Geh,0,geh,0,geh,0,gehen,1
overrides,"Wir sagen auch: “Dann geh zum Arzt, denn es gibt keine andere Möglichkeit.",mid,geh,gehen,VVFIN,1,geh,0,gehen,1,gehen,1,gehen,1
overrides,"Lässt sich erst feiern in der Bild-Zeitung, in dem größten Boulevardmagazin Deutschlands.",initial,Lässt,lassen,VVFIN,1,Lässt,0,lassen,1,lassen,1,Lessen,0
overrides,Das das lässt keinen Raum für Mangel.,mid,lässt,lassen,VVFIN,1,lässt,0,lassen,1,lassen,1,lassen,1
overrides,"Ich kann nicht glauben, dass sie mich wieder warten lässt.",mid,lässt,lassen,VVFIN,1,lässt,0,lassen,1,lassen,1,lassen,1
overrides,"Ich mag nicht, wenn Cari Sachen in der Spüle abstellt und sie antrocknen lässt.",mid,lässt,lassen,VVFIN,1,lässt,0,lassen,1,lassen,1,lassen,1
overrides,"Versuch' das eigentlich zu vermeiden, weil ich's selbst unangenehm finde.",initial,Versuch,versuchen,NN,1,Versuch,0,versuch,0,Versuch,0,Versuch,0
overrides,"Ich versuch durchaus halt zumindest einmal die Woche so einen Schreibtag zu haben, wo ich dann auch wirklich Zeit hab, mich ins Atelier zu setzen.",mid,versuch,versuchen,VVFIN,1,versuch,0,versuchen,1,versuchen,1,versuchen,1
overrides,"Gut, steig rauf und versuch es mal.",mid,versuch,versuchen,VVFIN,1,Versuch,0,versuchen,1,versuchen,1,versuchen,1
overrides,"Mit Anwalt und so. Versuch nicht, mich aufzuhalten.",mid,Versuch,versuchen,NN,1,Versuch,0,versuch,0,Versuch,0,Versuch,0
overrides,"Stell dir diese Zukunft vor, aber multipliziert mal 100, dann hast du vermutlich immer noch nicht das, was Deutschland hier blüht.",initial,Stell,stellen,ADJD,1,stell,0,stell,0,stellen,1,stellen,1
overrides,"Hier ist es. Willst du hier warten oder dachtest du, ich stell mich neben dich und reicht dir Papiertücher?",mid,stell,stellen,VVFIN,1,stell,0,stellen,1,stellen,1,stellen,1
overrides,"Ja, stell's dir mal so vor.",mid,stell,stellen,,0,,,,,,,,
overrides,"Dann würd' ich sagen stell dich mal auf ein paar sehr kalte und harte Monate ein jetzt, denn... - Ich weiß (das) schon.",mid,stell,stellen,VVFIN,1,stell,0,stellen,1,stellen,1,stellen,1
overrides,Bring Sojamilch mit!” Das ist so eine recht unfreundliche Aufforderung.,initial,Bring,bringen,VVFIN,1,Bring,0,bringen,1,Bring,0,Bring,0
overrides,Ich bring dich um. Das hab ich gesagt.,mid,bring,bringen,VVFIN,1,bring,0,bringen,1,bringen,1,bringen,1
overrides,"Wenn das wirklich wahr ist. .dann bring ich ihn eigenhändig um. Bring ihn um. Hier reicht’s, Su Ming, du musst mich nicht weiterbringen.",mid,bring,bringen,VVFIN,1,bring,0,bringen,1,bringen,1,bringen,1
overrides,"Bitte, bring mich zu ihm, ja? Jiao Jiao, hör mir zu. Es tut mir leid.",mid,bring,bringen,VVFIN,1,bring,0,bringen,1,bringen,1,bringen,1
overrides,Lasst euch von den Punkten nicht verrwirren.,initial,Lasst,lassen,VVIMP,1,Lasst,0,lassen,1,lassen,1,lassen,1
overrides,"Wenn euch das Video gefallen hat, dann lasst auf jeden Fall ein Like da. Danke fürs Zuschauen und bis zum nächsten Mal.",mid,lasst,lassen,VVFIN,1,lassen,1,lassen,1,lassen,1,lassen,1
overrides,Unser Geld gewinnt also an Wert und die Kaufkraft steigt Aber lasst uns ein Beispiel anschaun.,mid,lasst,lassen,VVFIN,1,lasst,0,lassen,1,lassen,1,lassen,1
overrides,"Aber wer mitkommt und sich benimmt, kriegt eine 1. Aber wer mitkommt und sich benimmt, kriegt eine 1. Lasst uns das Beste draus machen, Leute.",mid,Lasst,lassen,VVFIN,1,Lasst,0,lassen,1,lassen,1,lasst,0
overrides,Müsst ihr deshalb auf der Straße sitzen?,initial,Müsst,müssen,VMFIN,1,Müssten,0,müssen,1,Müssen,1,sützen,0
overrides,"Das kann wichtig sein, wenn ihr mal krank seid und zum Arzt gehen müsst.",mid,müsst,müssen,VMFIN,1,müssen,1,müssen,1,müssen,1,müssen,1
overrides,"Das ist zum Beispiel relevant, wenn ihr irgendwo etwas bestellt, wo ihr die Versandkosten selbst übernehmen müsst.",mid,müsst,müssen,VMFIN,1,müssen,1,müssen,1,müssen,1,müssen,1
overrides,"Was macht das mit den Menschen, wenn man ihnen sagt: ""Ihr müsst weniger Fleisch essen, das ist schlecht fürs Klima!""?",mid,müsst,müssen,VMFIN,1,müsst,0,müssen,1,müssen,1,müssen,1
overrides,geht's in erster Linie gar nicht mehr wirklich dadrum... ähm...,initial,geht's,gehen,VVFIN,1,geht's,0,gehen,1,gehe'en,0,gehten,0
overrides,"Darum geht's jetzt. (Lockere Musik) (Abfallende Klänge) Es ist ein Satz, den man an so einer Stelle eigentlich nie gerne hört.",mid,geht's,gehen,VVFIN,1,geht's,0,gehen,1,gehe'en,0,gehten,0
overrides,"Zum einen geht's dabei um wirtschaftliche Interessen, zum anderen aber auch um militärische.",mid,geht's,gehen,VVFIN,1,geht's,0,gehen,1,gehe'en,0,geht's,0
overrides,"Nach dem Aufstehen geh' ich normalerweise duschen, mach' mich fertig, denn gibt's 'n bisschen Sportfrühstück und dann geht's zur Arbeit.",mid,geht's,gehen,VVFIN,1,geht's,0,gehen,1,gehe'en,0,gehten,0
overrides,Gibt's so was bei euch auch in Großbritannien?,initial,Gibt's,geben,VVFIN,1,Gibt's,0,geben,1,gibte'n,0,Gibt's,0
overrides,"Tempo. - Also die Marke, da gibt's einfach nur...",mid,gibt's,geben,VVFIN,1,gibt's,0,geben,1,gibte'n,0,gibt's,0
overrides,"Da Bruder Dao, was gibt's?",mid,gibt's,geben,VVFIN,1,gibt's,0,geben,1,gibte'n,0,gibten,0
overrides,"Ursachen gibt's natürlich einige, aber hauptsächlich verantwortlich sein dürfte die Plattform TikTok.",mid,gibt's,geben,VVFIN,1,gibt'sn,0,geben,1,gibte'n,0,gibten,0
overrides,"Weißt du überhaupt, wer ich bin?",initial,Weißt,wissen,VVFIN,1,weißen,0,wissen,1,weißen|wissen,0,wissen,1
overrides,"Ja. Oh, weißt du, ich habe heute ein bisschen über die Stränge geschlagen.",mid,weißt,wissen,VVFIN,1,weißen,0,wissen,1,weißen,0,weißen,0
overrides,"Ok, also das ist, weißt du was 'genießen' ist? - Ja.",mid,weißt,wissen,VVFIN,1,weißen,0,wissen,1,weißen,0,weißen,0
overrides,"Aber weißt du, was ich wirklich will, ist eine alte Leica.",mid,weißt,wissen,VVFIN,1,weißen,0,wissen,1,weißen,0,weißen,0
overrides,Kannst du eine andere Einheit einsetzen?,initial,Kannst,können,VVFIN,1,Kannst,0,können,1,können,1,kennen,0
overrides,Ja. Vanille kannst du selber fressen.,mid,kannst,können,VMFIN,1,kannstn,0,können,1,können,1,können,1
overrides,"Schauen wir uns nun an, wofür du das Gradnetz nutzen kannst.",mid,kannst,können,VMFIN,1,könnsten,0,können,1,können,1,können,1
overrides,"Neben Listen kannst du über das Einfügen-Menü auch Tabellen, Dateianlagen oder Excel-Arbeitsblätter einfügen.",mid,kannst,können,VMFIN,1,könnsten,0,können,1,können,1,können,1
overrides,Wusste ich nicht. - Ja. - Okay.,initial,Wusste,wissen,VVFIN,1,Wusste,0,wissen,1,Wissen,1,sitzen,0
overrides,"Ich wusste gar nicht, dass er Gefühle hat.",mid,wusste,wissen,VVFIN,1,wussen,0,wissen,1,wissen,1,wissen,1
overrides,"Früher wusste man, wer anruft, (I) used to know who's calling wenn das Telefon klingelte, als man noch die...",mid,wusste,wissen,VVFIN,1,wussen,0,wissen,1,wissen,1,wissen,1
overrides,"Ach so, das wusste ich nicht.",mid,wusste,wissen,VMFIN,1,wussen,0,wissen,1,wissen,1,wissen,1
overrides,"Ah, das hab' ich nicht gewusst, Ah, I didn't know that, sehr cool, sehr cool.",mid,gewusst,wissen,VVPP,1,wussen,0,wissen,1,wissen,1,wissen,1
overrides,"Und ganz ehrlich: Hättet ihr gewusst, das Wort ""Fiaker""? Habt ihr das schon mal gehört?",mid,gewusst,wissen,VVPP,1,wussen,0,wissen,1,wissen,1,wissen,1
overrides,"Oder Bill Gates soll noch vor der Virus-Ausbreitung davon gewusst haben, um ordentlich Geld mit einem Patent auf einen Impfstoff zu machen.",mid,gewusst,wissen,VVPP,1,wussen,0,wissen,1,wissen,1,wissen,1
overrides,"Meine Hände, die haben nicht gewusst, ob das dein Speck ist oder ob das nicht dein Speck ist.",mid,gewusst,wissen,VVPP,1,wussen,0,wissen,1,wissen,1,wissen,1
overrides,Kommst du morgen mit? - Komm' ich.,initial,Kommst,kommen,VVFIN,1,kommsen,0,kommen,1,kommen,1,kommen,1
overrides,Ja. Kommst du aus einer guten Familie?,mid,Kommst,kommen,VVFIN,1,Kommst,0,kommen,1,kommen,1,kommen,1
overrides,"Woher kommst du? - Landkreis Traunstein, beim Chiemsee.",mid,kommst,kommen,VVFIN,1,kommst,0,kommen,1,kommen,1,kommen,1
overrides,"So, ah. - Wo kommst du denn her?",mid,kommst,kommen,VVFIN,1,kommsen,0,kommen,1,kommen,1,kommen,1
overrides,Brauchst du nicht mit dem Gesicht zur Tür zu sitzen.,initial,Brauchst,brauchen,NE,1,Brauchst,0,brauchst,0,brauchen,1,brauchen,1
overrides,"Falls du was brauchst, ich gehe nachher einkaufen.",mid,brauchst,brauchen,VVFIN,1,brauchsen,0,brauchen,1,brauchen,1,brauchen,1
overrides,"Gu Yan, ich gehe heute Abend mit Freunden essen, du brauchst nicht auf mich zu warten.",mid,brauchst,brauchen,VVFIN,1,brauchsen,0,brauchen,1,brauchen,1,brauchen,1
overrides,"Und was brauchst du an Elektronik, um zu überleben?",mid,brauchst,brauchen,VVFIN,1,brauchsen,0,brauchen,1,brauchen,1,brauchen,1
overrides,"Siehst du dir also alles an? Ja. Ich habe es einmal versucht und festgestellt, dass mir so ein Aufwand nicht liegt.",initial,Siehst,sehen,NE,1,Siehst,0,siehst,0,sehen,1,Seihen,0
overrides,Vielleicht siehst du oben mein Mikrofon.,mid,siehst,sehen,VVFIN,1,siehen,0,sehen,1,sehen,1,sehen,1
overrides,Du siehst wirklich ganz bezaubert aus.,mid,siehst,sehen,VVFIN,1,siehst,0,sehen,1,sehen,1,sehen,1
overrides,Wie siehst du denn aus?,mid,siehst,sehen,VVFIN,1,siehen,0,sehen,1,sehen,1,sehen,1
overrides,"Sieh mal, der ist wirklich nicht schlecht.",initial,Sieh,sehen,VVIMP,1,siehen,0,sehen,1,sieh,0,Sieh,0
overrides,"Ja, dann sieh mal zu, dass du dein Hinter rauskriegst.",mid,sieh,sehen,VVFIN,1,siehn,0,sehen,1,sehen,1,sehen,1
overrides,"Ja, sieh doch ganz mitgenommen aus.",mid,sieh,sehen,VVIMP,1,sieh,0,sehen,1,sehen,1,sehen,1
overrides,"Charlie, sieh dir das an. Oh mein Gott.",mid,sieh,sehen,VVIMP,1,siehn,0,sehen,1,sehen,1,sehen,1
overrides,Gehst du später zu ihm?,initial,Gehst,gehen,NE,1,Gehst,0,gehst,0,gehen,1,sähen,0
overrides,Du gehst jetzt sofort zu Yaras Familie und sprichst mit Ahmed. und entschuldigst dich bei ihm.,mid,gehst,gehen,VVFIN,1,hsen,0,gehen,1,gehen,1,gehen,1
overrides,Du gehst in keinen Kurs.,mid,gehst,gehen,VVFIN,1,hsen,0,gehen,1,gehen,1,gehen,1
overrides,"Ja, aber diesmal gehst du vorbereitet hin.",mid,gehst,gehen,VVFIN,1,hsen,0,gehen,1,gehen,1,gehen,1
overrides,Musste mal seine Auspuffe ins Suizieren.,initial,Musste,müssen,VMFIN,1,Mussteen,0,müssen,1,müssen,1,müssen,1
overrides,Teilweise musste die Nationalgarde anrücken.,mid,musste,müssen,VMFIN,1,mussen,0,müssen,1,müssen,1,müssen,1
overrides,"In diesem Moment wusste ich, dass die SBON warten musste.",mid,musste,müssen,VMFIN,1,mussen,0,müssen,1,müssen,1,müssen,1
overrides,"Ich musste nach draußen gehen, um telefonieren zu können.",mid,musste,müssen,VMFIN,1,mussen,0,müssen,1,müssen,1,müssen,1
overrides,"Diejenigen, die unter Epstein und seinen Komplizen leiden mussten.",mid,mussten,müssen,VMFIN,1,mussen,0,müssen,1,müssen,1,müssen,1
overrides,"Ja, wir mussten ein paar rausschneiden, weil Janusz hat auch 'n paar zu peinliche Geschichten erzählt.",mid,mussten,müssen,VMFIN,1,mussen,0,müssen,1,müssen,1,müssen,1
overrides,"Während sich die Hominini machtlos in einer Welt wiederfanden, an die sie sich anpassen mussten, könnte unser Start nicht unterschiedlicher sein.",mid,mussten,müssen,VMFIN,1,mussen,0,müssen,1,müssen,1,müssen,1
overrides,"...während ihrer Periode, sagt man so, immer während ihrer Periode, äh, sich waschen mussten oder einfach hingingen, traditionell. Oder die jüdischen...",mid,mussten,müssen,VMFIN,1,mussen,0,müssen,1,müssen,1,müssen,1
overrides,Wussten Sie das denn nicht?,initial,Wussten,wissen,VVFIN,1,Wussn,0,wissen,1,Wissen,1,sitzen,0
overrides,"Sorry, das wussten wir nicht.",mid,wussten,wissen,VVFIN,1,wussten,0,wissen,1,wissen,1,wissen,1
overrides,"Also wo Leute wussten, dass sie Glutamat zu sich nahmen.",mid,wussten,wissen,VVFIN,1,wussten,0,wissen,1,wissen,1,wissen,1
overrides,"Wir wussten es bei beiden Kindern nicht, dass sie behindert sind.",mid,wussten,wissen,VVFIN,1,wussten,0,wissen,1,wissen,1,wissen,1
overrides,"No, bitte, wir mussen Was?",mid,mussen,müssen,VVFIN,1,mussen,0,müssen,1,mussen,0,müssen,1
overrides,"Hältst du es aus, wenn die Ministerin korrupt ist?",initial,Hältst,halten,VVFIN,1,Hältst,0,halten,1,halten,1,halten,1
overrides,"Ich würde dich und die Kinder nie Ich weiß, du hältst mich für eine kleine lächerliche Debutantin.",mid,hältst,halten,VVFIN,1,hälten,0,halten,1,halten,1,halten,1
overrides,"Für wie blöd hältst du mich, Junge?",mid,hältst,halten,VVFIN,1,hälten,0,halten,1,halten,1,halten,1
overrides,"Hauptsache, du hältst sie auf.",mid,hältst,halten,VVFIN,1,hälten,0,halten,1,halten,1,halten,1
overrides,Sprichst du mit mir? (Ginger) Ich verstehe dich nicht.,initial,Sprichst,sprechen,NE,1,Sprichst,0,sprichst,0,sprechen,1,Sprichen,0
overrides,Aber du sprichst perfekt und ohne Akzent.,mid,sprichst,sprechen,VVFIN,1,sprichen,0,sprechen,1,sprechen,1,sprechen,1
overrides,"Ich schätz mal, du sprichst Arabisch auch?",mid,sprichst,sprechen,VVFIN,1,sprichen,0,sprechen,1,sprechen,1,sprechen,1
overrides,"Wenn du von solchen Zahlen sprichst, hast du ihn, Mann, melde mich jetzt an. Also gut, lass es uns angehen, Mann.",mid,sprichst,sprechen,VVFIN,1,sprichen,0,sprechen,1,sprechen,1,sprechen,1
overrides,Nehm doch den hier so lange.,initial,Nehm,nehmen,NE,1,Nehm,0,nehm,0,nehm,0,nehmen,1
overrides,Wie du willst. Ich räum jetzt auf und deine Kiste nehm ich mit.,mid,nehm,nehmen,VVFIN,1,nehm,0,nehmen,1,nehmen,1,nehmen,1
overrides,"Ja, genau das da. Ja, ist es. Okay, danke, das nehm ich.",mid,nehm,nehmen,VVFIN,1,nehm,0,nehmen,1,nehmen,1,nehmen,1
overrides,"Ich nehm es dir nicht übel, wenn du dir Fragen stellst.",mid,nehm,nehmen,VVFIN,1,nehmn,0,nehmen,1,nehmen,1,nehmen,1
overrides,"Schau mal, was mit Markus passiert ist.",initial,Schau,schauen,NN,1,Schau,0,schau,0,Schau,0,Schau,0
overrides,"Also, ich mein, selber schau ich ja auch, wenn irgendwas Ungewöhnliches auf der Straße ist.",mid,schau,schauen,VVFIN,1,schaun,0,schauen,1,schauen,1,schauen,1
overrides,"Doch, macht er. Schau ihn an. Ich bin schon alt genug!",mid,Schau,schauen,VVIMP,1,Schau,0,schauen,1,Schau,0,Schau,0
overrides,Schlecht ist sie nicht aber schau mal.,mid,schau,schauen,VVFIN,1,schaun,0,schauen,1,schauen,1,schauen,1
overrides,Findest du? Ja. Und diese Speisekarte einfach und trotzdem elegant.,initial,Findest,finden,NE,1,Findest,0,findest,0,finden,1,Findest,0
overrides,Wie findest du immer solche Orte?,mid,findest,finden,VVFIN,1,findest,0,finden,1,finden,1,finden,1
overrides,"Du findest dort auch Aufgaben zu allen meinen anderen Videos, kannst dir die Skripte herunterladen, meine Videos als Podcast abonnieren und mehr.",mid,findest,finden,VVFIN,1,findestn,0,finden,1,finden,1,finden,1
overrides,Und wie findest du diese Sache mit dem Feierabend?,mid,findest,finden,NE,1,Findest,0,findest,0,finden,1,finden,1
overrides,"Verstehst du nicht, dass ich Angst um dich habe?",initial,Verstehst,verstehen,VVFIN,1,verstehst,0,verstehen,1,verstehen,1,verstehen,1
overrides,"Man, ich habe einfach keinen Bock deine fünf wilden Minuten zu sein, verstehst du? Nein, tue ich nicht.",mid,verstehst,verstehen,VVFIN,1,verstehsen,0,verstehen,1,verstehen,1,verstehen,1
overrides,"Ja, lass mich das elaborieren, wenn du das nicht verstehst.",mid,verstehst,verstehen,VVFIN,1,verstehsen,0,verstehen,1,verstehen,1,verstehen,1
overrides,"Da bin ich aber froh, dass du mich verstehst.",mid,verstehst,verstehen,VVFIN,1,verstehsen,0,verstehen,1,verstehen,1,verstehen,1
overrides,"Bekommst du raus, was du reinsteckst?",initial,Bekommst,bekommen,VVIMP,1,Bekommst,0,bekommen,1,bekommen,1,bekommen,1
overrides,"Inshallah, bald bekommst du mehr Geld, Martin.",mid,bekommst,bekommen,VVFIN,1,bekommsen,0,bekommen,1,bekommen,1,bekommen,1
overrides,"Okay. Und was, äh, wie viel Taschengeld bekommst du von deinen Eltern? - Äh, im Monat 30 Euro.",mid,bekommst,bekommen,VVFIN,1,bekommsen,0,bekommen,1,bekommen,1,bekommen,1
overrides,"Hey, du bekommst ja langsam einen Babybauch.",mid,bekommst,bekommen,VVFIN,1,bekommsen,0,bekommen,1,bekommen,1,bekommen,1
overrides,Bringst du es bitte hin?” Das bedeutet: Bringst du das Paket bitte zur Post?,initial,Bringst,bringen,VVIMP,1,Bringst,0,bringen,1,bringen,1,Bringen,1
overrides,"Martin, du kommst jetzt aus dem Koffer da. Und dann bringst du Lisa zum Flughafen.",mid,bringst,bringen,VVFIN,1,bringstn,0,bringen,1,bringen,1,bringen,1
overrides,Und mir ihr Tagebuch bringst.,mid,bringst,bringen,VVFIN,1,bringstn,0,bringen,1,bringen,1,bringen,1
overrides,"Anschließend bringst du -35 auf die rechte Seite, indem du auf beiden Seiten 35 addierst.",mid,bringst,bringen,VVFIN,1,bringstn,0,bringen,1,bringen,1,bringen,1
overrides,"Merkt euch also: ""mit"", immer mit Dativ.",initial,Merkt,merken,VVFIN,1,Merkt,0,merken,1,merken,1,merken,1
overrides,"Als Franz alleine mit der Leiche ist, merkt er, dass sein Vater nur in Ohnmacht gefallen ist.",mid,merkt,merken,VVFIN,1,merken,1,merken,1,merken,1,merken,1
overrides,"Da merkt man mal wieder, dass wir vom Affen abstammen.",mid,merkt,merken,VVFIN,1,merken,1,merken,1,merken,1,merken,1
overrides,Ihr merkt vielleicht: Das sind beides Begriffe aus dem Französischen.,mid,merkt,merken,VVFIN,1,merken,1,merken,1,merken,1,merken,1
overrides,"Wusstest du das, dass es verschiedene Varianten gibt, den Konjunktiv zu bilden? - Nein. - Nein.",initial,Wusstest,wissen,VVFIN,1,wusstesen,0,wissen,1,Wissen,1,wissen,1
overrides,"Du wusstest, dass all die Singledamen heute Abend vom Älteren Schlag sein würden?",mid,wusstest,wissen,VVFIN,1,wusstesen,0,wissen,1,wissen,1,wissen,1
overrides,"Woher wusstest du, dass ich hier bin?",mid,wusstest,wissen,VVFIN,1,wusstesen,0,wissen,1,wissen,1,wissen,1
overrides,"Cari, wusstest du, dass die Erde rund ist?",mid,wusstest,wissen,VVFIN,1,wusstesen,0,wissen,1,wissen,1,wissen,1
overrides,"Hättest du die Größe einer Ameise und würdest einen Wassertropfen berühren, dann wäre das für dich, als würdest du in Kleber fassen.",initial,Hättest,haben,VAFIN,1,Hättest,0,haben,1,haben,1,haben,1
overrides,Aber hättest du gerne einen?,mid,hättest,haben,VAFIN,1,hättest,0,haben,1,haben,1,haben,1
overrides,"Du hättest mir sagen sollen, dass du kommst.",mid,hättest,haben,VAFIN,1,hättest,0,haben,1,haben,1,haben,1
overrides,"Und wenn du mit dieser Intelligenzbestie nicht gefüßelt hättest, hätte sie uns nicht belästigt.",mid,hättest,haben,VAFIN,1,hätteben,0,haben,1,haben,1,haben,1
overrides,"Möchte man Kandidat werden, dann braucht man eine Organisation im Rücken.",initial,Möchte,mögen,VMFIN,1,Möchten,0,mögen,1,mögen,1,pöngen,0
overrides,"Wenn Sie die Hochzeit auch möchte, dann habe ich nichts einzuwenden.",mid,möchte,mögen,VMFIN,1,möchten,0,mögen,1,mögen,1,mögen,1
overrides,"Der Ausdruck “sich auf die Zunge beißen” bedeutet, dass man etwas nicht sagt, obwohl man es sagen möchte.",mid,möchte,mögen,VMFIN,1,möchten,0,mögen,1,mögen,1,mögen,1
overrides,"Ich möchte nicht nur Deutsch verstehen, ich möchte Deutsch automatisch benutzen.",mid,möchte,mögen,VMFIN,1,möchten,0,mögen,1,mögen,1,mögen,1
overrides,Möchten Sie von mir geduzt werden oder gesiezt werden?,initial,Möchten,mögen,VMFIN,1,möchten,0,mögen,1,mögen,1,pönen,0
overrides,"Und sie betonen, dass sie aktiv an der ebenfalls ""Entfernung der Juden aus den Sportvereinen"" mitwirken möchten.",mid,möchten,mögen,VMFIN,1,möchten,0,mögen,1,mögen,1,mögen,1
overrides,Fangen wir an! Warum möchten Sie bei uns arbeiten?,mid,möchten,mögen,VMFIN,1,möchten,0,mögen,1,mögen,1,mögen,1
overrides,"Die USA möchten Russland von seinem engen Partner China abspalten, um China überlegen zu sein.",mid,möchten,mögen,VMFIN,1,möchten,0,mögen,1,mögen,1,mögen,1
overrides,"Möchtet ihr eure Aussprache verbessern, um euch für solche Gespräche vorzubereiten?",initial,Möchtet,mögen,VMFIN,1,Möchtet,0,mögen,1,Mögen,1,Möchen,0
overrides,"Und wenn ihr Easy German abonnieren möchtet, freuen wir uns sehr. Das könnt ihr hier machen.",mid,möchtet,mögen,VMFIN,1,möchten,0,mögen,1,mögen,1,mögen,1
overrides,"Und falls ihr danach weitermachen möchtet, kriegt ihr mit unserem Link sogar einen 65-prozentigen Rabatt.",mid,möchtet,mögen,VMFIN,1,möchten,0,mögen,1,mögen,1,mögen,1
overrides,"Wenn ihr mehr über spannende Wörter im Deutschen erfahren möchtet, schaut euch mal meine Playlist an. Die verlinke ich euch hier.",mid,möchtet,mögen,VMFIN,1,möchten,0,mögen,1,mögen,1,mögen,1
