n,p,model,input_tokens,seconds,verdict,rule,stratum,pattern
24,0.9406,unsloth/Qwen3.5-9B-GGUF,,0.91,frame,,uniform,das Labor
25,0.7771,unsloth/Qwen3.5-9B-GGUF,,1.02,frame,,uniform,die Bevölkerung
26,0.1987,unsloth/Qwen3.5-9B-GGUF,,2.62,frame,,uniform,das Prozent
27,0.5195,unsloth/Qwen3.5-9B-GGUF,,1.58,construction,,uniform,jdn./etw. (Akk) vor etw. (Dat) bewahren
28,0.5368,unsloth/Qwen3.5-9B-GGUF,,1.36,frame,,uniform,jdm. (Dat) etw. (Akk) schicken
29,0.2038,unsloth/Qwen3.5-9B-GGUF,,2.82,frame,,uniform,über etw. (Akk) entscheiden
30,0.9603,unsloth/Qwen3.5-9B-GGUF,,1.74,frame,,uniform,etw./jdn. (Akk) vergessen
31,0.9528,unsloth/Qwen3.5-9B-GGUF,,6.12,frame,,uniform,"nichts, nix"
32,0.2382,unsloth/Qwen3.5-9B-GGUF,,6.52,frame,,uniform,jdm. (Dat) etw. (Akk) zeigen
33,0.4106,unsloth/Qwen3.5-9B-GGUF,,0.62,frame,,uniform,jdn./etw. (Akk) mitnehmen
34,0.8751,unsloth/Qwen3.5-9B-GGUF,,6.64,frame,,uniform,der Freund
35,0.3147,unsloth/Qwen3.5-9B-GGUF,,4.37,other,aux,uniform,etw./jdn. (Akk) haben
36,0.3881,unsloth/Qwen3.5-9B-GGUF,,5.71,frame,,uniform,die Wand
37,0.7075,unsloth/Qwen3.5-9B-GGUF,,7.06,frame,,uniform,das Jahr
38,0.4613,unsloth/Qwen3.5-9B-GGUF,,6.04,construction,,uniform,der Gott
39,0.9629,unsloth/Qwen3.5-9B-GGUF,,0.65,frame,,uniform,etw. (Akk) vermeiden
40,0.6922,unsloth/Qwen3.5-9B-GGUF,,6.98,frame,,uniform,etw./jdn. (Akk) haben
41,0.952,unsloth/Qwen3.5-9B-GGUF,,1.07,frame,,uniform,etw. (Akk) errichten
42,0.6904,unsloth/Qwen3.5-9B-GGUF,,1.1,other,,uniform,für/gegen jdn./etw. stimmen
43,0.5216,unsloth/Qwen3.5-9B-GGUF,,2.18,other,,uniform,das Ensemble
44,0.2959,unsloth/Qwen3.5-9B-GGUF,,0.86,frame,,uniform,jdm. (Dat) etw. (Akk) aufschreiben
45,0.9491,unsloth/Qwen3.5-9B-GGUF,,1.66,frame,,uniform,die Veränderung
46,0.9704,unsloth/Qwen3.5-9B-GGUF,,0.77,frame,,uniform,der Geschäftsführer
47,0.4238,unsloth/Qwen3.5-9B-GGUF,,5.97,frame,,uniform,jdm. (Dat) etw. (Akk) sagen
48,0.8352,unsloth/Qwen3.5-9B-GGUF,,1.61,frame,,uniform,etw. (Akk) wissen
49,0.1123,unsloth/Qwen3.5-9B-GGUF,,2.61,other,,uniform,vor jdm./etw. (Dat) fliehen
50,0.7689,unsloth/Qwen3.5-9B-GGUF,,5.9,frame,,uniform,das Jahr
51,0.936,unsloth/Qwen3.5-9B-GGUF,,9.79,frame,,uniform,mit jdm. / über etw. reden
52,0.8016,unsloth/Qwen3.5-9B-GGUF,,0.72,frame,,uniform,jdm. (Dat) etw. (Akk) erzählen
53,0.7628,unsloth/Qwen3.5-9B-GGUF,,1.57,frame,,uniform,die Frau
54,0.7464,unsloth/Qwen3.5-9B-GGUF,,6.16,frame,,uniform,der Bundestag
55,0.9392,unsloth/Qwen3.5-9B-GGUF,,2.21,frame,,uniform,jdm. (Dat) vertrauen
56,0.9144,unsloth/Qwen3.5-9B-GGUF,,6.53,frame,,uniform,die Macht
57,0.5299,unsloth/Qwen3.5-9B-GGUF,,0.85,frame,,uniform,etw./jdn. (Akk) haben
58,0.6313,unsloth/Qwen3.5-9B-GGUF,,4.68,frame,,uniform,etw./jdn. (Akk) halten
59,0.6316,unsloth/Qwen3.5-9B-GGUF,,2.15,other,,uniform,auf etw. / an etw. ankommen
60,0.3082,unsloth/Qwen3.5-9B-GGUF,,1.68,other,modal,uniform,etw. (Akk) können
61,0.5325,unsloth/Qwen3.5-9B-GGUF,,2.05,other,aux,uniform,etw./jdn. (Akk) haben
62,0.6566,unsloth/Qwen3.5-9B-GGUF,,6.79,frame,,uniform,die Verhandlung
63,0.4564,unsloth/Qwen3.5-9B-GGUF,,8.01,frame,,uniform,etw. (Akk) machen
64,0.6842,unsloth/Qwen3.5-9B-GGUF,,1.31,frame,,uniform,etw./jdn. (Akk) halten
65,0.297,unsloth/Qwen3.5-9B-GGUF,,1.76,construction,,uniform,jdm. (Dat) etw. (Akk) sagen
66,0.6274,unsloth/Qwen3.5-9B-GGUF,,2.59,frame,,uniform,der Junge
67,0.2344,unsloth/Qwen3.5-9B-GGUF,,7.67,construction,es_gibt,uniform,jdm. (Dat) etw. (Akk) geben
68,0.6606,unsloth/Qwen3.5-9B-GGUF,,0.94,frame,,uniform,etw. (Akk) / jdm. (Dat) etw. (Akk) brechen
69,0.9659,unsloth/Qwen3.5-9B-GGUF,,1.21,frame,,uniform,der Bundestag
70,0.3937,unsloth/Qwen3.5-9B-GGUF,,0.88,construction,,uniform,etw. (Akk) wissen
71,0.8316,unsloth/Qwen3.5-9B-GGUF,,6.08,frame,,uniform,der König
72,0.5325,unsloth/Qwen3.5-9B-GGUF,,1.61,other,,uniform,auf jdn./etw. wirken
73,0.3921,unsloth/Qwen3.5-9B-GGUF,,1.78,frame,,uniform,jdn. (Akk) um etw. bitten
74,0.8998,unsloth/Qwen3.5-9B-GGUF,,5.83,frame,,uniform,das Bild
75,0.1273,unsloth/Qwen3.5-9B-GGUF,,1.13,other,aux,uniform,etw./jdn. (Akk) haben
76,0.8819,unsloth/Qwen3.5-9B-GGUF,,4.04,frame,,uniform,etw. (Akk) mitmachen
77,0.9247,unsloth/Qwen3.5-9B-GGUF,,5.91,frame,,uniform,der Vater
78,0.1747,unsloth/Qwen3.5-9B-GGUF,,0.79,other,aux,uniform,etw./jdn. (Akk) haben
79,0.5462,unsloth/Qwen3.5-9B-GGUF,,0.95,frame,,uniform,jdm. (Dat) / etw. (Dat) zustimmen
80,0.3732,unsloth/Qwen3.5-9B-GGUF,,0.79,other,,uniform,mit etw. / etw. (Akk) beginnen
81,0.4905,unsloth/Qwen3.5-9B-GGUF,,3.6,frame,,uniform,jdn. (Akk) + Name (Akk) nennen
82,0.3984,unsloth/Qwen3.5-9B-GGUF,,0.71,frame,,uniform,die Lösung
83,0.9064,unsloth/Qwen3.5-9B-GGUF,,0.86,frame,,uniform,auf etw./jdn. schauen
84,0.7438,unsloth/Qwen3.5-9B-GGUF,,5.28,frame,,uniform,etw. (Akk) umsetzen
85,0.8189,unsloth/Qwen3.5-9B-GGUF,,6.05,construction,,uniform,mit etw. / von etw. handeln
86,0.0921,unsloth/Qwen3.5-9B-GGUF,,0.88,unclear,,uniform,jdm. (Dat) etw. (Akk) gewähren
87,0.334,unsloth/Qwen3.5-9B-GGUF,,7.02,construction,,uniform,die Menge
88,0.2957,unsloth/Qwen3.5-9B-GGUF,,5.77,frame,,uniform,gegen jdn./etw. sich wehren
89,0.8112,unsloth/Qwen3.5-9B-GGUF,,0.69,frame,,uniform,das Mitglied
90,0.7219,unsloth/Qwen3.5-9B-GGUF,,1.74,frame,,uniform,die Kosten
91,0.9562,unsloth/Qwen3.5-9B-GGUF,,1.05,frame,,uniform,der Wunsch
92,0.8457,unsloth/Qwen3.5-9B-GGUF,,1.68,frame,,uniform,die Information
93,0.5114,unsloth/Qwen3.5-9B-GGUF,,2.97,frame,,uniform,das Blut
94,0.7733,unsloth/Qwen3.5-9B-GGUF,,7.79,frame,,uniform,das Gesetz
95,0.4396,unsloth/Qwen3.5-9B-GGUF,,0.75,frame,,uniform,die Nation
96,0.1494,unsloth/Qwen3.5-9B-GGUF,,8.54,frame,,uniform,jdn./etw. (Akk) / sich (Dat) etw. (Akk) anschauen
97,0.3348,unsloth/Qwen3.5-9B-GGUF,,1.05,other,,uniform,an etw. (Dat) sterben
98,0.0427,unsloth/Qwen3.5-9B-GGUF,,0.96,construction,,uniform,jdm. (Dat) etw. (Akk) schreiben
99,0.7911,unsloth/Qwen3.5-9B-GGUF,,0.72,frame,,uniform,der Freund
100,0.5756,unsloth/Qwen3.5-9B-GGUF,,1.07,frame,,uniform,"all, alle"
101,0.1971,unsloth/Qwen3.5-9B-GGUF,,1.23,other,aux,uniform,etw./jdn. (Akk) haben
102,0.2015,unsloth/Qwen3.5-9B-GGUF,,7.58,construction,,uniform,der Fall
103,0.7819,unsloth/Qwen3.5-9B-GGUF,,5.91,frame,,uniform,etw. (Akk) machen
104,0.8023,unsloth/Qwen3.5-9B-GGUF,,1.14,frame,,uniform,jdm. (Dat) etw. (Akk) / sich (Dat) beschaffen
105,0.8578,unsloth/Qwen3.5-9B-GGUF,,2.49,frame,,uniform,die Politik
106,0.8542,unsloth/Qwen3.5-9B-GGUF,,5.78,frame,,uniform,der Zeitraum
107,0.8994,unsloth/Qwen3.5-9B-GGUF,,3.38,frame,,uniform,der Krieg
108,0.7665,unsloth/Qwen3.5-9B-GGUF,,2.7,frame,,uniform,die Region
109,0.5469,unsloth/Qwen3.5-9B-GGUF,,1.56,frame,,uniform,jdm. (Dat) vorkommen
110,0.8884,unsloth/Qwen3.5-9B-GGUF,,0.72,frame,,uniform,der Punkt
111,0.3486,unsloth/Qwen3.5-9B-GGUF,,0.88,other,,uniform,etw. (Akk) ziehen
112,0.8801,unsloth/Qwen3.5-9B-GGUF,,6.29,frame,,uniform,der Vater
113,0.817,unsloth/Qwen3.5-9B-GGUF,,7.24,frame,,uniform,der Mensch
114,0.1628,unsloth/Qwen3.5-9B-GGUF,,2.48,frame,,uniform,die Periode
115,0.677,unsloth/Qwen3.5-9B-GGUF,,0.71,frame,,uniform,der Mann
116,0.9143,unsloth/Qwen3.5-9B-GGUF,,1.8,frame,,uniform,der Betrieb
117,0.8381,unsloth/Qwen3.5-9B-GGUF,,1.89,frame,,uniform,die Politik
118,0.9595,unsloth/Qwen3.5-9B-GGUF,,3.15,frame,,uniform,das Auge
119,0.9225,unsloth/Qwen3.5-9B-GGUF,,0.89,frame,,uniform,die Wohnung
120,0.8377,unsloth/Qwen3.5-9B-GGUF,,0.89,frame,,uniform,der Zeitpunkt
121,0.8494,unsloth/Qwen3.5-9B-GGUF,,2.15,frame,,uniform,das Gefühl
122,0.4627,unsloth/Qwen3.5-9B-GGUF,,7.83,frame,,uniform,auf etw. (Akk) / für etw. plädieren
123,0.6289,unsloth/Qwen3.5-9B-GGUF,,8.02,frame,,uniform,das Kind
124,0.8235,unsloth/Qwen3.5-9B-GGUF,,1.38,other,modal,uniform,etw. (Akk) wollen
125,0.7686,unsloth/Qwen3.5-9B-GGUF,,1.23,construction,,uniform,das Gegenteil
126,0.3258,unsloth/Qwen3.5-9B-GGUF,,4.84,frame,,uniform,jdm. (Dat) etw. (Akk) erzählen
127,0.8445,unsloth/Qwen3.5-9B-GGUF,,0.94,other,,uniform,etw. (Akk) ausdrücken
128,0.8672,unsloth/Qwen3.5-9B-GGUF,,0.96,frame,,uniform,die Bundesrepublik
129,0.3848,unsloth/Qwen3.5-9B-GGUF,,1.67,frame,,uniform,die Seite
130,0.9158,unsloth/Qwen3.5-9B-GGUF,,1.38,frame,,uniform,der Arzt
131,0.1299,unsloth/Qwen3.5-9B-GGUF,,1.88,other,aux,uniform,etw./jdn. (Akk) haben
132,0.3218,unsloth/Qwen3.5-9B-GGUF,,1.07,frame,,uniform,"allein, alleine"
133,0.3496,unsloth/Qwen3.5-9B-GGUF,,6.0,construction,,uniform,"all, alle"
134,0.7497,unsloth/Qwen3.5-9B-GGUF,,0.83,construction,,uniform,das Haus
135,0.9297,unsloth/Qwen3.5-9B-GGUF,,1.4,frame,,uniform,der Krieg
136,0.2808,unsloth/Qwen3.5-9B-GGUF,,0.88,other,,uniform,jdn. (Akk) führen
137,0.8051,unsloth/Qwen3.5-9B-GGUF,,2.64,frame,,uniform,die Information
138,0.8154,unsloth/Qwen3.5-9B-GGUF,,0.86,frame,,uniform,etw. (Akk) befürchten
139,0.8782,unsloth/Qwen3.5-9B-GGUF,,2.64,frame,,uniform,der Künstler
140,0.7425,unsloth/Qwen3.5-9B-GGUF,,0.69,frame,,uniform,mit etw. aufhören
141,0.681,unsloth/Qwen3.5-9B-GGUF,,4.73,frame,,uniform,etw./jdn. (Akk) haben
142,0.7565,unsloth/Qwen3.5-9B-GGUF,,0.85,frame,,uniform,der Tod
143,0.9241,unsloth/Qwen3.5-9B-GGUF,,2.96,frame,,uniform,die Entscheidung
144,0.6871,unsloth/Qwen3.5-9B-GGUF,,1.05,other,modal,uniform,etw. (Akk) können
145,0.7924,unsloth/Qwen3.5-9B-GGUF,,8.04,frame,,uniform,jdn. (Akk) zu etw. einladen
146,0.8982,unsloth/Qwen3.5-9B-GGUF,,3.33,frame,,uniform,etw. (Akk) benutzen
147,0.9126,unsloth/Qwen3.5-9B-GGUF,,1.05,frame,,uniform,etw. (Akk) erzeugen
148,0.9506,unsloth/Qwen3.5-9B-GGUF,,4.52,frame,,uniform,der Ausdruck
149,0.9544,unsloth/Qwen3.5-9B-GGUF,,3.62,frame,,uniform,die Mutter
150,0.5882,unsloth/Qwen3.5-9B-GGUF,,0.76,frame,,uniform,die Schule
151,0.2064,unsloth/Qwen3.5-9B-GGUF,,5.83,frame,,uniform,die Frage
152,0.5159,unsloth/Qwen3.5-9B-GGUF,,0.64,construction,,uniform,der Fall
153,0.3938,unsloth/Qwen3.5-9B-GGUF,,2.63,other,,uniform,nach etw. klingen
154,0.8498,unsloth/Qwen3.5-9B-GGUF,,2.25,frame,,uniform,etw./jdn. (Akk) haben
155,0.4233,unsloth/Qwen3.5-9B-GGUF,,6.82,frame,,uniform,etw. (Akk) verbreiten
156,0.5345,unsloth/Qwen3.5-9B-GGUF,,6.89,construction,,uniform,"all, alle"
157,0.713,unsloth/Qwen3.5-9B-GGUF,,1.52,other,modal,uniform,etw. (Akk) wollen
158,0.4809,unsloth/Qwen3.5-9B-GGUF,,6.19,frame,,uniform,die Erde
159,0.9271,unsloth/Qwen3.5-9B-GGUF,,0.61,frame,,uniform,das Kind
160,0.9024,unsloth/Qwen3.5-9B-GGUF,,1.58,frame,,uniform,der Hersteller
161,0.6991,unsloth/Qwen3.5-9B-GGUF,,2.09,frame,,uniform,"vorne, vorn"
162,0.6561,unsloth/Qwen3.5-9B-GGUF,,3.36,frame,,uniform,etw. (Akk) lernen
163,0.1564,unsloth/Qwen3.5-9B-GGUF,,0.82,other,,uniform,etw. (Akk) ändern
164,0.2784,unsloth/Qwen3.5-9B-GGUF,,1.23,other,modal,uniform,etw. (Akk) können
165,0.9549,unsloth/Qwen3.5-9B-GGUF,,0.59,frame,,uniform,die Sprache
166,0.3877,unsloth/Qwen3.5-9B-GGUF,,5.86,frame,,uniform,etw. (Akk) einnehmen
167,0.2153,unsloth/Qwen3.5-9B-GGUF,,4.03,other,aux,uniform,etw./jdn. (Akk) haben
168,0.8443,unsloth/Qwen3.5-9B-GGUF,,0.78,construction,,uniform,die Rücksicht
169,0.8395,unsloth/Qwen3.5-9B-GGUF,,2.72,other,,uniform,jdm. (Dat) etw. (Akk) bedeuten
170,0.9441,unsloth/Qwen3.5-9B-GGUF,,1.09,frame,,uniform,die Schwester
171,0.5615,unsloth/Qwen3.5-9B-GGUF,,2.56,construction,,uniform,etw. (Akk) machen
172,0.9641,unsloth/Qwen3.5-9B-GGUF,,0.99,frame,,uniform,etw. (Akk) verdienen
173,0.8947,unsloth/Qwen3.5-9B-GGUF,,5.77,frame,,uniform,etw. (Akk) wissen
174,0.9508,unsloth/Qwen3.5-9B-GGUF,,0.59,frame,,uniform,der Held
175,0.2755,unsloth/Qwen3.5-9B-GGUF,,1.75,other,,uniform,etw. (Akk) an jdn. zahlen
176,0.3155,unsloth/Qwen3.5-9B-GGUF,,1.84,other,aux,uniform,etw./jdn. (Akk) haben
177,0.7446,unsloth/Qwen3.5-9B-GGUF,,6.72,frame,,uniform,"all, alle"
178,0.5784,unsloth/Qwen3.5-9B-GGUF,,0.88,frame,,uniform,die Bank
179,0.7336,unsloth/Qwen3.5-9B-GGUF,,7.14,frame,,uniform,etw. (Akk) benutzen
180,0.8506,unsloth/Qwen3.5-9B-GGUF,,1.41,frame,,uniform,der Tag
181,0.868,unsloth/Qwen3.5-9B-GGUF,,5.72,construction,,uniform,jdn. (Akk) führen
182,0.8729,unsloth/Qwen3.5-9B-GGUF,,0.79,frame,,uniform,jdm. (Dat) etw. (Akk) sagen
183,0.8945,unsloth/Qwen3.5-9B-GGUF,,6.14,other,modal,uniform,etw. (Akk) wollen
184,0.8953,unsloth/Qwen3.5-9B-GGUF,,6.33,frame,,uniform,die Mama
185,0.2368,unsloth/Qwen3.5-9B-GGUF,,2.36,other,,uniform,etw. (Akk) mit etw. kombinieren
186,0.2821,unsloth/Qwen3.5-9B-GGUF,,1.3,other,,uniform,jdm. (Dat) etw. (Akk) sichern
187,0.7553,unsloth/Qwen3.5-9B-GGUF,,1.53,frame,,uniform,ein paar
188,0.8587,unsloth/Qwen3.5-9B-GGUF,,5.59,frame,,uniform,etw. (Akk) für etw. ausgeben
189,0.9597,unsloth/Qwen3.5-9B-GGUF,,1.41,frame,,uniform,der Schutz
190,0.8863,unsloth/Qwen3.5-9B-GGUF,,2.22,other,,uniform,jdn. (Akk) beruhigen
191,0.622,unsloth/Qwen3.5-9B-GGUF,,5.66,other,,uniform,etw./jdn. (Akk) lassen
192,0.7842,unsloth/Qwen3.5-9B-GGUF,,0.68,frame,,uniform,etw. (Akk) tun
193,0.0956,unsloth/Qwen3.5-9B-GGUF,,3.1,frame,,uniform,jdn./etw. (Akk) / sich (Dat) etw. (Akk) anschauen
194,0.2961,unsloth/Qwen3.5-9B-GGUF,,0.81,frame,,uniform,die Folge
195,0.6812,unsloth/Qwen3.5-9B-GGUF,,1.33,frame,,uniform,die Partie
196,0.1895,unsloth/Qwen3.5-9B-GGUF,,1.16,construction,es_gibt,uniform,jdm. (Dat) etw. (Akk) geben
197,0.7097,unsloth/Qwen3.5-9B-GGUF,,0.88,construction,,uniform,der Gott
198,0.8464,unsloth/Qwen3.5-9B-GGUF,,2.26,frame,,uniform,der Krieg
199,0.8682,unsloth/Qwen3.5-9B-GGUF,,2.76,frame,,uniform,die Sicherheit
200,0.1767,unsloth/Qwen3.5-9B-GGUF,,4.11,other,aux,uniform,etw./jdn. (Akk) haben
201,0.9071,unsloth/Qwen3.5-9B-GGUF,,2.21,frame,,uniform,das Auge
202,0.8847,unsloth/Qwen3.5-9B-GGUF,,0.72,frame,,uniform,etw. (Akk) organisieren
203,0.6322,unsloth/Qwen3.5-9B-GGUF,,2.93,frame,,uniform,etw./jdn. (Akk) kennen
204,0.7762,unsloth/Qwen3.5-9B-GGUF,,3.79,frame,,uniform,die Polizei
205,0.5818,unsloth/Qwen3.5-9B-GGUF,,8.13,other,aux,uniform,etw./jdn. (Akk) haben
206,0.2307,unsloth/Qwen3.5-9B-GGUF,,3.84,construction,,uniform,etw. (Akk) machen
207,0.9011,unsloth/Qwen3.5-9B-GGUF,,8.94,frame,,uniform,etw./jdn. (Akk) verändern
208,0.5566,unsloth/Qwen3.5-9B-GGUF,,7.12,frame,,uniform,das Ende
209,0.7335,unsloth/Qwen3.5-9B-GGUF,,6.92,frame,,uniform,die Insel
210,0.6966,unsloth/Qwen3.5-9B-GGUF,,4.74,frame,,uniform,etw./jdn. (Akk) finden
211,0.9419,unsloth/Qwen3.5-9B-GGUF,,6.94,frame,,uniform,das Thema
212,0.4802,unsloth/Qwen3.5-9B-GGUF,,9.56,frame,,uniform,"eben, ebend"
213,0.8572,unsloth/Qwen3.5-9B-GGUF,,0.72,construction,,uniform,der Dank
214,0.3634,unsloth/Qwen3.5-9B-GGUF,,0.87,frame,,uniform,etw. (Akk) benutzen
215,0.9543,unsloth/Qwen3.5-9B-GGUF,,1.2,frame,,uniform,der Bundestag
216,0.2636,unsloth/Qwen3.5-9B-GGUF,,5.88,other,,uniform,etw./jdn. (Akk) lassen
217,0.9602,unsloth/Qwen3.5-9B-GGUF,,1.17,frame,,uniform,das Militär
218,0.9609,unsloth/Qwen3.5-9B-GGUF,,3.07,frame,,uniform,der Nachbar
219,0.7727,unsloth/Qwen3.5-9B-GGUF,,0.96,frame,,uniform,jdm. (Dat) etw. (Akk) sagen
220,0.8256,unsloth/Qwen3.5-9B-GGUF,,6.08,frame,,uniform,der Tag
221,0.9045,unsloth/Qwen3.5-9B-GGUF,,1.03,frame,,uniform,der Job
222,0.6001,unsloth/Qwen3.5-9B-GGUF,,1.73,frame,,uniform,das Wort
223,0.6531,unsloth/Qwen3.5-9B-GGUF,,1.93,frame,,uniform,die Wohnung
224,0.1421,unsloth/Qwen3.5-9B-GGUF,,1.96,other,aux,uniform,etw./jdn. (Akk) haben
225,0.9299,unsloth/Qwen3.5-9B-GGUF,,5.74,frame,,uniform,der Mensch
226,0.554,unsloth/Qwen3.5-9B-GGUF,,6.46,other,,uniform,jdm. (Dat) erscheinen
227,0.9538,unsloth/Qwen3.5-9B-GGUF,,0.6,frame,,uniform,die Handlung
228,0.9161,unsloth/Qwen3.5-9B-GGUF,,2.02,frame,,uniform,die Antwort
229,0.9372,unsloth/Qwen3.5-9B-GGUF,,2.24,frame,,uniform,der Student
230,0.8444,unsloth/Qwen3.5-9B-GGUF,,2.24,frame,,uniform,das Parlament
231,0.9357,unsloth/Qwen3.5-9B-GGUF,,1.64,frame,,uniform,der Herr
232,0.6841,unsloth/Qwen3.5-9B-GGUF,,3.32,frame,,uniform,"der Teil, das Teil"
233,0.705,unsloth/Qwen3.5-9B-GGUF,,0.56,frame,,uniform,etw./jdn. (Akk) halten
234,0.9347,unsloth/Qwen3.5-9B-GGUF,,0.78,frame,,uniform,etw./jdn. (Akk) finden
235,0.705,unsloth/Qwen3.5-9B-GGUF,,2.46,frame,,uniform,die Produktion
236,0.1773,unsloth/Qwen3.5-9B-GGUF,,0.67,frame,,uniform,jdn. (Akk) erschießen
237,0.7376,unsloth/Qwen3.5-9B-GGUF,,3.39,frame,,uniform,der Mund
238,0.8969,unsloth/Qwen3.5-9B-GGUF,,6.82,frame,,uniform,die Quelle
239,0.9244,unsloth/Qwen3.5-9B-GGUF,,3.28,frame,,uniform,etw./jdn. (Akk) erreichen
240,0.3263,unsloth/Qwen3.5-9B-GGUF,,3.04,construction,,uniform,"all, alle"
241,0.8654,unsloth/Qwen3.5-9B-GGUF,,1.02,frame,,uniform,jdn./etw. (Akk) wählen
242,0.6904,unsloth/Qwen3.5-9B-GGUF,,5.77,other,,uniform,jdm. (Dat) gehören
243,0.7063,unsloth/Qwen3.5-9B-GGUF,,0.76,construction,,uniform,etw. (Akk) spielen
244,0.8528,unsloth/Qwen3.5-9B-GGUF,,1.73,construction,,uniform,etw. (Akk) tun
245,0.852,unsloth/Qwen3.5-9B-GGUF,,0.65,frame,,uniform,das Geschäft
246,0.9804,unsloth/Qwen3.5-9B-GGUF,,2.62,frame,,uniform,der Bundestag
247,0.8879,unsloth/Qwen3.5-9B-GGUF,,0.86,frame,,uniform,"gern, gerne"
248,0.2929,unsloth/Qwen3.5-9B-GGUF,,0.83,other,aux,uniform,etw./jdn. (Akk) haben
249,0.957,unsloth/Qwen3.5-9B-GGUF,,2.02,frame,,uniform,etw. (Akk) verwenden
250,0.2215,unsloth/Qwen3.5-9B-GGUF,,1.35,other,,uniform,mit jdm. / über etw./jdn. sprechen
251,0.7885,unsloth/Qwen3.5-9B-GGUF,,4.4,frame,,uniform,jdm. (Dat) etw. (Akk) schreiben
252,0.2685,unsloth/Qwen3.5-9B-GGUF,,2.94,other,,uniform,jdm. (Dat) etw. (Akk) bedeuten
253,0.7059,unsloth/Qwen3.5-9B-GGUF,,1.1,construction,,uniform,etw. (Akk) einschlagen
254,0.7832,unsloth/Qwen3.5-9B-GGUF,,5.79,frame,,uniform,der Herr
255,0.9083,unsloth/Qwen3.5-9B-GGUF,,1.69,frame,,uniform,der Hafen
256,0.5313,unsloth/Qwen3.5-9B-GGUF,,7.69,frame,,uniform,das Bild
257,0.4191,unsloth/Qwen3.5-9B-GGUF,,2.8,other,aux,uniform,etw./jdn. (Akk) haben
258,0.2941,unsloth/Qwen3.5-9B-GGUF,,2.2,other,,uniform,etw./jdn. (Akk) haben
259,0.9497,unsloth/Qwen3.5-9B-GGUF,,0.74,frame,,uniform,das Gefühl
260,0.8995,unsloth/Qwen3.5-9B-GGUF,,1.05,frame,,uniform,der Staat
261,0.9197,unsloth/Qwen3.5-9B-GGUF,,0.89,frame,,uniform,etw. (Akk) meinen
262,0.9624,unsloth/Qwen3.5-9B-GGUF,,0.88,frame,,uniform,die Mama
263,0.9071,unsloth/Qwen3.5-9B-GGUF,,1.21,frame,,uniform,die Frucht
264,0.8323,unsloth/Qwen3.5-9B-GGUF,,7.19,frame,,uniform,etw. (Akk) verarbeiten
265,0.934,unsloth/Qwen3.5-9B-GGUF,,1.83,frame,,uniform,mit jdm. / über etw./jdn. sprechen
266,0.1911,unsloth/Qwen3.5-9B-GGUF,,1.46,other,aux,uniform,etw./jdn. (Akk) haben
